NOTA;PROJETO;TÍTULO;MUNICÍPIO;PLANO;CRITÉRIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;PERFIL;ORIGEM_ETL;FAIXA;TITULO;MUNICIPIO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;V. REAL;RESUMO LV;Nº PES;DATA DESL;CRITERIO;COORDENADAS;PG'S;LINK PROJETO;CONCRETO;% POSTES;% CAVAS;OBS CAVA;CAT;DT DESL;AS BUILT;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG
9102151875;B-1180051;UB-EMBA-RUA-CASAS POPULARES-CENTRO;ITIÚBA;;GOVERNO;2;2;;1;;2025-03-01 00:00:00;ALAN;ISRAEL ;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101874275;B-1075226;MP CIND POV CALDEIRÃOZINHO RURAL;ITIÚBA;;REPUTACIONAL;15;;;;;;;ISRAEL ;;;6-15 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101675556;B-1042982;MP-CIND-POV-CACIMBAS-RURAL;ITIÚBA;;REPUTACIONAL;50;;;;;;;ISRAEL ;;;16-50 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101977256;B-1115635;ER-CIND-PR -IGREJA-CATUNY;JAGUARARI;;LPT;11;11;;1;;2025-02-25 00:00:00;DICSON;BADU;;;6-15 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101587099;B-0984449;RR-CIND-FZ ANGICO-ANGICO;MONTE SANTO;;REPUTACIONAL;35;35;;4;;2025-02-28 00:00:00;ALAN;OSMAR ;;;16-50 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102084184;B-1143757;ER-CCOL-LOT-NOVA QUEIMADAS-NOVA QUEIMADA;QUEIMADAS;;JUDICIAL;3;3;;1;;2025-02-21 00:00:00;ALAN;OSMAR ;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102070360;B-1144008;ER-CIND-POV-MARRUAIS-RURAL;QUEIMADAS;;RECLAMAÇÃO;1;1;;1;;2025-02-13 00:00:00;ALAN;ANAILTON;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9100709091;B-0686033;MP-CCOL-FAZ. VÁRZEA DA NOVILHA COMPL.RUR;QUEIMADAS;;NOVOS QUESTIONAMENTOS ANEEL;86;;;;;;;ERIELTON ;;;;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101910191;B-1090786;MP  CIND POV . LAGOA DAS CABRAS RURAL;QUEIMADAS;;REPUTACIONAL;31;;;;;;;JEFERSON ;;;6-15 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102002528;B-1121813;MP-CCOL-POV.SANTO EUSEBIO-RURAL;QUEIMADAS;;ESTADUAL;109;109;;11;;2025-02-27 00:00:00;ALAN;JEFERSON ;;;;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
