NOTA;PROJETO;TÍTULO;MUNICÍPIO;PLANO;CRITÉRIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;PERFIL;ORIGEM_ETL;FAIXA;TITULO;MUNICIPIO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;V. REAL;RESUMO LV;Nº PES;DATA DESL;CRITERIO;COORDENADAS;PG'S;LINK PROJETO;CONCRETO;% POSTES;% CAVAS;OBS CAVA;CAT;DT DESL;AS BUILT;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG
;B-1205642;;;PLANO 14;;;;;;R$ 44.962,55;;JOAO;GESONI;;;;Novembro 25;;ER-CIND-POV-ALAGADICO DO MEL-RURAL;ITIÚBA;Energizada;;;143334;ENERG;Falta o cabo: CABO COBRE XLPE 35MM2 1F PRETO;1;7;;7;0;;;;;100%;;;;17/11/2025;22/11/2025;;14/11/2025;Sim;TRUE;TRUE;;;D397457;;;;N1/1.TRAFO;139301 EN 140805 LV;;PRIORIDADE PLANO ANEEL;-10.831568, -39.9729284;E902937 – E902943;https://drive.google.com/file/d/176lRGE7YnMjoYUiGJA6HpwyCtrO9b2rl/view?usp=drive_link;7;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1171381;;;PLANO 14;;;;;;R$ 62.354,50;14/11/2025;JOAO;ISRAEL;;;;Novembro 25;;ER-CIND-POV-LAGE DOS NEGROS -L D NEGROS;CAMPO FORMOSO;Energizada;Pendente;;;LV + ENERGZ;;1;7;;7;0;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;;;E528660;;;;TRF;124663 (LV)      145880 (EN);;PRIORIDADE PLANO ANEEL;-10,1591055, -40,9337948;E875299 – E875305;https://drive.google.com/file/d/17d7bgA-151hAo1z4GU7CjbDq6y2gNKvL/view?usp=drive_link;7;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1206073;;;PLANO 14;;;;;;R$ 89.359,21;28/11/2025;JOAO;ISRAEL;;;;Novembro 25;;ER-CIND-POV-RURAL-CACIMBINHA;CAMPO FORMOSO;Energizada;Pendente;;;LV + ENERGZ;PENDENTE TRAFO 1FF 10KVA 13,8KV 220V 3T VG ;1;7;;7;0;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;;;D010745;;;;TRF;124657 (LV)      124861 (EN);;PRIORIDADE PLANO ANEEL;-9,9124989, -40,6843068;E875291 – E875298;https://drive.google.com/file/d/1fUb8klgF5nSnHVTy2-KASHhdBbEIKTw9/view?usp=drive_link;7;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1166476;;;PLANO 7;;;;;;R$ 8.503,17;;;REGINALDO;;;;Novembro 25;;UB-CIND-ROD BR 407 - CENTRO;SENHOR DO BONFIM;Cancelada;;;;BT;;1;;;1;0;;;;;100%;;;;24/11/2025;29/11/2025;;18/11/2025;Solicitado;;TRUE;;;D912828;;;;CE3;133334 LV     133527 BT;;QLP;-10.465935, -40.172914;E875680 – E875680;https://drive.google.com/file/d/1PZOG5MljasWc8tPbOPJazYqGCC7ipXW0/view?usp=drive_link;0;0%;0,0%;;nov./1;;;;;;;;;;;;
;B-1183329;;;PLANO 7;;;;;;R$ 57.675,15;;JOAO;ALDAIR;;;;Novembro 25;;ER-CIND-ET-ADUTORA MINA-RURAL-NUCLEO PIL;JAGUARARI;Energizada;;;;ENERG;;1;6;;6;6;;;;;100%;;;;24/11/2025;29/11/2025;;18/11/2025;Solicitado;;TRUE;;;Q068964;;;;N1/OBS-LINHA(T);139493 BT;;PRIORIDADE PLANO ANEEL;-9.8185572, -40.0175522;E903411 - E903416;https://drive.google.com/file/d/1tk4upj6aJ23XuDc0J5VjXdroyHMO3J7k/view?usp=drive_link;4;66,66666667%;100,0%;;nov./1;;;;;;;;;;;;
;B-1215543;;;PLANO 7;;;;;;R$ 28.559,54;12/11/2025;JOAO;REGINALDO;;;;Novembro 25;;ER-CIND-POV-RES MORROS-TANQUINHO;SENHOR DO BONFIM;Energizada;;;;BT;;1;6;;6;0;;;;;100%;;;;03/11/2025;15/11/2025;;11/11/2025;Sim;TRUE;TRUE;;;E801034;;;;;133644 BT;;PRIORIDADE PLANO ANEEL;-10.535905, -40.126363;E902888 – E902893;https://drive.google.com/file/d/1dNGU1_kASvqivdrEOcKNPUJq-ADAJxe6/view?usp=drive_link;6;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1210118;;;PLANO 7;;;;;;R$ 31.282,42;;GABRIEL;JEFFERSON;;;;Novembro 25;;UB-CCOL-RUA-ANTONIO PIMENTEL-ITIUBA;ITIÚBA;Energizada;;;;LV + BT;Falta o cabo: CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO;2;5;;5;0;;;;;100%;;;;24/11/2025;29/11/2025;;17/11/2025;Solicitado;;TRUE;;;D508813;;;;;LV 140168 - BT 138306 ;;PRIORIDADE PLANO ANEEL;-10.683756, -39.864986;E902982 – E902986;https://drive.google.com/file/d/1KQ4SMk4MjVBWh1g8utaPvgYJs4Jjjkbd/view?usp=drive_link;9;180%;100,0%;;nov./1;;;;;;;;;;;;
;B-1204503;;;PLANO 14;;;;;;R$ 53.873,54;19/11/2025;JOAO;ISRAEL;;;;Novembro 25;;ER-CIND-POV-VARGEM DO SAL 300-V DO SAL;CAMPO FORMOSO;Energizada;Pendente;;;LV + ENERGZ;CABO POT COBRE C2 PVCA 1KV 1X70 MM2;1;5;;5;0;;;;;100%;;;;27/10/2025;15/11/2025;;;;TRUE;TRUE;;;Q064027;;;;N1 C/ TRF;124748 (LV) 124696 (EN);;PRIORIDADE PLANO ANEEL;-10,4179027, -40,6692667;E875306 – E875310;https://drive.google.com/file/d/1KOg7AzZW4dLkP8c6COkBal8zVAL_LxXB/view?usp=drive_link;5;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1200674;;;PLANO 14;;;;;;R$ 35.253,30;;GABRIEL;MARCELO;;;;Novembro 25;;ER-CIND-FAZ-VARZEA GRANDE-VARZEA GRANDE;QUEIMADAS;Energizada;Pendente;;128905;LV + BT;Programar LV;1;5;;5;0;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;FALSE;FALSE;B565390;;;;2 N1;123154 BT  LV 145709;;QLP;-10,9210645, -39,9412907;E875365 – E875369;https://drive.google.com/file/d/18ZF9Qq8JVg4GFYxbbO4i-8WenlIsK2HK/view?usp=drive_link;5;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1172415;;;PLANO 7;;;;;;R$ 39.552,26;20/11/2025;GABRIEL;ANAILTON;;;;Novembro 25;;UB-CIND-RUA-M CAROLINA FERREIRA-CENTRO;CANSANÇÃO;Energizada;;;142294;DESL;;0;4;;4;4;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;;;Q099415;;;;;;20/11/2025;PRIORIDADE PLANO ANEEL;-10,6679905, -39,4917045;E875330 – E875333;https://drive.google.com/file/d/1-sawzub04_2yUJrRCX47jaDBUprjkuqa/view?usp=drive_link;4;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1186324;;;PLANO 7;;;;;;R$ 84.103,37;;GABRIEL;ANAILTON;;;;Novembro 25;;AC-CIND-POV-LAGOA DOS CAVALOS-RURAL;CANSANÇÃO;Energizada;Pendente;;142295;LV + BT + DESL;Pendente CABO POT COBRE C2 PVCA 1KV 1X70 MM2;0;4;;4;4;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;;;D934348;;;;CE3;124947 (LV) 123271 BT;21/11/2025;QLP;-10,6544928, -39,4879905;E875318 – E875321;https://drive.google.com/file/d/1S_bIjmDjBZM-cDGRb8i-mv8jk9M_vX36/view?usp=drive_link;4;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1180746;;;PLANO 14;;;;;;R$ 46.614,51;;GABRIEL;JEFFERSON;;;;Novembro 25;;ER-CIND-POV-BAIX O DAS GALINHAS-RURAL;ITIÚBA;Energizada;Pendente;;;LV+BT;Depende do recebimento do trafo;0;4;;4;0;;;;;100%;;;;03/11/2025;15/11/2025;;08/11/2025;Sim;TRUE;TRUE;;;Q089333;;;;N3/TRAFO; LV- 140215 BT-138310 ;;QLP;-10.6677233, -39.6960878;E903299 – E903302;https://drive.google.com/file/d/1j1KByKrzLvgAAZZvHy9wubz5o_7zNYyI/view?usp=drive_link;8;200%;100,0%;;nov./1;;;;;;;;;;;;
;B-1173513;;;PLANO 14;;;;;;R$ 34.356,19;12/11/2025;GABRIEL;JEFFERSON;;;;Novembro 25;;ER-CIND-POV-LAGE DO JOSE-LAGE DO JOSE;CANSANÇÃO;Energizada;Realizado;;;LV+BT+ENERG;;1;4;;4;0;;;;;100%;;;;03/11/2025;15/11/2025;;08/11/2025;Sim;TRUE;TRUE;;;D189129;;;;(2) N1;135204 (BT) EN 135232 LV 141031 ;;QLP;-10.6413059, -39.5483032;E903270 – E903273;https://drive.google.com/file/d/1nwkiP8o-VMN9jlqptcmyuD2X36N34HoH/view?usp=drive_link;8;200%;100,0%;;nov./1;;;;;;;;;;;;
;B-1192316;;;PLANO 7;;;;;;R$ 40.844,27;19/11/2025;JOAO;GESONI;;;;Novembro 25;;ER-CIND-POV-CERCADINHO 353-RURAL;ITIÚBA;Energizada;;;;LV+BT; ;0;;;4;0;;;;;100%;;;;17/11/2025;22/11/2025;;14/11/2025;Sim;TRUE;TRUE;;;D069751;;;;N1/TRAFO;138317 BT 140660 LV;;QLP;-10.7540595, -39.8783515;E903295 – E903298;https://drive.google.com/file/d/1wxiwGBCJKVl2wgppz_ZrPVWmT1CuRrw7/view?usp=drive_link;4;100%;0,0%;JA LOCADO KLC;nov./1;;;;;;;;;;;;
;B-1144666;;;PLANO 14;;;;;;R$ 46.058,74;26/11/2025;GABRIEL;JOSE;;;;Novembro 25;;ER-CIND-FAZ-CALDEIRAOZINHO-RURAL;MONTE SANTO;Energizada;;;;LV+BT+ENERGIZ;"Falta o cabo (2223464-CABO COBRE XLPE 35MM2 1F PRETO)
";1;;;4;0;;;;;100%;;;;17/11/2025;22/11/2025;;17/11/2025;Solicitado;;TRUE;;;A254655;;;;N1/3;151371 BT 135523 EN148650 LV;;QLP;-10.3592092, -39.4466995;E903344 – E903347;https://drive.google.com/file/d/1hPtKU8VYNjlSCrmLYqPPXPG0U3ncCp-P/view?usp=drive_link;4;100%;0,0%;"Alocada
necessita da KLC";nov./1;;;;;;;;;;;;
;B-1178358;;;PLANO 14;;;;;;R$ 71.171,71;28/11/2025;GABRIEL;ANAILTON;;;;Novembro 25;;ER-CIND-POV NOVO ACORDO-NOVO ACORDO;CANSANÇÃO;Energizada;;;;LV+BT;"Pendente TRAFO 3F 45KVA 34,5KV 380/220V 3 TAPS
trafo vindo de jacobina";1;4;;4;0;;;;;100%;;;;17/11/2025;22/11/2025;;10/11/2025;Sim;TRUE;TRUE;;;D152205;;;;N1/TRAFO;135280 BT 141052 LV;;REPUTACIONAL;-10.720078, -39.340708;E903066 – E903080;https://drive.google.com/file/d/1CX9_ZQPxuKiQHzklXizV6YaEVi65toFT/view?usp=drive_link;8;200%;100,0%;;nov./1;;;;;;;;;;;;
;B-1158293;;;PLANO 7;;;;;;R$ 24.101,81;;GABRIEL;ANAILTON;;;;Novembro 25;;UB-CIND-RUA-HERMANO B SOUZA-URBANA;CANSANÇÃO;Energizada;Pendente;;;LV + BT;Depende do cabo 3x35;1;4;;4;0;;;;;100%;;;;27/10/2025;15/11/2025;;;;TRUE;TRUE;;;Q099328;;;;N1;125076 (LV) 123269 BT;;PRIORIDADE PLANO ANEEL;-10,6652094, -39,4990013;E875326 – E875329;https://drive.google.com/file/d/1Vmqy-TWEwX0cNpdx1z-xx9aZjWHty6AK/view?usp=drive_link;4;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1213134;;;PLANO 14;;;;;;R$ 39.405,66;28/11/2025;GABRIEL;ANAILTON;;;;Novembro 25;;ER-CIND-POV-DEIXAI 94 -FT-RURAL;CANSANÇÃO;Energizada;;;;LV + BT;;1;4;;4;0;;;;;100%;;;;17/11/2025;22/11/2025;;;;TRUE;TRUE;;;B164365;;;;3 N1;125095 (LV) 123273 BT;;PRIORIDADE PLANO ANEEL;-10,6854032, -39,3437082;E875334 – E875337;https://drive.google.com/file/d/12N6F1E_ZjJZI1L2xFWVO0_vI9aQ949MB/view?usp=drive_link;4;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1139502;;;PLANO 7;;;;;;R$ 56.169,24;19/11/2025;GABRIEL;ANAILTON;;;;Novembro 25;;UB-CIND-AV-ANTONIO VICENTE M M-CENTRO;CANSANÇÃO;Energizada;Realizado;;;LV + ENERGZ;Depende do cabo 3x35;1;4;;4;0;;;;;100%;;;;20/10/2025;15/11/2025;;;;TRUE;TRUE;;;D297035;;;;TRF + N1;124968 (LV) 148791 (EN);;PRIORIDADE PLANO ANEEL;-10,6594125, -39,4945877;E875322 – E875325;https://drive.google.com/file/d/1KB_Ffd8O0Ut7F3ftx26HSkUSUrsFtfj8/view?usp=drive_link;8;200%;100,0%;;out./1;;;;;;;;;;;;
;B-1186692;;;PLANO 7;;;;;;R$ 31.163,34;13/11/2025;JOAO;GESONI;;;;Novembro 25;;ER-CIND-FAZ-CAJARANA-RURAL-ITIUBA;ITIÚBA;Energizada;;;;BT;;2;4;;4;0;;;;;100%;;;;10/11/2025;15/11/2025;;10/11/2025;Sim;TRUE;TRUE;;;D572240;;;;;138241 BT;;QLP;-10.7322623, -39.938497;E903291 – E903294;https://drive.google.com/file/d/1M92Aa4bTvL0CR896sH6TK2YCDQQoKJMq/view?usp=drive_link;4;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1191735;;;PLANO 7;;;;;;R$ 22.149,09;24/11/2025;JOAO;REGINALDO;;;;Novembro 25;;ER-CIND-POV TANQUE DA TERRA-TANQUE DE TE;JAGUARARI;Energizada;;;;BT;;1;;;4;0;;;;;100%;;;;17/11/2025;22/11/2025;;11/11/2025;Sim;TRUE;TRUE;;;B479320;;;;;139682 BT;;RECLAMAÇÃO;-10.225127, -40.203209;E903404 - E903407;https://drive.google.com/file/d/1nbgMY6lypPglhzgqY1CR0kR9tJTn75eO/view?usp=drive_link;4;100%;0,0%;;nov./1;;;;;;;;;;;;
;B-1179691;;;PLANO 7;;;;;;R$ 39.623,46;28/11/2025;GABRIEL;MARCELO;;;;Novembro 25;;UB-CIND-RUA-JOSE JACINTO 101-CENTRO;ITIÚBA;Energizada;;;;BT;Fazer visita prévia;1;;;4;0;;;;;100%;;;;24/11/2025;29/11/2025;;17/11/2025;Solicitado;;TRUE;;;E636183;;;;OBS-SEM PROEJTO;OBS-SEM PROEJTO;;QLP;-10.852209, -39.723853;E903303 – E903305;https://drive.google.com/file/d/1VTm9x93ljrjTqVCWyTumdXyc5WG3HOnu/view?usp=drive_link;4;100%;0,0%;;nov./1;;;;;;;;;;;;
;B-1213002;;;PLANO 14;;;;;;R$ 22.711,82;15/11/2025;JOAO;ISRAEL;;;;Novembro 25;;ER-CIND-POV-PONTA DAGUA-RURAL;CAMPO FORMOSO;Energizada;;;;BT;;1;4;;4;0;;;;;100%;;;;27/10/2025;15/11/2025;;;;TRUE;TRUE;;;D724169;;;;;144399 BT;;PRIORIDADE PLANO ANEEL;-10,4114853, -41,1624956;E875287 – E875290;https://drive.google.com/file/d/1KsxIb6H7s6QnTmeIBsuWeo6tyOwt6IK8/view?usp=drive_link;4;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1180962;;;PLANO 14;;;;;;R$ 45.098,21;;GABRIEL;OSMAR;;;;Novembro 25;;ER-CCOL-FAZ-PAU D ARCO-RURAL;MONTE SANTO;Energizada;;;;LV+BT;;1;2;;4;0;;;;;100%;;;;20/10/2025;22/11/2025;;;;TRUE;TRUE;;;D409513;;;;N1 C/ TRF;BT 127167 LV-148697;;QLP;-10,5062648, -39,4095984;E903274 – E903277;https://drive.google.com/file/d/19vWBocIDS5w2Z3vj0Uk7se2EjMeZSV4I/view?usp=drive_link;4;100%;50,0%;Precisa da KLC;out./1;;;;;;;;;;;;
;B-1167440;;;PLANO 7;;;;;;R$ 24.089,65;;JOAO;ALDAIR;;;;Novembro 25;;UB CIND RUA DO ANGICO CENTRO;JAGUARARI;Energizada;;;143264;LV+BT+DESL;;1;;;3;0;;;;;100%;;;;17/11/2025;22/11/2025;;18/11/2025;Solicitado;;TRUE;;;D655454;;;;B1;BT 139549 LV 145165;;QLP;-9.889389, -39.974332;E903392 - E903394;https://drive.google.com/file/d/18xF3RIgPVD8FZpj5igOztdnyNWBRDnwf/view?usp=drive_link;3;100%;0,0%;;nov./1;;;;;;;;;;;;
;B-1170663;;;PLANO 7;;;;;;R$ 30.962,00;;JOAO;ALDAIR;;;;Novembro 25;;ER-CIND-RUA-DO FAXEIRO 3029-NUCLEO PILAR;JAGUARARI;Energizada;;;144183;DESL + LV;;1;3;;3;0;;;;;100%;;;;24/11/2025;29/11/2025;;18/11/2025;Solicitado;;TRUE;;;D655456;;;;B1;LV-149231;26/11/2025;PRIORIDADE PLANO ANEEL;-9.8901532, -39.9743231;E903327 – E903329;https://drive.google.com/file/d/1skDUekm_N87T4ZwWYRNkkyXXYrLpcn89/view?usp=drive_link;1;33,33333333%;100,0%;;nov./1;;;;;;;;;;;;
;B-1167467;;;PLANO 7;;;;;;R$ 43.267,50;;JOAO;ALDAIR;;;;Novembro 25;;LD CIND ET ADUTORA MINA CARAIBA RURAL;JAGUARARI;Energizada;;;;LV+ENERGIZ;Detonação dia 18/11;1;3;;3;0;;;;;100%;;;;24/11/2025;29/11/2025;;18/11/2025;Solicitado;;TRUE;;;D216992;;;;;EN 139440 LV 145325;;PRIORIDADE PLANO ANEEL;-9.8674146, -39.9562488;E903321 – E903323;https://drive.google.com/file/d/1CjigDrbictRcc078JCuGl6A4O7qUWUE6/view?usp=drive_link;3;100%;100,0%;3 FURADAS;nov./1;;;;;;;;;;;;
;B-1211192;;;PLANO 14;;;;;;R$ 33.755,69;13/11/2025;GABRIEL;ANAILTON;;;;Novembro 25;;ER-CIND-POV-CACIMBA-CACIMBINHA;CANSANÇÃO;Energizada;Realizado;;;DESL + LV + BT;;1;3;;3;0;;;;;100%;;;;17/11/2025;22/11/2025;;;;TRUE;TRUE;;;Q101267;;;;N1 C/ TRF;124981 (LV) 145472 (BT);;PRIORIDADE PLANO ANEEL;-10,7173807, -39,453117;E875192 – E875194;https://drive.google.com/file/d/1rUdQCmjOqOYFwDCN2fKL62HfyI9ExvXd/view?usp=drive_link;3;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1168652;;;PLANO 14;;;;;;R$ 131.108,26;;GABRIEL;MARCELO;;;;Novembro 25;;ER-CIND-FAZ-TRINDADE-RURAL;NORDESTINA;;;;;LV+ENERGIZ;;1;14;;14;0;;;;;100%;;;;17/11/2025;22/11/2025;;17/11/2025;Solicitado;;TRUE;FALSE;FALSE;D026496;;;;N1/3;EN 135511 LV- 148268;;QLP;-10.8263598, -39.4973282;E903037 – E903050;https://drive.google.com/file/d/1PnMy5gRhQHvv6WY2lxGdwxq8rj7yS37-/view?usp=drive_link;13;92,85714286%;100,0%;;nov./1;;;;;;;;;;;;
;B-1172209;;;PLANO 14;;;;;;R$ 40.691,07;;JOAO;EDVALDO;;;;Novembro 25;;ER-CIND-POV-LAGOA DA ROCA-RURAL;CAMPO FORMOSO;Energizada;;;;LV+BT;REDE DESATIVADA/ INFORMADO AO AR;1;3;;3;0;;;;;100%;;;;17/11/2025;22/11/2025;;19/11/2025;;;TRUE;;;Q061552;;;;N1/TRAFO;137187 BT 142711 LV;;QLP;-10.4968911, -40.450779;E903257 – E903259;https://drive.google.com/file/d/12KXlgbMyIliH2Rt1hVrU3rNKOeUSjshj/view?usp=drive_link;3;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1215317;;;PLANO 7;;;;;;R$ 36.113,79;26/11/2025;JOAO;EDVALDO;;;;Novembro 25;;ER-CIND-POV-RIACHAO-RIACHAO;CAMPO FORMOSO;Energizada;;;;ENERG;FALTA TRAFO;1;3;;3;3;;;;;100%;;;;17/11/2025;22/11/2025;;19/11/2025;;;TRUE;;;B258022;;;;;EN 144411 LV 149512;;PRIORIDADE PLANO ANEEL;-10.4132845, -40.6187214;E903260 – E903262;https://drive.google.com/file/d/10aoCOsfRQzGO1qMCFqblwjlbtWetW3V0/view?usp=drive_link;3;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1215447;;;PLANO 7;;;;;;R$ 29.693,64;21/11/2025;JOAO;REGINALDO;;;;Novembro 25;;ER-CIND-POV-CALDEIRAO DO MULATO-RURAL;SENHOR DO BONFIM;Energizada;;;;LV+ENERGIZ;;1;3;;3;3;;;;;100%;;;;25/11/2025;22/11/2025;;18/11/2025;Solicitado;;TRUE;;;D010984;;;;N1/TRAFO;134644 EN 142589 LV;;PRIORIDADE PLANO ANEEL;-10.5628392, -40.1396837;E902878 – E902880;https://drive.google.com/file/d/13exg7HzgE1TqzH1_52y3pYmf5OYCmV2I/view?usp=drive_link;1;33,33333333%;100,0%;;nov./1;;;;;;;;;;;;
;B-1166882;;;PLANO 7;;;;;;R$ 26.102,45;24/11/2025;JOAO;JEFFERSON;;;;Novembro 25;;ER-CIND POV VEADOS-RURAL;SENHOR DO BONFIM;Energizada;;;;BT;PENDENTE SAQUE DE MATERIAL;1;1;;3;2;;;;;100%;;;;07/11/2025;15/11/2025;;12/11/2025;Sim;TRUE;TRUE;;;D573931;;;;N1;133596 BT / 134303 LV;;QLP;-10.5097187, -40.0462947;E903376 – E903378;https://drive.google.com/file/d/1qNJ_H279qW2HpePvyXG0GB7m3fcBtAAL/view?usp=drive_link;0;0%;33,3%;Necessita de KLC;nov./1;;;;;;;;;;;;
;B-1167424;;;PLANO 14;;;;;;R$ 25.140,82;22/11/2025;JOAO;REGINALDO;;;;Novembro 25;;ER-CIND-PO.PASSAGEM VELHA-RURAL;SENHOR DO BONFIM;Energizada;;;;BT;;1;3;;3;1;;;;;100%;;;;05/11/2025;15/11/2025;;13/11/2025;Sim;TRUE;TRUE;;;E524674;;;;;133610 BT;;QLP;-10.5129244, -40.1628389;E903324 – E903326;https://drive.google.com/file/d/172gXBr6Ps5ynPHVdErODRkGdxrvn3hJi/view?usp=drive_link;0;0%;100,0%;;nov./1;;;;;;;;;;;;
;B-1215863;;;PLANO 7;;;;;;R$ 16.264,99;14/11/2025;JOAO;REGINALDO;;;;Novembro 25;;ER-CIND-POV-CAZUMBA-CAZUMBA;SENHOR DO BONFIM;Energizada;;;;BT;;1;3;;3;0;;;;;100%;;;;17/11/2025;22/11/2025;;18/11/2025;Solicitado;;TRUE;;;D205589;;;;;133647 BT             133652 ENERGZ;;PRIORIDADE PLANO ANEEL;-10.5449612, -40.1607697;E902881 – E902883;https://drive.google.com/file/d/1SjoOzT_CN0LQjisWAV_3ELnQn89u9Gkx/view?usp=drive_link;0;0%;100,0%;;nov./1;;;;;;;;;;;;
;B-1217115;;;PLANO 7;;;;;;R$ 10.849,84;;;;;;;Novembro 25;;ER-CIND-LOT-PANORAMA 39-RURAL;SENHOR DO BONFIM;Cancelada;;;;BT;;4;;;2;0;;;;;100%;;;;;;;;;;;;;B765652;;;;;133615 BT;;PRIORIDADE PLANO ANEEL;-10.4311118, -40.1378614;E875682 – E875683;https://drive.google.com/file/d/1ltmR2NZxfuZsBw_IOq1b0jLyRTnKOyl0/view?usp=drive_link;2;100%;0,0%;;nov./1;;;;;;;;;;;;
;B-1190461;;;PLANO 7;;;;;;R$ 19.047,89;24/11/2025;JOAO;ALDAIR;;;;Novembro 25;;UB-CIND-RUA-JUAZEIRO-CENTRO;JAGUARARI;Energizada;;;;BT;;1;3;;3;0;;;;;100%;;;;24/11/2025;29/11/2025;;18/11/2025;Solicitado;;TRUE;;;Q068389;;;;;139761 BT;;QLP;-9,886564, -39,9719119;E903417 - E903419;https://drive.google.com/file/d/1PlZDItsy58a6SwHzI4kQbfX_UJlvn5YN/view?usp=drive_link;3;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1210373;;;PLANO 14;;;;;;R$ 16.837,51;15/11/2025;JOAO;GESONI;;;;Novembro 25;;ER-CIND-POV-SITIO DO FELIX-RURAL;ITIÚBA;Energizada;;;;BT;;1;3;;3;0;;;;;100%;;;;10/11/2025;15/11/2025;;10/11/2025;Sim;TRUE;TRUE;;;D054396;;;;;138339 BT;;PRIORIDADE PLANO ANEEL;-10.7429262, -39.988466;E903312 – E903314;https://drive.google.com/file/d/15ZFBYVtmASbv8403MdPxLnTCySs7ndnw/view?usp=drive_link;3;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1216558;;;PLANO 7;;;;;;R$ 19.365,36;25/11/2025;JOAO;ALDAIR;;;;Novembro 25;;ER-CIND-FAZ-ANGICO-BARRINHA;JAGUARARI;Energizada;;;;BT;FALTA CABO;1;3;;3;0;;;;;100%;;;;17/11/2025;22/11/2025;;18/11/2025;Solicitado;;TRUE;;;B720434;;;;;BT 139379;;PRIORIDADE PLANO ANEEL;-9.9084724, -40.1451071;E903389 - E903391;https://drive.google.com/file/d/19ZKYClGuopxa1kQ_c3jcPclQEBJ4roL5/view?usp=drive_link;3;100%;100,0%;;nov./1;;;;;;;;;;;;
;B-1209595;;;PLANO 14;;;;;;R$ 13.794,15;18/11/2025;JOAO;ISRAEL;;;;Novembro 25;;ER-CIND-RUA-DO CAMPO-CENTRO;CAMPO FORMOSO;Energizada;;;;BT;;1;3;;3;0;;;;;100%;;;;27/10/2025;15/11/2025;;;;TRUE;TRUE;;;R024920;;;;;121346 BT;;PRIORIDADE PLANO ANEEL;-10,5954581, -40,930199;E875177 – E875179;https://drive.google.com/file/d/1ZK7k_sD48GWLN7LnzOAhgRGZAlHFvzJz/view?usp=drive_link;3;100%;100,0%;;out./1;;;;;;;;;;;;
;B-1176297;;;PLANO 14;;;;;;R$ 25.276,75;19/11/2025;GABRIEL;JOSE;;;;Novembro 25;;ER-CIND-POV-JUNCO DO FERRE-RURAL;MONTE SANTO;Energizada;;;143275;LV+BT;;1;2;;2;0;;;;;100%;;;;17/11/2025;22/11/2025;;17/11/2025;Solicitado;;TRUE;;;D136574;;;;2 N1;BT 138151 LV-148527;22/11/2025;QLP;-10.5597548, -39.5028811;E903348 – E903350;https://drive.google.com/file/d/1INRIj6Vq5M-U7DAiQydyAnseSRpdp_Yk/view?usp=drive_link;3;150%;100,0%;;nov./1;;;;;;;;;;;;
;B-1194770;;;PLANO 14;;;;;;R$ 13.435,26;;GABRIEL;OSMAR;;;;Novembro 25;;ER-CIND-POV-FLORES -FLORES;MONTE SANTO;Energizada;;;143278;LV + BT;;1;;;2;0;;;;;100%;;;;20/10/2025;22/11/2025;;;;TRUE;TRUE;;;D107818;;;;2 N1;BT 123106 LV-148562;22/11/2025;QLP;-10,150653, -39,5808952;E875248 – E875249;https://drive.google.com/file/d/14_po5iDUOFGdzDZjS1WGCLNsIJayKeN8/view?usp=drive_link;2;100%;0,0%;;out./1;;;;;;;;;;;;
