CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;ORIGEM_ETL;VALOR 25%;LINK MAPS;PRE FECHAMENTO;OBS;TITULO;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;CRITERIO;ESTÁGIO DE OBRAS;RESPONSÁVEL;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1
;;1212994;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;14.7.3;100%;;;;;JACSON;SANTIAGO;;-10.2842731;-41.3726258;;OUTUBRO;;;;;;;;Novembro 25;;;;OURO;RR-CIND-POV-ALMAS-ALMAS;;;;;;;;;;;CONCLUÍDA;DIEGO ALMEIDA;1;35;35;;04/09/2025;16/10/2025;;SIM;SIM;;Ver no Mapa;15/10/2025;24/10/2025;27/10/2025;27/10/2025;
;;1126389;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JACSON;SANTIAGO;;-9.8162726;-41.7899309;;OUTUBRO;;;;;;;;Novembro 25;;;;;LD-CCOL-FAZ.RIACHO-RURAL;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;4;23;21;;20/10/2025;28/10/2025;;;NÃO;;Ver no Mapa;23/10/2025;31/10/2025;31/10/2025;31/10/2025;
;;1195081;;REMANSO;;MIGRAR;;;;;;;;;;7.1.2.3;100%;;;;;MANUTENÇÃO;ANDERSON;;-9.6019523;-42.0840707;;SETEMBRO;;;;;;;;Novembro 25;;;;;EQ COEL ROD BR 324 RURAL;;;;;;;;;;;NÃO INICIADA;MARLOS LOPES ;1;2;;;10/09/2025;27/09/2025;;SIM;NÃO;;Ver no Mapa;;;;;
;;1187735;;REMANSO;;MIGRAR;;;;;;;;;;7.1.1.3;100%;;;;;MANUTENÇÃO;ANDERSON;;-9.6172162;-42.0840119;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-CIND-AV-BARAO DO RIO B-QUADRA 19;;;;;;;;;;;NÃO INICIADA;MARLOS LOPES ;1;1;;25/09/2025;25/09/2025;25/09/2025;;;;2025-110663;Ver no Mapa;;;;;
;;1218118;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;SANTIAGO;;-9.8167446;-41.7887758;;OUTUBRO;;;;;;;;Novembro 25;;;;;ER-CIND-FAZ-RIACHAO -RURAL;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;11;12;;29/10/2025;31/10/2025;;;NÃO;;Ver no Mapa;30/10/2025;30/10/2025;30/10/2025;31/10/2025;
;;1146087;;REMANSO;;AVANÇO;;;;;;;;;;14.4.12.1;60%;;;;;JORGE;JORGE;;-9.4735036;-42.2501527;;SETEMBRO;;;;;;;;Novembro 25;;;;;MP-CCOL-FAZ.NOVA TAPUA-RURAL;;;;;;;;;;;LANÇAMENTO;MARLOS LOPES ;12;172;;;;;;;NÃO;;Ver no Mapa;;;;;
;;1173964;;REMANSO;;AVANÇO;;;;;;;;;;14.4.12.1;60%;;;;;JORGE;JORGE;;-9.419018;-41.92037;;SETEMBRO;;;;;;;;Novembro 25;;;;OURO;RR-CIND-POV-SALINA GRANDE-RURAL;;;;;;;;;;;LANÇAMENTO;MARLOS LOPES ;36;227;;;;;;;NÃO;;Ver no Mapa;;;;;
;;1194453;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;14.7.3;100%;;;;;FABIO;SANTIAGO;;-9.7826969;-41.3917713;;OUTUBRO;;;;;;;;Novembro 25;;;;;ER-CIND-POV-PIRI 2---A-RURAL;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;8;8;;16/10/2025;17/10/2025;;;NÃO;;Ver no Mapa;22/10/2025;28/10/2025;28/10/2025;29/10/2025;
;;1058100;;REMANSO;;AVANÇO;;;;;;;;;;7.1.2.3;55%;;;;;RUBEM;RUBEM;;-9.392305;-42.1929795;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-CIND-POV-PONTA DA SERRA-RURAL;;;;;;;;;;;VISITA PRÉVIA;MARLOS LOPES ;59;380;;;;;;;;;Ver no Mapa;;;;;
;;515938;;REMANSO;;MIGRAR;;;;;;;;;;14.4.12.1;100%;;;;;JORGE;JORGE;;;;;SETEMBRO;;;;;;;;Novembro 25;;;;;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;;;;;;;;;;;LANÇAMENTO;MARLOS LOPES ;93;1.392;;;;;;;SIM;;Ver no Mapa;;;;;
;;1173118;;SENTO SÉ;;RETIRADA COELBA;;;;;;;;;;14.4.12.1;100%;;;;;;;;-10.6688349;-41.7234453;;SETEMBRO;;;;;;;;Novembro 25;;;;REVISÃO DE ORÇAMENTO;ER-CIND-FAZ-SERRA BRANCA-RURAL-SENTO SE;;;;;;;;;;;;SANDRO SANTOS;1;31;;;;;;;;;Ver no Mapa;;;;;
;;1219902;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;SANTIAGO;;-9.8046956;-41.4393394;;OUTUBRO;;;;;;;;Novembro 25;;;;;ER-CCOL-POV-PIRI-PIRI;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;8;3;;27/10/2025;27/10/2025;;;NÃO;;Ver no Mapa;27/10/2025;31/10/2025;31/10/2025;31/10/2025;
;;1221230;;SOBRADINHO;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JUAREZ;EDIE JONNES;;-9.4871816;-40.9838061;;OUTUBRO;;;;;;;;Novembro 25;;;;;ER-CIND-POV-DE ALGODAO NOVO 76-RURAL;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;1;1;;09/10/2025;09/10/2025;;SIM;NÃO;;Ver no Mapa;13/10/2025;13/10/2025;13/10/2025;14/10/2025;
;;1221127;;SOBRADINHO;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JUAREZ;EDIE JONNES;;-9.448421;-40.762391;;OUTUBRO;;;;;;;;Novembro 25;;;;;AC-CIND-FAZ-TATAUI 1-RURAL;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;1;1;;09/10/2025;09/10/2025;;SIM;NÃO;;Ver no Mapa;09/10/2025;14/10/2025;14/10/2025;14/10/2025;
;;1212994;;SENTO SÉ;;MIGRAR;;;;;;;;;;14.7.3;100%;;;;;JACSON;SANTIAGO;;-10.2842731;-41.3726258;;SETEMBRO;;;;;;;;Novembro 25;;;;OURO;RR-CIND-POV-ALMAS-ALMAS;;;;;;;;;;;IMPLANTAÇÃO;DIEGO ALMEIDA;1;35;;;04/09/2025;22/09/2025;;NÃO;;;Ver no Mapa;;;;;
;;1217896;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JACSON;SANTIAGO;;-10.3131784;-41.8590184;;OUTUBRO;;;;;;;;Novembro 25;;;;;ER-CIND-POV-CAPIM GROSSO-CAPIM GROSSO;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;0;0;;30/10/2025;30/10/2025;;;NÃO;;Ver no Mapa;30/10/2025;30/10/2025;30/10/2025;31/10/2025;
