PROJETO_FATO;Carteira;COORD;% CAVAS;% POSTES;AR;AS BUILT;AVANÇO;AVNR;BOOK;CAVD;CAVR;CLIENT.;CLIET.;CLIET. PREV;CLIET. REAL;CONCRETO;COORDENADAS;CRITERIO;DATA DESL;DESLIG;DEVOLUÇAO;DIAS;DIAS.1;DIAS.2;DT DESL;DT. SEPARAÇÃO;ENCARREGADO;ENERGIZAÇÃO;EQPP;EQPR;FAIXA;FIM;INICIO;LAT;LATITUDE;LINK PROJETO;LONG;LONGITUDE;LV;MUNICIPIO;NOTA;Nº PES;OBRAS SIMPLIFICADAS;OBS;OBS CAVA;PERFIL;PES DESLIG;PES S/I;PG'S;PLANO;PROJETO;PRÉ FECHAMENTO;PST EXEC;PSTP;PV. FIM;PV. INICIO;PV. INÍCIO;RDEP;RDER;REFERÊNCIA;RESERVA;RESUMO;RESUMO LV;SACADO;STATUS;SUPERVISOR;TÍTULO;V. PRJ 25%;V. PROJETO;V. REAL;VISITA PRÉVIA
1164147;01/10/2025;SENHOR DO BONFIM;0,0%;71,42857143%;;;100%;;;;;;2;;;5;-10,6512763, -39,7123835;PRIORIDADE PLANO ANEEL;;;;;;;;06/10/2025;JEFFERSON;;;;;;;;;https://drive.google.com/file/d/1Zaf3FIpxBMySxxp7Li6mymJLLvktyJYz/view?usp=drive_link;;;;CANSANÇÃO;;124820 (LV) 124140 (EN);;;;;;;E875311 – E875317;PLANO 7;;TRUE;;7;18/10/2025;;06/10/2025;;;Q098900;;LV + ENERGZ;N1-3;TRUE;Energizada;;ER-CIND-FAZ-ROCHA-AT LINDO - RURAL;;R$ 115.225,85;;
1195412;01/10/2025;SENHOR DO BONFIM;0,0%;80%;;;100%;;;;;;1;;;4;-10,5062648, -39,4095984;QLP;;;;;;;;06/10/2025;OSMAR;;;;;;;;;https://drive.google.com/file/d/1qn1y4ot468g2nkSuRVK9Sn2p9QGrww58/view?usp=drive_link;;;;MONTE SANTO;;122245 BT;;;;;;;E875376 – E875380;PLANO 7;;TRUE;;5;18/10/2025;;06/10/2025;;;D409513;;BT;;TRUE;Energizada;;ER-CIND-POV-MONTE SANTO-SITIO DE NANINHA;;R$ 31.758,63;;
1192755;01/10/2025;SENHOR DO BONFIM;100,0%;92,98245614%;;;100%;;;;114;;0;;;106;-10.0171927,-39.8492799;GOVERNO;;;;;;;;01/09/2025;ALDAIR;;;;;;;;;;;;;JAGUARARI;;;;;;;120054;;0;PLANO 14;;TRUE;;114;18/10/2025;;01/10/2025;;;;;DESL + ENERGZ;N1-3;TRUE;Energizada;;RR-SEIN-FAZ-CORRENCIA-RURAL;;R$ 1.060.332,60;;
0877780;01/10/2025;SENHOR DO BONFIM;100,0%;95,91836735%;;;100%;;;;49;;9;;;47;-10.9814946,-39.6346926;REPUTACIONAL;;;;;;;;15/09/2025;MARCELO;;;;;;;;-10,9814946;Não precisa;;-39,6346926;;QUEIMADAS;;108873(LV);FALSE;;;;125480;;E843924 - E843973;PLANO 14;;TRUE;;49;30/09/2025;;19/09/2025;;;Q104891;;DESL + LV + BT + ENERGZ;N1/3;TRUE;Energizada;;MP-CCOL-FAZ RAIO DO SOL-RURAL;;R$ 196.839,24;;FALSE
1134327;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;59;;1;;;64;-10.8421072,-39.308;PRIORIDADE PLANO ANEEL;;;;;;;;15/09/2025;JEFFERSON;;;;;;;;-10.8421072;Não precisa;;-39.308;;CANSANÇÃO;;108861(LV)     112624 (EN);;;;;;;E843809 - E843864;PLANO 14;;TRUE;;59;30/09/2025;;14/10/2025;;;E284390;;LV + ENERGZ;N3/4;TRUE;Energizada;;LD CIND FAZ SÃO JOÃO RURAL;;R$ 756.608,39;;
0972150;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;11;;1;;;14;-10.7118401, -40.4764177;QLP;;;;;;;;12/09/2025;EDVALDO;;;;;;;;;https://drive.google.com/file/d/1cSMCjmGCfeyj4MQsh2710bSbQRCyuNEy/view?usp=drive_link;;;;PINDOBAÇU;;108885(LV);FALSE;;;;;;E860565 - E860578;PLANO 7;;TRUE;;11;25/09/2025;;22/09/2025;;;Q063843;;LV + ENERGZ;1 N1-3;TRUE;Energizada;;RR-CIND-RUA-DA AREIA-CARNAIBA;;R$ 59.465,82;;FALSE
1198646;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;7;;1;;;7;-10,398475, -39,3087948;QLP;;;;;;;;06/10/2025;OSMAR;;;;;;;;;https://drive.google.com/file/d/1n9kI8nHwRobX0ihHqcgh-AksWcaPq-ec/view?usp=drive_link;;;;MONTE SANTO;;122274 BT;;;;;;;E875370 – E875375;PLANO 14;;TRUE;;7;18/10/2025;;06/10/2025;;;D239704;;BT;;TRUE;Energizada;;ER-CIND-FAZ-POCO DANTAS-MONTE SANTO;;R$ 37.811,92;;
1198650;01/10/2025;SENHOR DO BONFIM;0,0%;100%;;;100%;;;;;;1;;;4;-10,5062648, -39,4095984;QLP;;;;;;;;06/10/2025;ANAILTON;;;;;;;;;https://drive.google.com/file/d/19vWBocIDS5w2Z3vj0Uk7se2EjMeZSV4I/view?usp=drive_link;;;;QUEIMADAS;;127167 BT;;;;;;;0;PLANO 14;;TRUE;;4;25/10/2025;;20/10/2025;;;D409513;;BT;;;NÃO DEFINIDO;;ER-CCOL-FAZ-PAU D ARCO-RURAL;;R$ 45.098,21;;
1199681;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;6;;2;;;6;-10,6010438, -40,2725336;QLP;;;;;;;;09/10/2025;EDVALDO;;;;;;;;;https://drive.google.com/file/d/1wENrSq_PeKgisN0rRL-p_FVKf8AARwj7/view?usp=drive_link;;;;ANTÔNIO GONÇALVES;;124551 (LV)      124821(EN);;;;;;;E875273 – E875278;PLANO 14;;TRUE;;6;10/10/2025;;07/10/2025;;;Q067429;;LV + ENERGZ;N1 C/ TRF;;Energizada;;ER-CIND-POV-BARRA-BARRA;;R$ 42.116,14;;
1173478;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;6;;1;;;6;;PRIORIDADE PLANO ANEEL;;;;;;;;01/10/2025;JOILSON ;;;;;;;;;;;;;SENHOR DO BONFIM;;115798 (BT);;;;;;;E860849 -E860853;PLANO 14;;TRUE;;6;31/10/2025;;20/10/2025;;;E860849;;BT;;TRUE;Energizada;;ER-CIND-POV-LAGOA DO BOI-LAGOA DO BOI;;R$ 30.445,50;;
