NOTA;PROJETO;TÍTULO;;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV / VLR PROJETO;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101388060;B-0936302;ER-CIND-RUA DO SUMIDOURO-RURAL-CPF;CAMPO FORMOSO;MIGRADA;ANTONIO;EDILECIO;DIORLAN;PLANO 7;REPUTACIONAL;11/02/25;11/02/25;;2025-31576;2025-29162;;;;1021927;E734552 ao E734570;3;19;;;19;100,00%;0%;21/03/25;05/04/25;;;R025542;-10.5905000;-40.9336936;R$ 192.548,83;R$ 34.390,00;R$ 34.390,00;R$ 1.810,00;18%;;;;3;JACOBINA;2025-04-01;0936302;Consolidado;N/A
9102086745;B-1146840;ER-SEIN-FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;ENERGIZADA;HEMORGENES;GABRIEL;NAILTON;14.7.2003;REPUTACIONAL;14/02/25;14/02/25;18/02/25;;2025-44314;2025-11935;21/02/25;EXECUTADO;1019115/2025;E717259 ao E717285;1;30;29;29;1;100,00%;3%;10/03/25;05/04/25;17/04/2025;PES 44314 / OC 44179;E545284;-12.0051944;-40.5877595;R$ 223.783,24;R$ 49.200,00;R$ 49.200,00;R$ 49.200,00;22%;;;;10;JACOBINA;2025-04-01;1146840;Consolidado;N/A
9101916790;B-1090820;MP-CCOL-POV. RODOLEIRO-RURAL;UMBURANAS;ENERGIZADA;LUCIANO;EDILECIO;RICARDO SANTOS;14.7.2003;LPT;19/02/25;19/02/25;;2025-31509;2025-26174;;;;1019120/2025;E717312 AO E717371;5;53;55;55;-2;100,00%;-4%;14/03/25;05/04/25;30/04/2025;PES 26174/ OC 79384;D923854;-10.6176111;-41.4415757;R$ 496.248,20;R$ 115.867,57;R$ 115.867,57;-R$ 57.933,79;23%;;;;10;JACOBINA;2025-04-01;1090820;Consolidado;N/A
9102153942;B-1177447;ME-COEL-RUA-MANOEL DANTAS-TANQUE NOVO;MAIRI;ENERGIZADA;JOSÉ MISAEL;GABRIEL;MANOEL GUSTAVO;PLANO 7;RECLAMAÇÃO;23/01/25;23/01/25;29/01/25;;2025-7218;2025-44952;24.04.2025;APROVADA;;E601293;0;1;4;4;-3;100,00%;-75%;01/02/25;09/04/25;26/04/2025;PES 47188 / OC 67775;;-11.712551;-40.1451944;R$ 111.820,29;;R$ 0,00;R$ 0,00;0%;;;;1;JACOBINA;2025-04-01;1177447;Consolidado;N/A
9101442113;B-0946219;ER-CCOL-POV.ARARAS-RURAL;CAMPO FORMOSO;MIGRADA;EUDARIO/JAIRO;EDILECIO;DIORLAN;37816;REPUTACIONAL;31/01/25;;;2025-31355;2025-28743;;;;1019044/2025;E717068 AO E717108;3;41;;;41;100,00%;0%;01/04/25;12/04/25;;;B139191;-10.1002778;-40.4791195;R$ 172.701,96;R$ 76.500,00;R$ 76.500,00;R$ 1.865,85;44%;;;;15;JACOBINA;2025-04-01;0946219;Consolidado;N/A
9101783699;B-1029824;RR-CIND-POV-ALTAMIRA-MASSAMBAO;PIRITIBA;Sem magnético no geoex;;GABRIEL;NAILTON;14.7.2003;AIC OBJETIVO;;;;;;;;;;;2;;;;;100,00%;0%;;;;;;;;;;R$ 0,00;R$ 0,00;;;;;;JACOBINA;2025-04-01;1029824;Consolidado;N/A
9102108583;B-1158429;ER-CIND-RUA-BOA VISTA-BOA VISTA;SERROLÂNDIA;;JOSÉ MISAEL;GABRIEL;NAILTON;PLANO 7;PRIORIDADE PLANO ANEEL;02/04/25;02/04/25;;2025-34313;2025-34332;;;;;E719703 ao E719724;3;22;;;22;100,00%;0%;20/04/25;15/05/25;;;B422304;-11.4087137;-40.3151282;R$ 184.059,22;R$ 41.500,00;R$ 41.500,00;R$ 1.886,36;23%;;;PES LV - TRANSFORMAR N3 EM N4 NO PG B422304 . PES DE ENCABEÇ - TRANSFERIR REDE BT NO TRECHO ENTRE OS PGSB422305 E B422312 PARA OS PGS NOVOS AT INSTALADOS, E ENERGIZAR A OBRA.;;JACOBINA;2025-04-01;1158429;Consolidado;N/A
9102147477;B-1180695;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;ENERGIZADA;ANTONIO;EDILECIO;HIAGO SANTANA - U470061;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;24/02/25;24/02/25;;;2025-28222;;;;;E698708 ao E698712;1;5;5;5;5;100,00%;100%;;;02/04/2025;PES 28222 / OC 4496;E336232;-10.4571667;-40.364775;R$ 27.603,92;R$ 7.851,00;R$ 7.851,00;R$ 1.570,20;28%;;;;;JACOBINA;2025-04-01;1180695;Consolidado;N/A
9102081216;B-1146061;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;ENERGIZADA;EUDÁRIO;EDILECIO;HIAGO SANTANA - U470061;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;16/12/24;06/12/24;1/15/2024;2025-34498;2025-28928;;;;;E601299 AO E601303;1;5;4;4;4;100,00%;100%;;;01/04/2025;PES 28929 / OC 1930;E427776;-10.2326944;-40.5009006;R$ 50.535,86;R$ 8.768,00;R$ 8.768,00;R$ 2.192,00;17%;;;;;JACOBINA;2025-04-01;1146061;Consolidado;N/A
9102085632;B-1146336;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;ENERGIZADA;ANTONIO;EDILECIO;HIAGO SANTANA;PLANO 14 - LPT;REPUTACIONAL;11/11/24;11/11/24;11/12/2024;2025-31501;2025-27240;;;;1012146/2024;E669427 ao E669438;2;12;12;12;12;100,00%;100%;;;01/04/2025;PES 36687 / OC 794;E238073;-10,235994;-40,605536;R$ 122.883,92;R$ 23.000,00;R$ 23.000,00;R$ 1.916,67;19%;;;;;JACOBINA;2025-04-01;1146336;Consolidado;N/A
9101945881;B-1098618;MP CIND POV EUCALIPTO RURAL;MUNDO NOVO;ENERGIZADA;HEMORGENES;GABRIEL;RICARDO SANTOS;PLANO 14 - LPT;NOVOS QUESTIONAMENTOS ANEEL;08/03/25;08/03/25;;2025-31505;2025-25815;;;;1021480/2025;E732432 ao E732469;2;37;38;38;38;100,00%;100%;;;02/04/2025;PES 23967 / OC 4641;D016418;-11,9825692;-40,4960503;R$ 458.625,84;R$ 70.000,00;R$ 70.000,00;R$ 1.842,11;15%;;;;;JACOBINA;2025-04-01;1098618;Consolidado;N/A
9102137473;B-1171960;IE-RELIGADOR-MUN-01N3-T21140;MUNDO NOVO;MIGRADA;HEMORGENES;GABRIEL;RICARDO SANTOS;PLANO 8;AL/MELHORAMENTO;15/02/25;15/02/25;;"2025-46797 
2025-46809";;;;;;E682395;0;0;;;0;100,00%;0%;;;;;L398153;https://maps.app.goo.gl/CAjyFe8FfYYATo4r8;-40.4618933;R$ 106.993,38;;R$ 0,00;R$ 0,00;0%;;;;;JACOBINA;2025-04-01;1171960;Consolidado;N/A
9101986008;B-1113324;MP CIND RUA ALAGADIÇO RURAL;OUROLÂNDIA;MIGRADA;ELIEZER;GABRIEL;RICARDO SANTOS - U465100;PLANO 7;QLP;14/03/25;15/03/02;;2025-31506;2025-23881;;;;1021505/2025;E732572 ao E732596/E732614 ao E732617;3;35;;;35;100,00%;0%;;;;;R036717;https://maps.app.goo.gl/eGMnc5yJdWJqif2w9;-41,2879903;R$ 240.951,15;R$ 65.197,00;R$ 65.197,00;R$ 1.862,77;27%;;;;;JACOBINA;2025-04-01;1113324;Consolidado;N/A
9102171653;B-1189780;ER-CIND-POV-CALDEIRAO GRANDE-RURAL;PIRITIBA;ENERGIZADA;;;;;;10/04/25;10/04/25;;;2025-43999;;;;;;;3;3;3;3;100,00%;100%;;;16/04/2025;PES 43999 / OC 41182;;;;R$ 17.384,79;R$ 5.000,00;R$ 5.000,00;R$ 1.666,67;29%;;;PES DE BT - ENCABEÇAR REDE BT NO PG D259240 E ENERGIZAR A OBRA.;;JACOBINA;2025-04-01;1189780;Consolidado;N/A
