PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PST EXEC;EQPP;EQPR;RDEP;RDER;AVANÇO;AVNR;PLANO;V. PROJETO;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;ENERGIZAÇÃO;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1174977;ER-CIND-POV-JAGUARARI 119-RURAL;JAGUARARI;BADU;Paralisada;;37356;;ENCAB BT;;1;;;1;0;;;;;0%;0%;PLANO 7;R$ 10.119,55;R$ 2.529,89;abr./25;04/04/2025;04/05/2025;;JOÃO;DIORLAN;01/04/2025;;TRUE;TRUE;TRUE;FALSE;D366171;-10.2551031;-40.2011621;SENHOR DO BONFIM;2025-04-01;1174977;Consolidado;N/A
B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;ANAILTON + BOB;Em execução;Pendente;*;;DESLIG. DO TF;;46;;;281;403;;;;;60%;100%;PLANO 14;R$ 1.077.227,77;R$ 269.306,94;abr./25;08/04/2025;31/05/2025;;DICSON;ADISON;31/03/2025;;TRUE;TRUE;FALSE;FALSE;D149983;-10.5538389;-39.2735588;SENHOR DO BONFIM;2025-04-01;0477336;Consolidado;N/A
B-1161715;ER-CIND-POV-ENGORDA-RURAL;MONTE SANTO;BOB;Energizada;;;;ENCAB BT;;1;;;2;0;;;;;100%;0%;PLANO 7;R$ 19.656,30;R$ 4.914,08;abr./25;03/04/2025;04/04/2025;10/04/2025;DICSON;ADISON;31/03/2025;;TRUE;TRUE;TRUE;FALSE;Q108492;-10.5590253;-39.3004369;SENHOR DO BONFIM;2025-04-01;1161715;Consolidado;N/A
B-0913817;RR-CIND-FAZ PEDRA-LAGE-MTS;MONTE SANTO;BOB;Energizada;Realizado;45400/45401/45402;;LV + ENERG;;1;;;13;0;;;;;100%;0%;PLANO 14;R$ 60.351,13;R$ 15.087,78;abr./25;08/04/2025;12/04/2025;30/04/2025;DICSON;ADISON;07/04/2025;;TRUE;TRUE;FALSE;FALSE;D140143;-10.4936259;-39.2883191;SENHOR DO BONFIM;2025-04-01;0913817;Consolidado;N/A
B-1140220;ER-CIND-POV-FLORES-FLORES;MONTE SANTO;BOB;Energizada;Realizado;;;LV + ENERG + TROCA DE POSTE;;1;;;3;0;;;;;100%;0%;PLANO 7;R$ 36.145,28;R$ 9.036,32;abr./25;01/04/2025;02/04/2025;30/04/2025;DICSON;ADISON;31/03/2025;;TRUE;TRUE;TRUE;FALSE;D107855;-10.1476019;-39.5859927;SENHOR DO BONFIM;2025-04-01;1140220;Consolidado;N/A
B-1155396;UB-CIND-RUA-J M DE ANDRADE-QUEIMADAS;QUEIMADAS;MARCELO;Energizada;Pendente;;44701 29/04;DESLIG. DO TF;;1;;;3;0;;;;;100%;0%;PLANO 7;R$ 58.836,94;R$ 14.709,24;mar./25;01/03/2025;;30/04/2025;DICSON;GUTEMBERG;22/04/2025;;FALSE;TRUE;FALSE;FALSE;Q107439;-10,9789083;-39,6257017;SENHOR DO BONFIM;2025-04-01;1155396;Consolidado;N/A
B-1148095;ER-CIND-FAZ-MORRINHO-PEROLANDIA;QUEIMADAS;MARCELO;Energizada;Realizado;;;LV + ENERGIZAÇÃO;;1;;;8;8;;;;;100%;0%;PLANO 7;R$ 62.786,69;R$ 15.696,67;mar./25;01/03/2025;10/04/2025;09/04/2025;DICSON;GUTEMBERG;;;TRUE;TRUE;FALSE;FALSE;E194818;"11°02'11.3""S";"39°34'14.3""W";SENHOR DO BONFIM;2025-04-01;1148095;Consolidado;N/A
B-1152255;ER-CIND-AV-OTAVIO FERREIRA-URBANO;QUEIMADAS;JEFFERSON;Energizada;;;;ENCAB BT;;1;;;1;0;;;;;100%;0%;PLANO 7;R$ 7.484,15;R$ 1.871,04;abr./25;14/04/2025;14/04/2025;30/04/2025;DICSON;GUTEMBERG;14/04/2025;Solicitado;FALSE;TRUE;TRUE;FALSE;R008346;-11.2441517;-39.7471178;SENHOR DO BONFIM;2025-04-01;1152255;Consolidado;N/A
B-1144826;ER-CCOL-FAZ-SANTO ANTONIO-RURAL;QUEIMADAS;JEFFERSON;Em execução;Pendente;*;;LV + ENERG;;17;;;73;0;;;;;50%;0%;PLANO 7;R$ 649.639,39;R$ 162.409,85;abr./25;01/04/2025;30/05/2025;;DICSON;GUTEMBERG;08/04/2025;;TRUE;TRUE;FALSE;FALSE;D549379;-10.9660146;-39.6376195;SENHOR DO BONFIM;2025-04-01;1144826;Consolidado;N/A
B-1121146;ER-CIND-POV-LAGOA DO TANQUE-CENTRO;ITIÚBA;ISRAEL;Energizada;Realizado;;36361 04/04 * 36334 15/04;DESLIG 04/04 e 15/04;;0;;;11;0;;;;;100%;0%;PLANO 7;R$ 159.250,90;R$ 39.812,73;abr./25;07/04/2025;11/04/2025;30/04/2025;JOÃO;LUDIMILA;02/04/2025;;TRUE;TRUE;FALSE;FALSE;D143372;-10.4700646;-39.8056646;SENHOR DO BONFIM;2025-04-01;1121146;Consolidado;N/A
