PROJETO;TITULO;MUNICIPIO;PLANO;ENCARREGADO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PST EXEC;ENERGIZAÇÃO;EQPP;EQPR;RDEP;RDER;AVANÇO;AVNR;V. PROJETO;V. REAL;CART.;PV. INÍCIO;PV. FIM;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1194252;RS-AL 2-COEL-SE NORDESTINA II;NORDESTINA;PLANO 1;ALDAIR;Em execução;;;;SUBTERRANEO;;0;;;0;;;;;;;0%;;R$ 525.831,16;;mai./25;05/05/2025;30/06/2025;DICSON;;;;;;;;;;;SENHOR DO BONFIM;2025-05-01;1194252;Consolidado;N/A
B-1177723;AL-02-NOR-CONSTR-EQ;NORDESTINA;PLANO 1;ALDAIR;Em execução;;;;LV + ENERGZ;LV INTERCALAR 2 POSTE C/ REG;1;;;2;0;;;;;;25%;;R$ 388.702,22;;mai./25;05/05/2025;30/06/2025;DICSON;;;;;;TRUE;;D026487;-10,8273031;-39,4923821;SENHOR DO BONFIM;2025-05-01;1177723;Consolidado;N/A
B-1149258;ER-SEIN-FAZ-LAGOA DOS BOIS-RURAL;NORDESTINA;PLANO 14;ALDAIR;Energizada;;57796-2025 / 57797-2025;;LV + ENERGZ + ENCA BT;Esta pedindo para trocar o cabo (Ver necessidade) / 4 POSTES LV;2;;;3;0;31/05/2025;;;;;100%;;R$ 37.738,75;;mai./25;05/05/2025;08/05/2025;DICSON;;19/05/2025;;TRUE;TRUE;;;D079729;-10,8727161;-39,4417777;SENHOR DO BONFIM;2025-05-01;1149258;Consolidado;N/A
B-1152856;AC-CIND-POV-ANGIGAL-RURAL;NORDESTINA;PLANO 7;MARCELO;Em execução;Pendente;59886;;LV + ENERGZ;LV 4 POSTES C/ REG;0;;;4;0;;;;;;100%;;R$ 1.396.641,65;;mar./25;01/03/2025;31/05/2025;DICSON;;26/05/2025;;FALSE;TRUE;TRUE;FALSE;Q106463;-10,9446747;-39,4145806;SENHOR DO BONFIM;2025-05-01;1152856;Consolidado;N/A
B-1178565;AL-02-NOR-CONSTR;NORDESTINA;PLANO 1;ALDAIR;Em execução;Pendente;57799 57800;;DESLG + LV + ENERGZ;LV 9 POSTES 7 N1 3 N3 2 N4 2 4 CH 2 TENSIONAR;0;;;12;0;;;;;;25%;;R$ 210.613,24;;mai./25;05/05/2025;30/06/2025;DICSON;;19/05/2025;;TRUE;;;;Q097849;-10,7776394;-39,5248747;SENHOR DO BONFIM;2025-05-01;1178565;Consolidado;N/A
B-1177813;AL-02-NOR-CONSTR;NORDESTINA;PLANO 1;ALDAIR;Em execução;Pendente;59885;52349 29/05 TEM PEX;DESLG + LV + ENERGZ;LV 1 POSTE N1-3 E INTERLIGAR FRONTEIRA N/A DE N3-N4;1;;;25;25;;;;;;25%;;R$ 417.638,43;;mai./25;05/05/2025;30/06/2025;DICSON;;19/05/2025;;TRUE;;TRUE;;D368110;-10,8045332;-39,5206598;SENHOR DO BONFIM;2025-05-01;1177813;Consolidado;N/A
B-1169863;ER CIND ANTONIO JOAQUIM DE BARROS RURAL;PINDOBAÇU;PLANO 7;LALA;Energizada;;;53758 29/05;LV + ENERGZ;LV INTERCALAR POSTE C/ TRF;1;;;6;6;31/05/2025;;;;;100%;;R$ 57.690,31;;mai./25;19/05/2025;20/05/2025;JOÃO;;12/05/2025;;TRUE;TRUE;;;Q036684;-10,6207869;-40,2830849;SENHOR DO BONFIM;2025-05-01;1169863;Consolidado;N/A
B-0734029;MP-CCOL-POV VARZEA COMPRIDA 141-B-RURAL;PINDOBAÇU;PLANO 14;GESONI / LALA;Energizada;Realizado;57795-2025;;LV + ENERGZ;LV INTERCALAR N1-3 C/ CH POSTERIOR;26;;;127;0;31/05/2025;;;;;100%;;R$ 429.878,28;;mai./25;15/04/2025;23/05/2025;JOÃO;;;;TRUE;TRUE;FALSE;;Q057977;-10,8045399;-40,2369411;SENHOR DO BONFIM;2025-05-01;0734029;Consolidado;N/A
B-1149688;UB-CIND-RUA-JO O M DE ANDRADE-CENTRO;QUEIMADAS;PLANO 7;JEFERSON;Energizada;;57994-2025;;ENCABEÇAMENTO.BT;;1;;;4;0;31/05/2025;;;;;100%;;R$ 25.487,13;;mai./25;01/05/2025;31/05/2025;DICSON;;12/05/2025;;TRUE;TRUE;FALSE;FALSE;Q105415;-10,9801009;-39,6250963;SENHOR DO BONFIM;2025-05-01;1149688;Consolidado;N/A
B-1123599;IT- CIND - FAZ. SOLIDADE-CEL JOÃO BORGES;QUEIMADAS;PLANO 7;MARCELO;Energizada;Pendente;59984;50423 27/05;DESLG + LV + ENERGZ;LV TROCAR 2 POSTES N4 N1 E INTERCALAR 1 N4-3 E 1 INSTALAR 1 CHAVE E 3 GLV/PRECISA VER COM ESTA A SITUAÇAO DO CLIENTES;0;;;15;0;31/05/2025;;;;;100%;;R$ 135.648,00;;mai./25;12/05/2025;23/05/2025;DICSON;;26/05/2025;;FALSE;;TRUE;;Q090218;-10,9387791;-39,6299377;SENHOR DO BONFIM;2025-05-01;1123599;Consolidado;N/A
B-1144826;ER-CCOL-FAZ-SANTO ANTONIO-RURAL;QUEIMADAS;PLANO 14;JEFERSON;Energizada;;;;LV + ENERGZ;LV N3/N4 SEM CHAVE;17;;;73;0;31/05/2025;;;;;100%;;R$ 638.652,34;;mai./25;28/04/2025;31/05/2025;DICSON;;;;TRUE;TRUE;;;D549379;-10,9660146;-39,6376195;SENHOR DO BONFIM;2025-05-01;1144826;Consolidado;N/A
