CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9101955953;1106668;ER-PREF-POV-CANAL DA BATATEIRA-RURAL;SOBRADINHO;SACADO;LM + LV;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 22.297,35;R$ 5.574,34;22/02/2025;22/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,504162;-40,84397;;;;;;;APROVADA;E681680;E681681;JUAZEIRO;2025-02-01;1106668;Consolidado;N/A
GOVERNO;9102141330;1171691;AC-PREF RUA ANTONIO GUILHERMINO 3-URBANO;JUAZEIRO;19/02;DL TRAFO + LV;21/02;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 41.913,92;R$ 10.478,48;21/02/2025;23/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,4641539;-40,4958867;https://maps.app.goo.gl/PQo6KsoQ3pdgyf7C8;fev.-25;FALSE;;FALSE;FALSE;1019617/APROVADA;E725923;E725923;JUAZEIRO;2025-02-01;1171691;Consolidado;N/A
GOVERNO;9102145210;1171627;ER-SEIN-FAZ-FZ ROMPEDOR 1800-RURAL;CURAÇÁ;;OBRA COCNCLUIDA;;CANCELADA;1;1;;;;;PLANO 7;100%;R$ 29.463,94;R$ 7.365,99;;;EMERSON;EMERSON;CARLOS EDUARDO;-8,9308931;-39,8715633;https://maps.app.goo.gl/uW3Hr3i9kGuuByMm8;fev.-25;TRUE;;TRUE;TRUE;;;;JUAZEIRO;2025-02-01;1171627;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102098830;1156043;ER-CIND-POV- LOGO VEM 1226-LOGO VEM;CASA NOVA;;LV;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 17.496,10;R$ 4.374,03;;;;PAULO JUNIOR;DIEGO;-9,1226207;-40,916031;https://maps.app.goo.gl/G3XZCZah8B6URdPT6;fev.-25;FALSE;;FALSE;FALSE;1019194;;;JUAZEIRO;2025-02-01;1156043;Descartado;Status Excluído (STATUS, STATUS 1)
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;26/02;MIGRAR;;NÃO INICIADA;1;1;;;;;PLANO 7;100%;R$ 91.201,34;R$ 22.800,34;03/02/2025;28/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,372143;-40,349066;;;;;;;1020103/APROVADA;E725929;E725929;JUAZEIRO;2025-02-01;1161619;Consolidado;N/A
QLP;9102114048;1158653;UB-CIND-RUA-QD M 3-A-S O FRANCISCO;CASA NOVA;;LV+LM;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 28.673,93;R$ 7.168,48;;;;PAULO JUNIOR;DIEGO;-9,1551405;-40,9621058;https://maps.app.goo.gl/9bsi7GjQFv99MedA6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1158653;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9102006140;1157282;AL 06-NOVA TOUR O - CONSTRU  O 1 3;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 1;100%;R$ 15.075,30;R$ 3.768,83;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1020110;;;JUAZEIRO;2025-02-01;1157282;Consolidado;N/A
QLP;9102126554;1160765;ER-CIND-POV-VOLTA DE BAIXO-GENIPAPINHO;CAMPO ALEGRE DE LOURDES;;LM;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 12.311,42;R$ 3.077,86;;;;PAULO JUNIOR;DEBORA;-9,6355781;-42,9968411;https://maps.app.goo.gl/ZaD7n7gXfMx6Fsi59;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1160765;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102103367;1157956;ER-CIND-POV-MORCEGO-AGROVALE;JUAZEIRO;;LV;;RETIRADA;0;1;;;;;PLANO 7;100%;R$ 22.412,74;R$ 5.603,19;;;CARLOS / PAULO;;VICTOR;-9,5432491;-40,0846643;https://maps.app.goo.gl/GeR2dZswjxH3bc169;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1157956;Descartado;Status Excluído (STATUS, STATUS 1)
GOVERNO;9102074025;1140190;AC-CIND-POV-LAGOINHA-RURAL;JUAZEIRO;25/02;ENTREGA;26/02;CONCLUIDA;0;1;;;;;PLANO 7;100%;R$ 36.390,95;R$ 9.097,74;26/02/2025;28/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,8519905;-40,2561437;https://maps.app.goo.gl/Ek1nHvgRxyYMyyK88;fev.-25;FALSE;;FALSE;FALSE;1019619/APROVADA;E725924;E725924;JUAZEIRO;2025-02-01;1140190;Consolidado;N/A
QLP;9102146132;1171777;ER - CIND POV PONTAL 22  -RURAL;JUAZEIRO;;LV;;RETIRADA;1;1;;;;;;100%;R$ 5.022,75;R$ 1.255,69;;;CARLOS / PAULO;;CARLOS EDUARDO;-9,0599915;-40,2332085;https://maps.app.goo.gl/irCyMUZUZE4SyuBB6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1171777;Descartado;Status Excluído (STATUS, STATUS 1)
TRANSGRESSÃO;9102127849;1165218;ER-CIND-RUA-S O FRANCISCO-CENTRO;REMANSO;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 7;100%;R$ 31.777,61;R$ 7.944,40;;;;PAULO JUNIOR;DEBORA;-9,5642758;-42,0376227;https://maps.app.goo.gl/CJ4FhBqnN84uTQpx6;fev.-25;FALSE;;FALSE;FALSE;1020093/APROVADA;E725903;E725903;JUAZEIRO;2025-02-01;1165218;Consolidado;N/A
GOVERNO;9102149154;1173382;UB-PREF-RUA WILSON C BRANCO-QUADRA 16;REMANSO;;POSSIVEL DL;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 37.941,14;R$ 9.485,29;;;;PAULO JUNIOR;DEBORA;-9,6157369;-42,0835201;https://maps.app.goo.gl/vGodWZyZMoxSUC9J7;fev.-25;FALSE;;FALSE;FALSE;1020100/APROVADA;E725922;E725922;JUAZEIRO;2025-02-01;1173382;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102070311;1143605;ER-CIND-POV-CALDEIRAO DA ONCA-CAMPO GRAN;PILÃO ARCADO;;ENTREGA;;CONCLUIDA;1;1;;;;;;100%;R$ 16.361,47;R$ 4.090,37;;;;PAULO JUNIOR;DIEGO DE CARVALHO;;;;;;;;;APROVADA;E663597;E663598;JUAZEIRO;2025-02-01;1143605;Consolidado;N/A
RECLAMAÇÃO;9102134612;1163359;AC-CIND-POV- JAQUINICO-RURAL;CURAÇÁ;;DESLIGAMENTO;20/02 e 27/02;CANCELADA;0;0;;;;;PLANO 7;100%;R$ 34.425,82;R$ 8.606,46;20/02/2025;27/02/2028;EMERSON;EMERSON;CARLOS EDUARDO;-9,1621406;-39,5808077;https://maps.app.goo.gl/K74eKa2tzY53MNRf7;fev.-25;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;2025-02-01;1163359;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9102006139;1157379;RS-COEL-SAIDA AL NOVA TOURAO;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;0;;;;;PLANO 1;100%;R$ 1.374.462,12;R$ 343.615,53;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;2025-02-01;1157379;Consolidado;N/A
JUDICIAL;9102095200;1151835;AC-CIND-POV-ITAPICURU-RURAL;SENTO SÉ;11/02;AVANÇO;;NÃO INICIADA;1;0;;;;;PLANO 7;50%;R$ 112.962,82;R$ 28.240,71;12/02/2025;31/03/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,548659;-41,84232;https://maps.app.goo.gl/R1D4niojfsv8RQYU9;;;;;;0 POSTE;;;JUAZEIRO;2025-02-01;1151835;Consolidado;N/A
QLP;9102089916;1151587;ER-CIND-POV-MANICOBA 29-RURAL;JUAZEIRO;;EXT BT;;RETIRADA;1;0;;;;;PLANO 7;100%;R$ 5.026,97;R$ 1.256,74;;;CARLOS / PAULO;;CARLOS EDUARDO;-9,315707;-40,2881403;https://maps.app.goo.gl/QzBnKuuQJfmA1qcF7;fev.-25;FALSE;;FALSE;FALSE;O PG;;;JUAZEIRO;2025-02-01;1151587;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102098277;1159829;ER-CIND-FAZ-PE DE MORRO-RURAL;JUAZEIRO;;LV+LM;;RETIRADA;2;0;;;;;PLANO 7;100%;R$ 29.249,57;R$ 7.312,39;;;CARLOS / PAULO;;VICTOR;-9,4105264;-40,294958;https://maps.app.goo.gl/437uZaK5b7kVuNrq9;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1159829;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102142158;1170155;ER-CIND-POV-LADEIRA GRANDE-RURAL;CASA NOVA;;LM;;RETIRADA;1;0;;;;;PLANO 7;100%;R$ 14.887,10;R$ 3.721,78;;;;PAULO JUNIOR;DIEGO;-9,3730079;-41,4765986;https://maps.app.goo.gl/8QVaYBrXFgs7xRUz5;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1170155;Descartado;Status Excluído (STATUS, STATUS 1)
SOLICITAÇÃO ATENDIMENTO;9102106541;1157017;ER-CIND-POV-MARRUA-RURAL;JUAZEIRO;;LM;;RETIRADA;0;0;;;;;PLANO 7;100%;R$ 32.978,80;R$ 8.244,70;;;CARLOS / PAULO;;VICTOR;-9,7641693;-40,6022083;https://maps.app.goo.gl/uYuSZWXuzR9M7iJR8;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1157017;Descartado;Status Excluído (STATUS, STATUS 1)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-02-01;0000nan;Consolidado;N/A
;;;;;;;;;;878;;;;;305;;23;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-02-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;234;;12;2;;;;;;;;;;;;;;;;;JUAZEIRO;2025-02-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;539;61,39%;35;58;0,6034482759;;;;;;;;;;;;;;;;JUAZEIRO;2025-02-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-02-01;0000nan;Consolidado;N/A
