CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
INTERV SEGURANÇA;9102244605;1197173;IS-COEL-AV-MARIA DA G DE JESUS-J VITOR;JUAZEIRO;;APP;;;;;EM EXECUÇÃO;;0;8;;;;;;100%;R$ 106.579,70;;R$ 13.600,00;04/08/2025;20/08/2025;MANUTENÇÃO;ANDERSON;DIEGO CARVALHO;-9,4257618;-40,5179067;;DA PLANILHA;E777259;E777266;JUAZEIRO;2025-08-01;1197173;Consolidado;N/A
AIC AUDITORIA;9102034008;1129174;MP CIND POV LAGOINHA RURAL;PILÃO ARCADO;;;DETONAÇÃO;;;;CONCLUIDA;;5;36;36;;24;9;14.4.12.1;100%;R$ 367.542,17;;R$ 61.200,00;04/08/2025;30/08/2025;AILTON / MAURICIO;PAULO JUNIOR;MARLOS PEREIRA;-9,7333667;-42,6795551;;DA PLANILHA;E799655;E799687;JUAZEIRO;2025-08-01;1129174;Consolidado;N/A
RECLAMAÇÃO;9102152928;1190607;ER-CIND-SI-S O JOSE-RURAL;JUAZEIRO;;;;;;;PARALIZADA;;1;11;;;;;7.1.2.3;100%;R$ 100.819,97;;R$ 18.700,00;21/08/2025;26/08/2025;PEDRO LINO;EDIE JONNES;VICTOR COSTA;-9,4552515;-40,4720544;;DA PLANILHA;E820325;E820335;JUAZEIRO;2025-08-01;1190607;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102140321;1171596;ER-CIND-POV-BARRA GRANDE-RURAL;CURAÇÁ;;;;;;;NÃO INICIADA;;1;12;;;;;7.1.2.3;100%;R$ 127.556,34;;R$ 20.400,00;18/08/2025;22/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,0727654;-39,9699296;;DA PLANILHA;E778177;E778188;JUAZEIRO;2025-08-01;1171596;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102251726;1205921;ER-CIND-POV-TELHEIRO-TELHEIRO;REMANSO;;;;;;;CONCLUIDA;;1;1;1;;;;7.1.2.3;100%;R$ 22.894,49;;R$ 1.700,00;;;;JORGE;MARLOS PEREIRA;-9,9187261;-42,3338458;;DA PLANILHA;E750816;E750816;JUAZEIRO;2025-08-01;1205921;Consolidado;N/A
RECLAMAÇÃO;9102021225;1129437;LD CIND FAZ MANI OBA VELHA RURAL;JUAZEIRO;;OK - EMAIL;;;;;NÃO INICIADA;;1;15;;;;;;100%;R$ 229.447,51;;R$ 25.500,00;11/08/2025;15/08/2025;PEDRO LINO;EDIE JONNES;VICTOR COSTA;-9,2458864;-40,2915467;;DA PLANILHA;E820248;E820262;JUAZEIRO;2025-08-01;1129437;Consolidado;N/A
AIC OBJETIVO;9101932015;1092651;MP-CCOL-RUA DA CONCEIÇÃO-RURAL;SENTO SÉ;;APP;;;;;NÃO INICIADA;;3;15;;;;;14.4.12.1;100%;R$ 192.622,38;;R$ 25.500,00;06/08/2025;14/08/2025;JACSON;RODRIGUES;SANDRO DUARTE;-9,8048531;-41,4354007;;DA PLANILHA;E750027;E750041;JUAZEIRO;2025-08-01;1092651;Consolidado;N/A
RECLAMAÇÃO;9102167747;1187854;AC-CIND-POV CURRAL RAMOS-CURRAL RAMOS;REMANSO;;;;;;;CONCLUIDA;;1;2;2;;;;7.1.1.3;100%;R$ 19.303,31;;R$ 3.400,00;;;;PAULO JUNIOR;MARLOS PEREIRA;0;0;;DA PLANILHA;E750814;E750815;JUAZEIRO;2025-08-01;1187854;Consolidado;N/A
GOVERNO;9102230797;1198350;ER-CCOL-RUA-04 AGROVILA-PEDRA BRANCA;CURAÇÁ;;;;;;;NÃO INICIADA;;0;18;;;;;7.1.2.3;100%;R$ 144.734,27;;R$ 30.600,00;15/08/2025;23/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-8,6656868;-39,4263194;;DA PLANILHA;E820269;E820286;JUAZEIRO;2025-08-01;1198350;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101992624;1120277;MP-CCOL-RUA 03-RURAL;SENTO SÉ;;;;;;;EM EXECUÇÃO;;1;23;;;;;7.1.2.3;100%;R$ 215.103,20;;R$ 39.100,00;18/08/2025;27/08/2025;FABIO;RODRIGUES;SANDRO DUARTE;-9,75338;-41,8858;;DA PLANILHA;E819506;E819528;JUAZEIRO;2025-08-01;1120277;Consolidado;N/A
RECLAMAÇÃO;9101980788;1116565;MP-CIND-POV-MALVINAS 1000-RURAL-MOD;SENTO SÉ;;;;;;;NÃO INICIADA;;1;23;;;;;7.1.2.3;100%;R$ 337.870,70;;R$ 39.100,00;25/08/2025;30/08/2025;FABIO;RODRIGUES;SANDRO DUARTE;-10,1037102;-42,1469957;;DA PLANILHA;E819374;E819396;JUAZEIRO;2025-08-01;1116565;Consolidado;N/A
RECLAMAÇÃO;9101976965;1119147;MP - CIND - POV. JATOBÁ - RURAL;REMANSO;;APP;;;;;CONCLUIDA;;10;73;73;;;;14.4.12.1;100%;R$ 982.444,23;;R$ 124.100,00;30/07/2025;20/08/2025;SILVONEY;PAULO JUNIOR;MARLOS PEREIRA;-9,5921738;-42,2453811;;DA PLANILHA;E819875;E819947;JUAZEIRO;2025-08-01;1119147;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102100239;1175810;ER-CIND-RUA-DO ASFALTO-PIRI;SENTO SÉ;;APP;;;;;CONCLUIDA;;3;30;30;;;;14.4.12.1;100%;R$ 242.277,60;;R$ 51.000,00;15/08/2025;23/08/2025;JACSON;RODRIGUES;SANDRO DUARTE;-9,804664;-41,4405946;;DA PLANILHA;E820287;E820316;JUAZEIRO;2025-08-01;1175810;Consolidado;N/A
SUBSÍDIO DE DEFESA;9101981354;1118538;ER-CIND-POV-PINHOES-CENTRO;JUAZEIRO;;;;;;;NÃO INICIADA;;1;24;;;;;;100%;R$ 116.374,32;;R$ 40.800,00;25/08/2025;30/08/2025;PAULO;EDIE JONNES;VICTOR COSTA;-9,5667254;-39,9208861;;DA PLANILHA;E750788;E750811;JUAZEIRO;2025-08-01;1118538;Consolidado;N/A
RECLAMAÇÃO;9101959840;1105918;ER-CIND-FAZ-MALHADA CRUZ MATINHA-RURAL;CURAÇÁ;;;;;;;RETIRADA;;1;25;;;;;14.4.12.1;100%;R$ 155.259,45;;R$ 42.500,00;06/08/2025;16/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-8,6583925;-39,5421395;;DA PLANILHA;E820187;E820211;JUAZEIRO;2025-08-01;1105918;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;;;;;;;NÃO INICIADA;;11;26;;;;;14.4.12.1;50%;R$ 243.570,88;;R$ 44.200,00;;;;PAULO JUNIOR;DEBORAH LUMA;-10,5569;-42,6234;;DA PLANILHA;E799629;E799654;JUAZEIRO;2025-08-01;1132085;Consolidado;N/A
