PROJETO;TITULO;MUNICIPIO;PSTP;STATUS;ENCARREGADO;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1207576;ER-CIND-POV-RURAL-POCOS;FILADÉLFIA;1;Energizada;ISRAEL;;BT;;107507(BT);;;PLANO 7;QLP;;;;0;100%;ago./1;R$ 7.897,17;;;JOÃO;;02/09/2025;06/09/2025;03/09/2025;;FALSE;TRUE;FALSE;FALSE;B682517;-10.7532144,-40.1081521;E860294;https://drive.google.com/file/d/1DKzeKdvxBFUlRdYbckITLxFStvP25wvL/view?usp=drive_link;-10,7532144;-40,1081521;SENHOR DO BONFIM;2025-09-01;1207576;Consolidado;N/A
B-1209266;ER-CIND-POV-CANAFISTULA-RURAL;FILADÉLFIA;1;Energizada;ISRAEL;Pendente;LV + ENERGZ;N1 C/TRF;108871(LV)    112179(ENERG);;;PLANO 7;QLP;;;;0;100%;ago./1;R$ 14.374,42;;;JOÃO;;17/09/2025;18/09/2025;10/09/2025;;FALSE;FALSE;FALSE;FALSE;D210457;-10.6498898,-40.0792207;E860325;https://drive.google.com/file/d/1D9nIRamX0Z2l7AExEQ7MqTTVIeWhLYKi/view?usp=drive_link;-10,6498898;-40,0792207;SENHOR DO BONFIM;2025-09-01;1209266;Consolidado;N/A
B-1204027;ER-CIND-POV-ALAGADICO GRANDE 325-RURAL;FILADÉLFIA;1;Energizada;ISRAEL;Pendente;LV + ENERGZ;N1 C/TRF;108879(LV) 111926-(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 18.347,40;;;JOÃO;;22/09/2025;23/09/2025;10/09/2025;;FALSE;FALSE;FALSE;FALSE;D259783;-10.6596563,-40.0279099;E860328;https://drive.google.com/file/d/1BbHgFBObH9Mu12IXHTNGua56neFJONvO/view?usp=drive_link;-10,6596563;-40,0279099;SENHOR DO BONFIM;2025-09-01;1204027;Consolidado;N/A
B-1203648;ER-CIND-POV-CALUMBI-CALUMBI;FILADÉLFIA;1;Energizada;ISRAEL;Pendente;LV + ENERGZ;N1 C/TRF;108886(LV)           111906-(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 18.235,39;;;JOÃO;;24/09/2025;25/09/2025;10/09/2025;;FALSE;FALSE;FALSE;FALSE;D211950;-10.6325843,-40.0640193;E860322;https://drive.google.com/file/d/1Bsf-zND-uqVzvMmFYPr-Ey1Nabwf4p2P/view?usp=drive_link;-10,6325843;-40,0640193;SENHOR DO BONFIM;2025-09-01;1203648;Consolidado;N/A
B-1206416;ER-CIND-FAZ-CAJAZEIRAS-RURAL;FILADÉLFIA;1;Energizada;ISRAEL;Pendente;LV + ENERGZ;N1 C/TRF;108887(LV)             112234-(ENERGI);;;PLANO 14;QLP;;;;2;100%;ago./1;R$ 18.857,00;;;JOÃO;;26/09/2025;27/09/2025;10/09/2025;;FALSE;FALSE;FALSE;FALSE;D274123;-10.7096649,-40.1617884;E860324;https://drive.google.com/file/d/1DYFl2q_NLNcahpopXQdJJOw7Y8oUZmh4/view?usp=drive_link;-10,7096649;-40,1617884;SENHOR DO BONFIM;2025-09-01;1206416;Consolidado;N/A
B-1202316;ER-CIND-POV-LAGOA DO TANQUE-PIAUS;ITIÚBA;1;Energizada;ISRAEL;Realizado;LV + ENERGZ;N1 C/TRF;108867(LV);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 18.115,46;;;JOÃO;;16/09/2025;16/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D143406;-10.4727982,-39.8117563;E844483;https://drive.google.com/file/d/1CK2TKzzHmW1YlDPVpisJE1aHT467GR_o/view?usp=drive_link;-10,4727982;-39,8117563;SENHOR DO BONFIM;2025-09-01;1202316;Consolidado;N/A
B-1199714;IE-RELIGADOR-JAC-09Z3-Q097526;CANSANÇÃO;1;Energizada;JEFERSON;Realizado;LV;1 RELIG;94576(LV);;;PLANO 8;AL/MELHORAMENTO;;;;0;100%;ago./1;R$ 131.264,76;;;DICSON;;28/08/2025;03/09/2025;;;TRUE;;;;Q090197;-10.6667636,-39.5065648;E844020;Não precisa;-10,6667636;-39,5065648;SENHOR DO BONFIM;2025-09-01;1199714;Consolidado;N/A
B-1225692;RU-CIND-RUA-13 DE MAIO-POPULARES 5 CIAPP;SENHOR DO BONFIM;1;Energizada;JOILSON;;BT;;;;;PLANO 7;REPUTACIONAL;;;;1;100%;ago./1;7.218,37;;;JOÃO;;01/09/2025;04/09/2025;;;FALSE;FALSE;FALSE;FALSE;;;E860596;https://drive.google.com/file/d/1vchsbzD68vO7ptA1Mw4e5uSB48cTjwCM/view?usp=drive_link;;;SENHOR DO BONFIM;2025-09-01;1225692;Consolidado;N/A
B-1202969;ER-CIND-POV-CARIOCA DE CIMA-RURAL;SENHOR DO BONFIM;1;Energizada;JOILSON;Pendente;LV + ENERGZ;1 N1 C/ TRF;103523(LV);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 16.844,54;;;JOÃO;;02/09/2025;09/09/2025;02/09/2025;Sim;TRUE;TRUE;TRUE;TRUE;Q050239;-10.4961012,-40.1237219;E860597;https://drive.google.com/file/d/1C6G00ocnBR_bi4UEew7ssPj5-L_8zZpq/view?usp=drive_link;-10,4961012;-40,1237219;SENHOR DO BONFIM;2025-09-01;1202969;Consolidado;N/A
B-1205368;ER-CIND-POV-CARAIBA GRANDE-CARAIBA G;MONTE SANTO;1;Energizada;JOSE;Pendente;LV + ENERGZ;N1 C/TRF;108870(LV)         112431(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 19.578,86;;;DICSON;;17/09/2025;17/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D133268;-10.4182946,-39.5775097;E860580;https://drive.google.com/file/d/1DeoludaIsbMqak5VzE9SnuZsy1fHPAJL/view?usp=drive_link;-10,4182946;-39,5775097;SENHOR DO BONFIM;2025-09-01;1205368;Consolidado;N/A
B-1203172;ER-CIND-POV-PEDRA BRANCA 9999--Z;MONTE SANTO;1;Energizada;JOSE;;BT;;;;;PLANO 14;QLP;;;;1;100%;ago./1;R$ 7.728,74;;;DICSON;;12/09/2025;12/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;E152344;-10.2923895,-39.1855661;E860361 -E860362;https://drive.google.com/file/d/1ByENby-lLui8bcKbg9d1ERZ93_PzDVX_/view?usp=drive_link;-10,2923895;-39,1855661;SENHOR DO BONFIM;2025-09-01;1203172;Consolidado;N/A
B-1203148;UB-CIND-RUA-EUCLIDES DA CUNHA 340-CENTRO;MONTE SANTO;1;Energizada;JOSE;;BT;;BT(110632);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 4.140,93;;;DICSON;;13/09/2025;13/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;A258067;-10.4385302,-39.3283121;E860369;https://drive.google.com/file/d/1C-TnNy__zrME5CsPXIBcBjS6DiPxZIPZ/view?usp=sharing;-10,4385302;-39,3283121;SENHOR DO BONFIM;2025-09-01;1203148;Consolidado;N/A
B-1206403;RR-CIND-FAZ-SANTO ANTONIO-RURAL;QUEIMADAS;1;Energizada;MARCELO;;Depende de outro projeto B-1206228;;;;;PLANO 7;QLP;;;;0;100%;ago./1;R$ 33.385,47;;;DICSON;;22/09/2025;26/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D549335;-10.973127,-39.6514319;E860316;https://drive.google.com/file/d/1D_5yl_H0kNm3MOOJ8MWo-v_GohR20vnB/view?usp=drive_link;-10,973127;-39,6514319;SENHOR DO BONFIM;2025-09-01;1206403;Consolidado;N/A
B-1201479;ER-CIND-POV-LAGOA DA PEDRA 108-RURAL;MONTE SANTO;1;Energizada;OSMAR;;BT;;;;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 7.430,44;;;DICSON;;11/09/2025;11/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;Q109024;-10.6188768,-39.3461413;E860406;https://drive.google.com/file/d/1CZGBcnos6ql-EnUHeHmX8H1-W_Xd4FwX/view?usp=drive_link;-10,6188768;-39,3461413;SENHOR DO BONFIM;2025-09-01;1201479;Consolidado;N/A
B-1202710;ER-CIND-POV-RIACHO DA ONCA-RURAL;MONTE SANTO;1;Energizada;OSMAR;Pendente;LV + ENERGZ;N1 C/TRF;108869(LV)         1124069(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 17.796,43;;;DICSON;;16/09/2025;16/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D136741;-10.5270014,-39.3681401;E860405;https://drive.google.com/file/d/1CCIq2JDdscX5wp8JumOT0hsP8u-Ru_qR/view?usp=drive_link;-10,5270014;-39,3681401;SENHOR DO BONFIM;2025-09-01;1202710;Consolidado;N/A
B-1150105;RR-CIND-ROD-BR 407-RURAL;SENHOR DO BONFIM;1;Energizada;REGINALDO;Pendente;LV;1 CE1 CE3;90938(LV);;;PLANO 7;TRANSGRESSÃO;;;;0;100%;ago./1;R$ 9.683,00;;;JOÃO;;03/09/2025;03/09/2025;03/09/2025;;;TRUE;FALSE;FALSE;D570916;-10.4771384,-40.1681173;E844311;https://drive.google.com/file/d/1AzvNTCuZ0zAvGYyurnu3jUPwb2i3tkQr/view?usp=drive_link;-10,4771384;-40,1681173;SENHOR DO BONFIM;2025-09-01;1150105;Consolidado;N/A
B-1207799;ER-CIND-FAZ-V DO RANCHO 451-FILADELFIA;FILADÉLFIA;1;Energizada;WAGNER;Pendente;LV + ENERGZ;N1 C/TRF;108877(LV)               111071-(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 17.670,56;;;JOÃO;;19/09/2025;20/09/2025;10/09/2025;;FALSE;FALSE;FALSE;FALSE;D049590;-10.682497,-40.065496;E860323;https://drive.google.com/file/d/1DGcSVFEBy9ZFKmKnp6MMiMg6LtHzp0aZ/view?usp=drive_link;-10,682497;-40,065496;SENHOR DO BONFIM;2025-09-01;1207799;Consolidado;N/A
B-1201158;UB-CIND-RUA-DO CIMITERIO-CENTRO;PINDOBAÇU;1;Energizada;WAGNER;;BT;;107592(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 8.186,70;;;JOÃO;;02/09/2025;12/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D363786;-10.6026764,-40.3129443;E860345;https://drive.google.com/file/d/1CcVdmemVzIIgEmDewHsD7UCRoTKAc9TF/view?usp=drive_link;-10,6026764;-40,3129443;SENHOR DO BONFIM;2025-09-01;1201158;Consolidado;N/A
B-1202886;ER-CIND-POV-LIMPOS-RURAL;PONTO NOVO;1;Energizada;WAGNER;Pendente;LV + ENERGZ;N1 C/TRF;108780(LV) 108772(BT)      111037(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 20.759,70;;;JOÃO;;05/09/2025;12/09/2025;05/09/2025;;FALSE;TRUE;FALSE;FALSE;D197428;-10.9033417,-40.0283428;E844380;https://drive.google.com/file/d/1C93zW77FF6AT8W0KoCiG-JCB1wwOpgaA/view?usp=drive_link;-10,9033417;-40,0283428;SENHOR DO BONFIM;2025-09-01;1202886;Consolidado;N/A
B-1202465;AC-CIND-POV-PAU DE COLHER 8526-RURAL;CANSANÇÃO;0;Energizada;ANAILTON;;DESL;;;17/09;104959;PLANO 7;QLP;;;;1;100%;ago./1;R$ 33.184,90;;;DICSON;;17/09/2025;17/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;D277159;-10.6278609,-39.4692127;;https://drive.google.com/file/d/1Qtwf04tLXZwcTwNPaCO48gNBacf1UdVb/view?usp=drive_link;-10,6278609;-39,4692127;SENHOR DO BONFIM;2025-09-01;1202465;Consolidado;N/A
B-1204794;ER-CIND-ROD-LOMANTO JR-PASSAGEM VELHA;SENHOR DO BONFIM;0;Energizada;JOILSON;Realizado;LV + ENERGZ;TRF;103560(LV);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 27.157,14;;;JOÃO;;03/09/2025;09/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D570940;-10.4947201,-40.1613656;;https://drive.google.com/file/d/1BQUEkglESIUPN9p2-04eegHJZn8Mn9v9/view?usp=drive_link;-10,4947201;-40,1613656;SENHOR DO BONFIM;2025-09-01;1204794;Consolidado;N/A
