PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;STATUS_AUDITORIA;MOTIVO_DESCARTE
1145919;MP CIND POV JUREMA VERMELHA RURAL;RECLAMAÇÃO;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;EDIE JONNES;FABIO;DIEGO ALMEIDA;7.1.2.3;100%;nan;15;nan;nan;06/01/2026;17/01/2026;nan;SIM;NÃO;nan;-9.201209;-40.236227;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1206096;ME-COEL-CJN-QD D 20-SAO GERALDO;NOVOS QUESTIONAMENTOS ANEEL;JUAZEIRO;JANEIRO 2026;PROGRAMADA;ESCAVAÇÃO;COMPLETO;nan;IVONALDO;NELSON;VICTOR BARROS;8.2.1.3;100%;0;2;nan;nan;07/01/2026;12/01/2026;nan;NÃO;NÃO;nan;-9.4220855;-40.493182;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1171777;ER - CIND POV PONTAL 22 -RURAL;JUDICIAL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;EDIE JONNES;NELSON;CARLOS EDUARDO;14.4.12.1;100%;1;1;nan;nan;08/01/2026;08/01/2026;nan;NÃO;NÃO;nan;-9.060874;-40.230229;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1211449;AC-CIND-FAZ-MANICOBA-SISTEMA MANICOBA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;DIEGO ALMEIDA;7.1.2.3;100%;1;2;nan;nan;08/01/2026;12/01/2026;nan;NÃO;NÃO;nan;-9.190403;-40.285133;Ver no Mapa;nan;10/01/2026;nan;nan;nan;Consolidado;N/A
1229081;ER-CIND-POV-TANQUE NOVO-RURAL;QLA;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;nan;0;nan;nan;10/01/2026;12/01/2026;nan;NÃO;NÃO;nan;-9.511133;-39.950607;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1205091;AC-CIND-AV-JORGE KHOURY-VILA SANTA INES;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;IVONALDO;FABIO;DIEGO ALMEIDA;7.1.2.3;100%;1;0;nan;nan;12/01/2026;12/01/2026;nan;NÃO;NÃO;nan;-9.32959;-40.297117;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1182462;ER-CIND-POV-LAGOA DOS BOIS 23-RURAL;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;SANDRO SANTOS;7.1.2.3;100%;1;1;nan;nan;12/01/2026;12/01/2026;nan;NÃO;NÃO;nan;-9.498119;-40.186957;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1203240;AC-CIND-RUA-MARIA D LEITE 37-A-J VITORIA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;1;1;nan;nan;12/01/2026;12/01/2026;nan;SIM;NÃO;nan;-9.420795;-40.512504;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1214239;IE-RELIGADOR-ROD. BA210-SPECIAL FRUIT;REPUTACIONAL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;EQUIPAMENTO;COMPLETO;nan;ANDERSON;PEDRO LINO;DIEGO ALMEIDA;7.1.2.3;100%;0;1;nan;nan;13/01/2026;14/01/2026;nan;NÃO;NÃO;nan;-9.402634;-40.351189;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1210502;ER-CIND-FAZ-MANICOBA VELHA I 10-SISTEMA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;PEDRO LINO;DIEGO ALMEIDA;7.1.2.3;100%;1;1;nan;nan;15/01/2026;15/01/2026;nan;SIM;NÃO;nan;-9.247476;-40.299739;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1182483;AC-CIND-POV-JAZIDA 07-JAZIDA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;NELSON;DIEGO ALMEIDA;7.1.2.3;100%;1;3;nan;nan;16/01/2026;16/01/2026;nan;NÃO;NÃO;nan;-9.241409;-40.240577;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1235654;ER-CIND-FAZ-MANGA-RIO SALITRE;JUDICIAL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;JOSE DA SILVA;SANDRO SANTOS;7.1.2.3;100%;1;1;nan;nan;17/01/2026;17/01/2026;nan;NÃO;NÃO;nan;-9.621671;-40.54422;Ver no Mapa;nan;13/01/2026;nan;nan;nan;Consolidado;N/A
1215540;AC-PREF-POV-SAO GONCALO 17-SAO GONCALO;GOVERNO;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;SANDRO SANTOS;7.1.2.3;100%;1;3;nan;30/01/2026;19/01/2026;20/01/2026;nan;NÃO;NÃO;nan;-9.473941;-40.677269;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1231940;ME-COEL-AV-2-LOT SOL LEVANTE;NOVOS QUESTIONAMENTOS ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;SANDRO SANTOS;8.2.1.3;100%;0;5;nan;nan;20/01/2026;20/01/2026;nan;NÃO;NÃO;nan;-9.425472;-40.510967;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1234127;RC-PREF-AV-B ALMEIDA MORAES-J S PAULO;GOVERNO;JUAZEIRO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;A SOLICITAR;nan;IVONALDO;NELSON;SANDRO SANTOS;8.3.2.3;100%;0;35;nan;nan;12/01/2026;31/01/2026;nan;NÃO;NÃO;nan;-9.4342076;-40.501419;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1048624;MP-CCOL-POV-JAZILDA-RURAL;SOLICITAÇÃO ATENDIMENTO;JUAZEIRO;JANEIRO 2026;EM EXECUÇÃO;ESCAVAÇÃO;COMPLETO;nan;EDIE JONNES;FABIO;CARLOS EDUARDO;14.7.3;100%;2;34;nan;nan;19/01/2026;30/01/2026;nan;NÃO;NÃO;nan;-9.232949;-40.234116;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1167094;MP CIND FAZ. CIPO JUREMAL RURAL;JUDICIAL;JUAZEIRO;JANEIRO 2026;AVANÇO;NÃO INICIADA;COMPLETO;nan;IVONALDO;nan;SANDRO SANTOS;14.4.12.1;50%;1;33;nan;nan;28/01/2026;28/02/2026;nan;NÃO;NÃO;nan;-9.800948;-40.344051;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1024327;ER-CIND-POV-CALDEIRAOZINHO-RURAL;SOLICITAÇÃO ATENDIMENTO;JUAZEIRO;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;EDIE JONNES;nan;CARLOS EDUARDO;14.7.3;40%;5;41;nan;nan;26/01/2026;05/03/2026;nan;NÃO;NÃO;nan;-9.3835;-40.275377;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1120283;RC-CIND-AV-DR ADOLFO VIANA-CENTRO;INSTITUCIONAL;JUAZEIRO;JANEIRO 2026;EM EXECUÇÃO;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;GISMARIO;CARLOS EDUARDO;8.3.2.3;100%;0;45;nan;nan;nan;28/02/2026;nan;NÃO;NÃO;nan;-9.4250931;-40.5049497;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1159894;UB-CIND-RUA-JUAZEIRO-2;GOVERNO;JUAZEIRO;JANEIRO 2026;EM EXECUÇÃO;NÃO INICIADA;PARCIAL;nan;IVONALDO;JUAREZ;VICTOR BARROS;7.1.1.3;100%;0;66;nan;nan;nan;30/01/2026;nan;SIM;SIM;nan;-9.454890;-40.514309;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1162058;ER-CIND-FAZ-MASSAYO-RURAL;REPUTACIONAL;JUAZEIRO;JANEIRO 2026;EM EXECUÇÃO;ESCAVAÇÃO;PARCIAL;chi elevado não consegue desligamento esse ano;RODRIGUES;CARLOS EDUARDO;VICTOR BARROS;7.1.2.3;100%;0;37;nan;nan;nan;31/01/2026;nan;SIM;SIM;nan;-9.464869;-40.3234571;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1162074;AC-CIND-FAZ-MASSAYO-RURAL;REPUTACIONAL;JUAZEIRO;JANEIRO 2026;EM EXECUÇÃO;IMPLANTAÇÃO;SO CONCRETO;Material retirado para o reator / MARCAR DESLIGAMENTO;RODRIGUES;CARLOS EDUARDO;VICTOR BARROS;7.1.2.3;100%;0;46;nan;nan;nan;31/01/2026;nan;SIM;SIM;nan;-9.4570754;-40.3571651;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1176752;ER-CIND-POV-LAGOA REDONDA-RURAL;PRIORIDADE PLANO ANEEL;PILÃO ARCADO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;SANTIAGO;JACSON;MARLOS LOPES;7.1.2.3;100%;1;1;nan;15/01/2026;15/01/2026;15/01/2026;nan;nan;NÃO;nan;-10.243537;-43.676564;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
