CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102156418;1183735;ER-CIND-POV-JUREMAL 1026-RURAL;JUAZEIRO;;;;;;;CONCLUIDA;03/06/2025;1;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;03/06/2025;06/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799860;E799860;JUAZEIRO;2025-06-01;1183735;Consolidado;N/A
RECLAMAÇÃO;9101865235;1062682;LD- CIND POV  MARCOS RURAL- REM;REMANSO;;;;;;;EM EXECUÇÃO;;5;70;;35;;;PLANO 14;50%;;;;12/06/2025;31/07/2025;AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E800366;E800435;JUAZEIRO;2025-06-01;1062682;Consolidado;N/A
ESTRATÉGICA;9101708533;1058096;MP-CCOL-POV-PONTA DA SERRA-RURAL;REMANSO;;;;RUBEM;;;NÃO INICIADA;;6;74;;55,5;;;PLANO 14;75%;;;;02/06/2025;31/07/2025;RUBEM;RUBEM;;;;;DA PLANILHA;E799758;E799831;JUAZEIRO;2025-06-01;1058096;Consolidado;N/A
REPUTACIONAL;9101949445;1101591;IT-GRUA-FAZ-PROJETO NILO COELH-RURAL-MOD;CASA NOVA;;;;;;;NÃO INICIADA;;0;176;;132;;;PLANO 7;75%;;;R$ 299.200,00;03/06/2025;31/07/2025;FERNANDO;PAULO JUNIOR;;;;;DA PLANILHA;E777332;E777507;JUAZEIRO;2025-06-01;1101591;Consolidado;N/A
QLP;9102130432;1168465;ER-CIND-POV-RURAL-LAGOA DOS CAVALOS;JUAZEIRO;;;;;;;CONCLUIDA;10/06/2025;1;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;05/06/2025;14/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799848;E799848;JUAZEIRO;2025-06-01;1168465;Consolidado;N/A
QLP;9102103367;1157956;ER-CIND-POV-MORCEGO-AGROVALE;JUAZEIRO;;;;;;;CONCLUIDA;12/06/2025;0;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;06/06/2025;12/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799845;E799845;JUAZEIRO;2025-06-01;1157956;Consolidado;N/A
JUDICIAL;9101038464;806660;MP-CCOL-POV. CHAMUSCADO-RURAL;PILÃO ARCADO;;;OURO;EMERSON;;;EM EXECUÇÃO;;19;208;;104;;;PLANO 14;50%;;;;02/06/2025;31/07/0205;EMERSON;EMERSON;;;;;DA PLANILHA;E773493;E773700;JUAZEIRO;2025-06-01;0806660;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102044592;1130710;ER-CCOL-FAZ TATUI 15-RURAL-CORRENTEZA;SOBRADINHO;;;;;;;CANCELADA;;3;57;;57;;;PLANO 7;100%;;;R$ 96.900,00;;;;;;;;;DA PLANILHA;E800527;E800583;JUAZEIRO;2025-06-01;1130710;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
EQUIPAMENTO;9102137497;1172482;IE-RELIGADOR-NCU-01Z4-J00704;JUAZEIRO;;;;;;;CONCLUIDA;;0;1;1;1;;;PLANO 8;100%;;;R$ 1.700,00;09/06/2025;28/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799844;E799844;JUAZEIRO;2025-06-01;1172482;Consolidado;N/A
AIC OBJETIVO;9102124064;1159873;LD - CIND - POV - BARRA GRANDE - RURAL;JUAZEIRO;;;;;;;CONCLUIDA;11/06/2025;1;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;11/06/2025;16/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799847;E799847;JUAZEIRO;2025-06-01;1159873;Consolidado;N/A
