NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;NAN;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102053037;B-1136793;RR-CIND-FAZ-TAMANDUA 500 --E-RURAL;PIRITIBA;ENERGIZADA;HIAGO;DURVAL;DIORLAN;;LPT;10/01/25;10/01/25;17/01/25;2025-6662;2025-6673;2024-154746;24/01/25;APROVADA;1016766/2024;E699056 ao E699067;1;16;16;16;0;100,00%;;22/01/25;31/01/25;28/01/2025;;-11.748487;-40.5868647;R$ 132.380,20;;;;;;;JACOBINA;2025-01-01;1136793;Consolidado;N/A
9102083313;B-1146649;RR-CIND-POV-CALDEIR O GRANDE-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;2025-7192 - CONJ. PD;;2024-154759;21/01/25;CONCLUÍDO;;E615877 ao E615879;1;7;7;7;0;100,00%;;17/01/25;21/01/25;21/01/2025;;-11.74582487;-40.59656942;R$ 61.383,31;;;;;;;JACOBINA;2025-01-01;1146649;Consolidado;N/A
9102085364;B-1149302;RR-CIND-FAZ-NOVA ESPERANCA-RURAL-FRANCA;PIRITIBA;ANDAMENTO;HIAGO;DURVAL;DIORLAN;;QLP;09/01/25;09/01/25;13/01/25;2025-9886;2025-9915;;;;1016767/2024;E699118 ao E699133;1;16;16;10;6;63%;;22/01/25;28/01/25;;;-11.65772311;-40.56267717;R$ 121.035,20;;;;;;;JACOBINA;2025-01-01;1149302;Consolidado;N/A
9102096043;B-1151038;ER-CCOL-FAZ-PINDOBEIRA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-10261;2025-10265;;;;1016768/2024;E699134 ao E699147;1;14;;;14;0%;;17/01/25;30/01/25;;;;;R$ 126.327,14;;;;;;;JACOBINA;2025-01-01;1151038;Consolidado;N/A
9102096050;B-1151534;ER-CIND-FAZ-AVENIDA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-10267;;;;;;E615932 ao E615939;1;8;;;8;0%;;29/01/25;31/01/25;;;;;R$ 44.077,73;;;;;;;JACOBINA;2025-01-01;1151534;Consolidado;N/A
9102100090;B-1151885;ER-CIND-RUA-DA ESTACAO 421-RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;;QLP;03/01/25;03/01/25;08/01/25;OK;;;;;;E615826;1;1;1;1;0;100,00%;;08/01/25;08/01/25;09/01/2025;;-11.851930;-40.526401;R$ 15.632,47;;;;;;Intercalar poste e trafo c/ LV;JACOBINA;2025-01-01;1151885;Consolidado;N/A
9102091405;B-1153459;ER-CIND-FAZ-ESPERANÇA-RURAL;MUNDO NOVO;;ANTONIO;RENATO;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-11282;2025-11281;;;;;E615940 ao E615948;1;9;;;9;0%;;22/01/25;25/01/25;;;;;R$ 76.518,33;;;120,00;;;Transformar estrutura em poste circular c LV;JACOBINA;2025-01-01;1153459;Consolidado;N/A
9101762735;B-1020772;ER-CIND-FAZ-ALTAMIRA BOA FE-MASSAMBAO;PIRITIBA;ENERGIZADA;JAILTON;DURVAL;DIORLAN;;LPT;15/01/25;15/01/25;17/01/25;2025-6078;2025-7215;;;;;E615871 AO E615876;1;6;6;6;0;100,00%;;31/01/25;31/01/25;29/01/2025;;-11.584449;-40.622985;R$ 15.732,26;;;;;;;JACOBINA;2025-01-01;1020772;Consolidado;N/A
9101818316;B-1061441;MP-CCOL FAZ ALAGADINHO JUNCO-RURAL;JACOBINA;ENERGIZADA;HERMOGENES;DURVAL;NAILTON;;LPT;17/12/24;18/12/24;19/12/24;OK;"LM: 2024-153698
ENERG:  2024-153733";;;;1013214/2024;E673676 ao E673715;4;36;36;36;0;100,00%;50,00%;16/12/24;10/01/25;16/01/2025;;-11.300160;-40.108677;;;;;;;;JACOBINA;2025-01-01;1061441;Consolidado;N/A
9101991355;B-1121769;ER-CIND-POV-BREJAO DA CAATINGA-RURAL;JACOBINA;ENERGIZADA;ELIEZER;ETEMILSON;DIORLAN;;SOLICITAÇÃO ATENDIMENTO;20/12/24;20/12/24;23/12/24;"2024-141262
2024-153016
2024-153367";;"2024-151128
2024-154615
2025-5557
MANOBRA";23/01/25;CONCLUÍDO;;E615794 AO E615797;0;4;4;4;0;100,00%;100,00%;20/12/24;15/01/25;23/01/2025;R022700;-10.991472;-40.730930;R$ 55.406,76;;SIM;;;Reprogramado desligamento e manobra para 15/01/2025;;JACOBINA;2025-01-01;1121769;Consolidado;N/A
