PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;PSTP;CONCRETO;% POSTES;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;% CAVAS;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1155593;ER-CIND-FAZ-JUAZEIRINHO-RURAL;CANSANÇÃO;JEFFERSON;;1;1;100%;;LV + ENERGZ;N1 C/ TRF;125048 (LV)   125848 (EN);29/10/2025;128912;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 20.229,80;;;;;27/10/2025;31/10/2025;13/10/2025;;TRUE;TRUE;;;D265962;-10,6850113, -39,5549432;E875202 – E875202;https://drive.google.com/file/d/1-m2QkNBzfsq5ArEr7_pW5dDvuxxmXmMd/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1155593;Consolidado;N/A
B-1158161;ER-CIND-POV-LAGOA DOS ALTOS-LAGOA DOS AL;CANSANÇÃO;JEFFERSON;;1;1;100%;;LV + ENERGZ;N1 C/ TRF;125011 (LV) 124902 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 15.000,26;;;;;27/10/2025;31/10/2025;13/10/2025;;TRUE;TRUE;;;D158998;-10,6306033, -39,457738;E875201 – E875201;https://drive.google.com/file/d/1nBqmO9QjEOqxkoPP2WFLlIv3r67uImZP/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1158161;Consolidado;N/A
B-1203983;ER-CIND-POV-DE QUIBA-RURAL;NORDESTINA;ANAILTON;Energizada;5;5;100%;;LV + ENERGZ;N1 C/ TRF;127125 (EN) 129497 (LV);;;PLANO 14;PRIORIDADE PLANO ANEEL;;1;20,0%;1;100%;out./1;R$ 48.956,43;;;;;13/10/2025;18/10/2025;06/10/2025;;;TRUE;;;D003045;-10,8758299, -39,4775145;E875268 – E875272;https://drive.google.com/file/d/1W6JA17TFzAEkllC5_OcpL2rB0V3CHRmt/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1203983;Consolidado;N/A
B-1210474;UB-CIND-RUA-DAVID LOPES GUIMARAES-CENTRO;NORDESTINA;ANAILTON;Energizada;3;3;100%;;BT;;127100 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;3;100,0%;2;100%;out./1;R$ 19.700,51;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D135084;-10,8296836, -39,4294429;E875164 – E875166;https://drive.google.com/file/d/1RMow-MHFiM8PjnN2HzG6qI3OAuPX3izm/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1210474;Consolidado;N/A
B-1196897;UB-CIND-AV-PAULO DA SILVA REIS-CENTRO;NORDESTINA;ANAILTON;Energizada;3;3;100%;;BT;;127103 BT;;;PLANO 7;QLP;;3;100,0%;1;100%;out./1;R$ 23.563,21;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;Q095749;-10,8182368, -39,4292432;E875161 – E875163;https://drive.google.com/file/d/10HA6UbFGGTQfoTW3QQheIS2MdZH4eIpc/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196897;Consolidado;N/A
B-1196300;ER-CIND-POV-DEIXAI 9-RURAL;CANSANÇÃO;JEFFERSON;Energizada;0;;100%;;BT;;120004 BT;;;PLANO 14;QLP;;;100,0%;1;100%;out./1;R$ 2.326,59;;;;;06/10/2025;11/10/2025;06/10/2025;;;TRUE;;;D299596;-10,6834861, -39,312246;0;https://drive.google.com/file/d/1OgqGymj9tSaRSaY-bKGFMfSmiVcVCk_z/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196300;Consolidado;N/A
B-1160058;UB-CIND-RUA-SAO MIGUEL-CENTRO-CANSANCAO;CANSANÇÃO;JEFFERSON;Energizada;0;;100%;;DESL;;;;120058;PLANO 7;PRIORIDADE PLANO ANEEL;;;100,0%;1;100%;out./1;R$ 43.107,60;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;Q099395;-10,6680924, -39,4947338;0;https://drive.google.com/file/d/1_E4W-ZxRY_f32obN2FfsqzXw6_xIAHPC/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1160058;Consolidado;N/A
B-1172194;ER-CIND-ROD-BA-374-RURAL-CAMPO FORMOSO;CAMPO FORMOSO;ISRAEL;Energizada;0;;100%;;LV + ENERGZ;TRF;124645 (LV) 124245 (EN);;120055;PLANO 7;PRIORIDADE PLANO ANEEL;;;100,0%;1;100%;out./1;R$ 13.701,02;;;;;13/10/2025;18/10/2025;07/10/2025;;TRUE;TRUE;;;E193958;-10,501227, -40,340398;0;https://drive.google.com/file/d/19LOqNw2er8fMAObK95e2veiCBSgD96Fp/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1172194;Consolidado;N/A
B-1148023;ER-CIND-POV-PEDRA DO MATADOURO-RURAL;MONTE SANTO;OSMAR;Energizada;0;;100%;;LV + ENERGZ;TRF;125078 (EN);;120808;PLANO 7;PRIORIDADE PLANO ANEEL;;;100,0%;1;100%;out./1;R$ 13.891,17;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D183857;-10,4422641, -39,3008091;0;https://drive.google.com/file/d/1iDEQ19tvaJp7nUciBR9B3nkT6yw89C0n/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1148023;Consolidado;N/A
B-1167538;ER-CIND-POV-HORIZONTE NOVO-RURAL;MONTE SANTO;OSMAR;Energizada;0;;100%;;LV + ENERGZ;TRF;127525 (LV) 124985 (EN);;120061;PLANO 7;PRIORIDADE PLANO ANEEL;;;100,0%;1;100%;out./1;R$ 16.380,36;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D287983;-10,34874, -39,7181151;0;https://drive.google.com/file/d/1o7gSWBSeiBUWLejvdQ2pLC-uSAW6a2Ly/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1167538;Consolidado;N/A
B-1198687;AC-CIND-POV-SERRA GRANDE -RURAL;MONTE SANTO;OSMAR;Energizada;0;;100%;;BT;;122142 BT;;;PLANO 7;QLP;;;100,0%;0;100%;out./1;R$ 1.933,09;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D148223;-10,2691195, -39,2747811;0;https://drive.google.com/file/d/1WFdRPA2w6sVMQbJOQ9YCrVrteGNSJOqC/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1198687;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-10-01;0000nan;Consolidado;N/A
