PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;PSTP;CONCRETO;% POSTES;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;% CAVAS;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1173478;ER-CIND-POV-LAGOA DO BOI-LAGOA DO BOI;SENHOR DO BONFIM;JOILSON;Energizada;6;6;100%;;BT;;115798 (BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;6;100,0%;1;100%;set./1;R$ 30.445,50;;;;;20/10/2025;31/10/2025;01/10/2025;;TRUE;TRUE;;;E860849;;E860849 -E860853;;;;SENHOR DO BONFIM;2025-10-01;1173478;Consolidado;N/A
B-1195841;ER-CIND-POV-LAGE 3652-LAGE;MONTE SANTO;ANAILTON;;2;2;100%;;LV + BT;2 N1;127161 BT;;123362;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 12.344,10;;;;;20/10/2025;25/10/2025;06/10/2025;;;TRUE;;;D143859;-10,4605865, -39,2612516;E875150 – E875151;https://drive.google.com/file/d/10hAjidpSjethJXun3uV91gg5_28hEfjx/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1195841;Consolidado;N/A
B-1207817;ER-CIND-FAZ-TANQUINHO 66-TIJUACU;SENHOR DO BONFIM;REGINALDO;Energizada;6;6;100%;;DESL + LV + BT;N1;123277 (BT);;123343;PLANO 7;PRIORIDADE PLANO ANEEL;;6;100,0%;1;100%;out./1;R$ 27.493,60;;;;;20/10/2025;25/10/2025;20/10/2025;;;TRUE;FALSE;FALSE;Q049592;-10,5604559, -40,1315522;E875348 – E875353;https://drive.google.com/file/d/1_XMElTiYZrazbvLG92Ii5SfUM_7zzSf8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1207817;Consolidado;N/A
B-1211134;ER-CIND-POV-SACO FUNDO 24-RURAL;MONTE SANTO;JOSE;Energizada;6;6;100%;;LV + ENERGZ;N1 C/ TRF;125893(LV) 124159 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;6;100,0%;2;100%;out./1;R$ 58.994,65;;;;;06/10/2025;11/10/2025;06/10/2025;;FALSE;TRUE;;;A284391;-10,2229701, -39,409205;E875359 – E875364;https://drive.google.com/file/d/1jJlKToSQlaG62EXkuCgqWIHbW0o11yed/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1211134;Consolidado;N/A
B-1213503;ER-CIND-POV-PEREIROS-RURAL;SENHOR DO BONFIM;JOILSON;Energizada;5;5;100%;;BT;;121424 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;5;100,0%;1;100%;out./1;R$ 25.319,43;;;;;06/10/2025;10/10/2025;01/10/2025;;TRUE;TRUE;FALSE;FALSE;Q045765;-10,3808554, -40,0701585;E875354 – E875358;https://drive.google.com/file/d/1EAI3KYXGJOWbzz18J8aKVZE8BAkhpfHs/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1213503;Consolidado;N/A
B-1199296;AC-CIND-FAZ-FELICIANO-RURAL;MONTE SANTO;ANAILTON;Energizada;2;2;100%;;BT;;127180 BT;;;PLANO 7;QLP;;;0,0%;1;100%;out./1;R$ 11.810,71;;;;;20/10/2025;25/10/2025;06/10/2025;;;TRUE;;;D154864;-10,4535805, -39,5306571;E875155 – E875156;https://drive.google.com/file/d/1Tg2ep-sc3cXCJ8ff3PXUxu7WwJvzY1v4/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1199296;Consolidado;N/A
B-1200674;ER-CIND-FAZ-VARZEA GRANDE-VARZEA GRANDE;QUEIMADAS;GESONI;;5;5;100%;;LV + BT;2 N1;123154 BT;;128905;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 35.253,30;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;FALSE;FALSE;B565390;-10,9210645, -39,9412907;E875365 – E875369;https://drive.google.com/file/d/18ZF9Qq8JVg4GFYxbbO4i-8WenlIsK2HK/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1200674;Consolidado;N/A
B-1195013;UB-CIND-RUA-CENTENARIO DA REP-ALTO DA C;MONTE SANTO;OSMAR;Energizada;4;4;100%;;BT;;122237 BT;;;PLANO 7;QLP;;4;100,0%;1;100%;out./1;R$ 30.807,46;;;;;06/10/2025;11/10/2025;06/10/2025;;;TRUE;;;D765825;-10,4368644, -39,3214137;E875385 – E875388;https://drive.google.com/file/d/1kp3yWRVvXEM2lwWfRD1fgUAxHdgV09wR/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1195013;Consolidado;N/A
B-1212968;UB-CIND-RUA-DA CHACARA 957-ESPLANADA;CAMPO FORMOSO;ISRAEL;Energizada;4;8;100%;;BT;;120712 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;4;100,0%;1;100%;out./1;R$ 23.320,80;;;;;07/10/2025;11/10/2025;07/10/2025;;TRUE;TRUE;;;D696755;-10,5068992, -40,3303808;E875279 – E875282;https://drive.google.com/file/d/1O_R2bl3izf3-rTAiMkWyBYvSHpoCbhdy/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1212968;Consolidado;N/A
B-1175534;UB-CIND-RUA-DAS VIOLETAS-VILA DOS RICOS;CAMPO FORMOSO;ISRAEL;Energizada;4;4;100%;;BT;;120680 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;4;100,0%;0;100%;out./1;R$ 37.229,65;;;;;07/10/2025;11/10/2025;07/10/2025;;TRUE;TRUE;;;E638589;-10,4962477, -40,3257289;E875283 – E875286;https://drive.google.com/file/d/1L9XOC0qeRg6v2KsF1Ptbvhh3hPZN_9Yj/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1175534;Consolidado;N/A
