PROJETO;TITULO;MUNICIPIO;ENCARREGADO;PSTP;OBS;RESUMO;STATUS;CONCRETO;PST EXEC;CAVR;LV;RESUMO LV;Nº PES;DT DESL;DESLIG;% POSTES;% CAVAS;CLIENT.;PLANO;CRITERIO;AVANÇO;CART;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;ENERGIZAÇÃO;SACADO;PRÉ FECHAMENTO;AS BUILT;DIAS;DEVOLUÇAO;DIAS.1;BOOK;DIAS.2;VISITA PRÉVIA;REFERÊNCIA;LAT;LONG;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1201683;ER-SEIN-POV-SANTO ANTONIO-SANTO ANTONIO;JAGUARARI;OSMAR;94;ELO 0,5H 536778;LV + ENERGZ + BT;;57;20;48 FURADAS;;N3/4;LV-6538 EN 24717   BT 24724;;É POSSIVEL;;;9;PLANO 7;GOVERNO;100%;jan./1;R$ 802.766,79;ADRIANO;;02/02/2026;27/02/2026;03/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;B971287;-10,027566;-40,051352;-10,027566, -40,051352;https://drive.google.com/file/d/1ypo2v-XF7HyvPiCu55oHvcALYKtBnRxg/view;E936903 – E936995;;;SENHOR DO BONFIM;2026-02-01;1201683;Consolidado;N/A
B-1203968;RR-CIND-FAZ-JOAO GOMES-RURAL;CAMPO FORMOSO;ADAO;91;ENERGIZADA;LV+ ENERGZ;Energizada;90;0;91;;;24167 EN;;;;;;PLANO 7;QLP;100%;fev./1;R$ 663.368,59;EDLECIO;;02/02/2026;27/02/2026;;;28/02/2026;TRUE;TRUE;;23;FALSE;23;TRUE;OK;FALSE;;-10,1347086;-40,4111479;-10,1347086, -40,4111479;https://drive.google.com/file/d/1KSc6z13NMyr7n5wp1d1gb9M5gAB4qBLi/view?usp=drive_link;E936669 – E936737;;;SENHOR DO BONFIM;2026-02-01;1203968;Consolidado;N/A
B-0983966;ER-CCOL-POV ARARAS-RURAL;CAMPO FORMOSO;;87;COLOCAR COMO AVANÇO;LV + ENERGZ;Paralisada;0;;;;N3/4;;;É POSSIVEL;;;8;PLANO 14;QLP;100%;jan./1;R$ 405.345,63;EDLECIO;;23/02/2026;31/03/2026;;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;B139343;-10,143847;-40,5343069;-10,143847, -40,5343069;https://drive.google.com/file/d/11KlXf3ohk262ltz0mSsMGoXngFhBwc47/view;E936817 – E936895;;;SENHOR DO BONFIM;2026-02-01;0983966;Consolidado;N/A
B-1043420;MP-CCOL-POV. VARZINHA RURAL;ITIUBA;GESONI;79;FALTA CABO 4 2202040;LV + ENERGZ;;77;76;53 FURADAS (26 DETONADAS);;N3/4;LV-5724  EN 24223;;É POSSIVEL;;;7;PLANO 14;INSTITUCIONAL;50%;jan./1;R$ 802.121,47;GABRIEL;;23/02/2026;31/03/2026;02/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D249046;-10,9296104;-39,7060011;-10,9296104, -39,7060011;https://drive.google.com/file/d/1iVWNsZQ0Vj0cs6UliI2EDHEfyZb44H_g/view?usp=drive_link;E936738 – E936816;;;SENHOR DO BONFIM;2026-02-01;1043420;Consolidado;N/A
B-1213374;RI-SEIN-RUA-PINDOBACU-CENTRO;PINDOBAÇU;REGINALDO;61;FALTA  2212022 3x35 XLPE, 2202040 CABO 4;DESL + BT + ENERGZ;;57;62;61;;;20353(D) 23147 EN     23149 BT;27/02/2026;PENDENTE ANALISE //  (1 SUBS E 2 POSTE);;;0;PLANO 7;GOVERNO;100%;jan./1;R$ 448.030,10;ADRIANO;;02/02/2026;20/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q037089;-10,6682725;-40,3236711;-10,6682725, -40,3236711;https://drive.google.com/file/d/1Utd2yOlswUx804w_pQErmAIBoci3PLBW/view;E936609 – E936668;;;SENHOR DO BONFIM;2026-02-01;1213374;Consolidado;N/A
B-0984471;MP-CCOL-POV ARARAS-RURAL;CAMPO FORMOSO;ADAO;51;FALTA ELO 0,5H 536778;LV + ENERGZ;;51;2;39 FURADAS;;N3/4;LV-6619    24172 EN;;É POSSIVEL;;;6;PLANO 14;AIC AUDITORIA;100%;jan./1;R$ 248.561,08;EDLECIO;;02/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;;B139231;-10,1154277;-40,4850514;-10,1154277, -40,4850514;https://drive.google.com/file/d/1yFKO37daW2DuXEErbro-rEfuw7VKp6kj/view;E936559 – E936608;;;SENHOR DO BONFIM;2026-02-01;0984471;Consolidado;N/A
B-1213480;IP-SEIN-RUA-ITAPICURU-RURAL;PINDOBAÇU;REGINALDO;39;FALTA 3431760 LAÇO 35, CABO 2230076 3X35(35),536779 - ELO  1H,CONECT ESTRIBO 2403000;DESL + LV + BT + ENERGZ;;42;34;39;;1 N1;2813 EN LV-6517 / 18242 (D) 24730 BT;19/02/2026;DESATIVAR VÃO;;;0;PLANO 7;GOVERNO;100%;jan./1;R$ 314.397,05;ADRIANO;;16/02/2026;27/02/2026;04/02/2026;;;FALSE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q056995;-10,7993508;-40,380492;-10,7993508, -40,380492;https://drive.google.com/file/d/1_rT7MYpbbS2UoT4wakh3zwp-KwuKqbLt/view?usp=drive_link;E936521 – E936558;;;SENHOR DO BONFIM;2026-02-01;1213480;Consolidado;N/A
B-0603860;MP-CCOL-POV. MANDI COMPL-RURAL;ANDORINHA;ALDAIR;38;FALTA TRAFO 4 2-10 211304, FALTA ELO 0,5H 536778, CONECT ESTRIBO 2403000;LV + ENERGZ + BT;;40;41;40;;;2891 EN       2892 BT;;;;;5;PLANO 14;AIC AUDITORIA;100%;jan./1;R$ 145.038,21;GABRIEL;;02/02/2026;18/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D040108;-10,2372809;-39,7605516;-10,2372809, -39,7605516;https://drive.google.com/file/d/17avaG8zEW6an6JTBzSPHMhWlnw158saO/view;E936484 – E936520;;;SENHOR DO BONFIM;2026-02-01;0603860;Consolidado;N/A
B-1157179;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;;36;Paralisada;DESL + LV;Paralisada;3;22;;;;;;MELHORAMENTO;;;1;PLANO 7;GRUPO A;100%;jan./1;R$ 455.995,37;;;;;;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;;;;;https://drive.google.com/file/d/1nZP2Q6clxLAi_G9FpR2MdqvbdUJSXpbr/view;E936449 – E936483;;;SENHOR DO BONFIM;2026-02-01;1157179;Consolidado;N/A
B-0570402;MP-CIND-FAZ MULAMBA-TANQUINHO-RURAL;JAGUARARI;JEFFERSON;35;FALTA CABO 4 2202040, 3430547 ALÇA 25, ELO 0,5H 536778;LV + ENERGZ;;35;31;35;;1 N1-3;22452 LV EN 24314;;É POSSIVEL;;;1;PLANO 14;GOVERNO;100%;fev./1;R$ 137.134,64;ADRIANO;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D686168;-10,0598907;-40,2563495;-10,0598907, -40,2563495;https://drive.google.com/file/d/1XwD7J2s9T0MUwQmz_r-J5Q82iHlVpkPJ/view;E939107 -  E939142;;;SENHOR DO BONFIM;2026-02-01;0570402;Consolidado;N/A
B-1193455;RR-CIND-POV-TOCAS-RURAL;MONTE SANTO;ALDAIR;33;FALTA CABO 4 2202040, Adicionar 2 poste 11600 AN1;LV + ENERGZ;;35;14;26 FURADAS;;N3;22178 LV   24283 EN;;NÃO E POSSIVEL;;;5;PLANO 14;QLP;100%;fev./1;R$ 341.230,88;GABRIEL;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;;D020576;-10,4476125;-39,5672436;-10,4476125, -39,5672436;https://drive.google.com/file/d/1-GHqX6N1FHBYQW6Mql1Qg7O-SRNvNzMF/view;E939143 -  E939175;;;SENHOR DO BONFIM;2026-02-01;1193455;Consolidado;N/A
B-1223889;ER-CIND-POV-LAGOA DAS MO AS- PONTO NOVO;QUEIMADAS;ANAILTON;33;FALTA TRAFO 2-10 211304, FALTA ELO 0,5H 536778, 3430547 ALÇA 25 , CONECT ESTRIBO 2403000;LV + ENERGZ;;32;29;33;;1 N1-3;2886 EN LV-5584;;É POSSIVEL;;;2;PLANO 7;QLP;100%;jan./1;R$ 301.753,13;GABRIEL;;02/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D918621;-10,9948355;-39,5379872;-10,9948355, -39,5379872;https://drive.google.com/file/d/1QagrSAAiJWunSk947lAJ6e3ElyJ3AtEn/view?usp=drive_link;E936384 – E936416;;;SENHOR DO BONFIM;2026-02-01;1223889;Consolidado;N/A
B-1213741;RR-SEIN-RUA-PINDOBACU-CENTRO;PINDOBAÇU;JOSE ROBERTO;33;ENERGIZADA;DESL + LV + BT + ENERGZ;Energizada;35;0;33;;N1 C/ TRF;23153 EN / LV-5674 14752(D) LV-20421 23157 BT;13/02/2026;SUBS CABO;;;0;PLANO 7;GOVERNO;100%;jan./1;R$ 239.084,55;ADRIANO;;02/02/2026;20/02/2026;24/02/2026;;19/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q036262;-10,6216199;-40,2905741;-10,6216199, -40,2905741;https://drive.google.com/file/d/1OUrliukqqrj_sKOeh_P-TgwvPeYk6S3J/view;E936417 – E936448;;;SENHOR DO BONFIM;2026-02-01;1213741;Consolidado;N/A
B-1214280;ER-CIND-POV-ALECRIM PEDRAS ALTAS-RURAL;QUEIMADAS;MARCELO;31;FALTA CABO 4 2202040, 3430547 ALÇA 25, ELO 0,5H 536778;LV + ENERGZ;;30;0;0;;N3/4;LV-1169 EN 24226;;É POSSIVEL;;;1;PLANO 7;QLP;50%;jan./1;R$ 211.050,93;GABRIEL;;16/02/2026;31/03/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D085909;-11,1013139;-39,8757613;-11,1013139, -39,8757613;https://drive.google.com/file/d/1NK9tsMR-2pkOtRS7SOoKtYo5jmg8xiYa/view;E936353 – E936383;;;SENHOR DO BONFIM;2026-02-01;1214280;Consolidado;N/A
B-1193733;MP-CIND-POV-VARZEA-RURAL;CAMPO FORMOSO;ISRAEL;29;FALTA CABO 4 2202040, 3430547 ALÇA 25;LV + ENERGZ;;29;0;16 FURADAS(2 DETONADAS);;SUB PST N4-3;22083 LV EN 24308;;É POSSIVEL;;;2;PLANO 14;QLP;100%;fev./1;R$ 234.605,22;EDLECIO;;16/02/2026;27/02/2026;09/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D176735;-10,2004073;-40,3397152;-10,2004073, -40,3397152;https://drive.google.com/file/d/1rwrdEiCFEP4vHfYWJMi4CQBA42nNjUEW/view;E939176 -  E939205;;;SENHOR DO BONFIM;2026-02-01;1193733;Consolidado;N/A
B-1022962;RR-CCOL-FAZ-BOA VISTA-RURAL;QUEIMADAS;;28;;DESL;Paralisada;19;;;;;LV-1138     24256 EN;;N3 P/ N4;;;0;PLANO 14;INSTITUCIONAL;100%;jan./1;R$ 115.177,33;GABRIEL;;02/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D755470;-11,1366409;-39,7243466;-11,1366409, -39,7243466;https://drive.google.com/file/d/1iYz87MMRvru0zsqQrykoZ7K8AJ4IPix8/view;E936270 – E936296;;;SENHOR DO BONFIM;2026-02-01;1022962;Consolidado;N/A
B-1067126;IS-COEL-PR -COMERCIO-ANDORINHA;ANDORINHA;ALDAIR;27;ENERGIZADA;DESL + LV;Energizada;18;0;27;;;;08/02/2026;SUBS 9 PSTP E 9 VAOS MT;;;0;PLANO 8;JUDICIAL;100%;jan./1;R$ 351.525,00;GABRIEL;;02/02/2026;22/02/2026;24/02/2026;;14/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q109712;-10,5021538;-39,4067176;-10,5021538, -39,4067176;https://drive.google.com/file/d/1zL042QxT5snV06b_oVubU9G6zFUdXZ4G/view;E936243 – E936269;;;SENHOR DO BONFIM;2026-02-01;1067126;Consolidado;N/A
B-1221916;UB-CIND-RUA-DO MORRINHO-CENTRO;JAGUARARI;JEFFERSON;26;ENERGIZADA;DESL + LV;Energizada;25;0;26;;;;;;;;;PLANO 7;QLP;100%;fev./1;R$ 165.426,67;ADRIANO;;02/02/2026;20/02/2026;02/02/2026;;07/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;;-9,8904815;-39,9658245;-9,8904815, -39,9658245;https://drive.google.com/file/d/1n_xffADCT16pqNHvte3HZBQd3Rc1Hrom/view;E939254 -  E939272;;;SENHOR DO BONFIM;2026-02-01;1221916;Consolidado;N/A
B-1202248;RR-CIND-FAZ-CALDEIRÃO COBERTO-RURAL;NORDESTINA;ANAILTON;23;FALTA ELO 0,5H 536778, 3430547 ALÇA 25;LV + ENERGZ;;23;3;23;;1 N4-3;22372 LV       24289 EN;;É POSSIVEL;;;2;PLANO 14;QLP;100%;fev./1;R$ 169.109,47;GABRIEL;;23/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;B344153;-10,8812609;-39,4129843;-10,8812609, -39,4129843;https://drive.google.com/file/d/1RDSayDf0L0uEGVXke8ZpF0OMRFzu7b9s/view;E939230 -  E939253;;;SENHOR DO BONFIM;2026-02-01;1202248;Consolidado;N/A
B-1131090;MP-CCOL-POV.FOVEIRA-RURAL;MONTE SANTO;MARCELO;23;FALTA ELO 0,5H 536778, 3430547 ALÇA 25, CONECT ESTRIBO 2403000;LV + ENERGZ;;20;22;23;;1 N4-3;22397 LV  24298 EN;;É POSSIVEL;;;7;PLANO 14;INSTITUCIONAL;100%;fev./1;R$ 226.735,22;GABRIEL;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D366131;-10,3581384;-39,353502;-10,3581384, -39,353502;https://drive.google.com/file/d/1HNbpFNOl89ROnj9-HG9cd6ak8Z778wer/view;E939206 -  E939229;;;SENHOR DO BONFIM;2026-02-01;1131090;Consolidado;N/A
B-1152989;MP-CIND-FAZ-RIACHO FUNDO-RURAL;MONTE SANTO;MARCELO;20;FALTA ELO 0,5H 536778, FALTA CABO 4 2202040, 3430547 ALÇA 25;LV + ENERGZ;;18;0;1;;N3/4;22438 LV  24298 EN;;É POSSIVEL;;;2;PLANO 14;AIC AUDITORIA;50%;fev./1;R$ 212.049,17;GABRIEL;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D575044;-10,3779791;-39,2275343;-10,3779791, -39,2275343;https://drive.google.com/file/d/1NkC7jgPMGj5FLxrOHtp0Z0v0sL74y0CP/view;E959940 - E959959;;;SENHOR DO BONFIM;2026-02-01;1152989;Consolidado;N/A
B-1187904;ER-CIND-POV-VARZEA QUEIMADA-3;FILADÉLFIA;REGINALDO;19;FALTA CABO 4 2202040, 3430547 ALÇA 25, ELO 0,5H 536778, CONECT ESTRIBO 2403000;LV + ENERGZ;;10;18;19;;N3/4;22458 LV  24315 EN;;É POSSIVEL;;;3;PLANO 14;QLP;100%;fev./1;R$ 162.733,98;ADRIANO;;23/02/2026;27/02/2026;17/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D406736;-10,7862048;-40,1412658;-10,7862048, -40,1412658;https://drive.google.com/file/d/1rgx9pjVyYe46mIjz6dZ2ILtjVUtJuKZm/view;E959960 - E959977;;;SENHOR DO BONFIM;2026-02-01;1187904;Consolidado;N/A
B-1167474;RR-CIND-FAZ-CAMPINAS-CAMPINHOS;CAMPO FORMOSO;JOSE ROBERTO;17;Mudar desligamento - Passar BT;DESL + LV;;18;;0;;4 PSTP;18464 (D);24/02/2026;ADF EM 7 VAO E SUB 2 PST;;;1;PLANO 7;QLP;100%;fev./1;R$ 189.770,94;EDLECIO;;23/02/2026;27/02/2026;17/02/2026;;;;;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q061738;-10,5358836;-40,431366;-10,5358836, -40,431366;https://drive.google.com/file/d/18oVi-DfmD6yB6glOozlZxRy4vekT_I0a/view?usp=drive_link;E959978 - E959995;;;SENHOR DO BONFIM;2026-02-01;1167474;Consolidado;N/A
B-1069756;MP-CCOL-POV-ARARAS-RURAL;CAMPO FORMOSO;ADAO;15;"FALTA CABO 4 2202040; Realizar 1 Poda";LV + ENERGZ;;15;;PENDENTE FURAR;;1 N4-3;22318 LV  24708 EN;;NÃO E POSSIVEL;;;2;PLANO 14;SUBSÍDIO DE DEFESA;100%;fev./1;R$ 123.275,29;EDLECIO;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;;B139659;-9,9794725;-40,4737873;-9,9794725, -40,4737873;https://drive.google.com/file/d/1lKoZ9hXiXWtVUPJtOMn8mJHpthkfu0R6/view?usp=drive_link;E959996 - E960010;;;SENHOR DO BONFIM;2026-02-01;1069756;Consolidado;N/A
B-1242603;ER-CIND-POV-MATINHA-RURAL;ITIUBA;ANAILTON;14;ENERGIZADA;LV + ENERGZ;Energizada;14;0;14;;;1451 EN LV-5569;;;;#VALUE!;1;PLANO 14;REPUTACIONAL;100%;jan./1;R$ 70.498,88;GABRIEL;;02/02/2026;13/02/2026;12/01/2026;;07/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q093542;-10,6510182;-39,8157491;-10,6510182, -39,8157491;https://drive.google.com/file/d/1k-8OJ2oSQ7CGQLWvAN5QdgOl8p4gJWlp/view;E960011 - E960025;;;SENHOR DO BONFIM;2026-02-01;1242603;Consolidado;N/A
B-0734547;MP-CCOL-POV ATALHO 44444 - RURAL;CAMPO FORMOSO;ISRAEL;14;FALTA TRAFO 2 2-10 211304, FALTA ELO 0,5H 536778, CONECT ESTRIBO 2403000;LV + ENERGZ;;13;;0;;N1-3;5346 EN LV-6480;;NÃO E POSSIVEL;;;3;PLANO 14;REPUTACIONAL;100%;jan./1;R$ 69.829,38;EDLECIO;;16/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q025022;-10,1273956;-40,732631;-10,1273956, -40,732631;https://drive.google.com/file/d/18UJcbZbswKDWyPqqCjc-0SFHTwe3YsNK/view;E875570 – E875583;;;SENHOR DO BONFIM;2026-02-01;0734547;Consolidado;N/A
B-1151663;AC - CIND FAZ LAGINHA - RURAL;CANSANÇÃO;ANAILTON;13;FALTA TRAFO 1 2-10 211304, FALTA ELO 0,5H 536778, CONECT ESTRIBO 2403000;LV + ENERGZ;;13;12;12 FURADAS (8 DETONADAS);;1 N4-3;20320 EN  // 21888 LV;;É POSSIVEL;;;1;PLANO 7;RECLAMAÇÃO;100%;fev./1;R$ 150.213,08;GABRIEL;;16/02/2026;27/02/2026;02/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D353699;-10,6493745;-39,4713057;-10,6493745, -39,4713057;https://drive.google.com/file/d/1NP88ud6-o_lCx7-f529poCzFniA5kP0y/view;E960026 - E960039;;;SENHOR DO BONFIM;2026-02-01;1151663;Consolidado;N/A
B-1211865;UB-CIND-RUA-DO CONTORNO-URBANA;FILADÉLFIA;REGINALDO;12;CONECT ESTRIBO 2403000, 536781 - ELO  3H FALTA;DESL + LV + ENERGZ;;12;10;12;;1 N4-3;18805 DESL 1 25/02 / 18844 DESL 2 26/02/ 20313 EN  // 21863 LV;25/02/2026;SUB 3 PST BT E 3 VAO BT;;;1;PLANO 7;QLP;100%;fev./1;R$ 127.045,72;ADRIANO;;23/02/2026;27/02/2026;17/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q054990;-10,7233948;-40,1238703;-10,7233948, -40,1238703;https://drive.google.com/file/d/1fKKTHr7zmkGUR_rRv03vi7BqDLyMTHlj/view;E960040 - E960051;;;SENHOR DO BONFIM;2026-02-01;1211865;Consolidado;N/A
