CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9102107113;1157820;UB-CIND-RUA-21 DE ABRIL-CAMPO ALEGRE;CAMPO ALEGRE DE LOURDES;;;MIGRAR;27/03;NÃO INICIADA;1;2;;;;;PLANO 7;100%;R$ 48.467,63;;19/03/2025;19/03/2025;;;DEBORA;-9,516961181;-43,0084584;;mar.-25;;;;;DA PLANILHA;E619884;E619885;JUAZEIRO;2025-03-01;1157820;Consolidado;N/A
QLP;9102126239;1161975;ER CIND SITIO NOVO RURAL;UAUÁ;11/03;OK;ENTREGA;19/03;CONCLUIDA;1;2;;;;2;PLANO 7;100%;R$ 32.184,30;;19/03/2025;19/03/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-10,0710066;-39,5645079;;mar.-25;;;;;DA PLANILHA;E619915;E619916;JUAZEIRO;2025-03-01;1161975;Consolidado;N/A
QLP;9102125755;1162925;ER-CIND-POV-PINHOES-RURAL;JUAZEIRO;;;TURMA REALOCADA PARA AL DE TOURÃO;;RETIRADA;2;2;;;;;PLANO 7;100%;R$ 26.412,06;;;;;;CARLOS EDUARDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1162925;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102134938;1171528;ER-CIND-SI-FERNANDO BENEVIDES 8-RURAL;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;2;2;;;;;PLANO 7;100%;R$ 14.698,40;;16/03/2025;16/03/2025;;PAULO JUNIOR;DIEGO;-9,158855;-41,015926;;mar.-25;;;;;DA PLANILHA;E619927;E619928;JUAZEIRO;2025-03-01;1171528;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102157193;1180209;ER-CIND-POV-CURRAL VELHO-RURAL;CURAÇÁ;;;PES 35663 - OC 70342 - 28/03;;CONCLUIDA;1;2;;;;2;PLANO 7;100%;R$ 14.696,52;;21/03/2025;21/03/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;;;;mar.-25;;;;;DA PLANILHA;E619949;E619950;JUAZEIRO;2025-03-01;1180209;Consolidado;N/A
QLP;9102097307;1156234;ER-CIND-POV-TATAUI 3-RURAL;SOBRADINHO;22/03;OK;ENTREGA;;CONCLUIDA;2;2;;;2;;PLANO 7;100%;R$ 18.305,76;;24/03/2025;24/03/2025;FERNANDO;SANTIAGO;SANDRO;-9,5381138;-40,8321472;;mar.-25;;;;;DA PLANILHA;E619971;E619972;JUAZEIRO;2025-03-01;1156234;Consolidado;N/A
EQUIPAMENTO;9102089653;1148050;IE-REGULADOR SE:CNN ALIM:01C3-RURAL;CASA NOVA;;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 336.662,56;R$ 84.165,64;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;;;;fev.-27;FALSE;;FALSE;FALSE;1019875/APROVADA;E725809;E755810;JUAZEIRO;2025-03-01;1148050;Consolidado;N/A
AL/MELHORAMENTO;9101909685;1085103;AL - 01V2 - SE NOVA TOURÃO - EQUIP. Q008;JUAZEIRO;;;ENTREGA;;NÃO INICIADA;0;2;;;;;PLANO 1;100%;R$ 75.636,00;;11/03/2025;28/03/2025;IVONALDO;RODRIGUES;SANDRO;;;;mar.-25;;;;;DA PLANILHA;E619907;E619908;JUAZEIRO;2025-03-01;1085103;Consolidado;N/A
AL/MELHORAMENTO;9101909687;1085220;AL - 01V3 - SE NOVA TOURÃO-EQUIP-Q008200;JUAZEIRO;;;ENTREGA;;EM EXECUÇÃO;0;2;;;;;PLANO 1;100%;R$ 90.897,71;;11/03/2025;28/03/2025;IVONALDO;RODRIGUES;SANDRO;;;;mar.-25;;;;;DA PLANILHA;E619909;E619910;JUAZEIRO;2025-03-01;1085220;Consolidado;N/A
AIC OBJETIVO;9102089657;1146819;NT-RECOND-MND-01N3-Q028290 -Q028297;CASA NOVA;;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 221.908,41;R$ 55.477,10;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;-9,3531261;-40,8462015;;fev.-25;FALSE;;FALSE;FALSE;1019155/APROVADA;E752880;E755881;JUAZEIRO;2025-03-01;1146819;Consolidado;N/A
