ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
LPT;B-1180695;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;02/04/2025;10/04/2025;8,0;5,0;3;LARISSA;15/4/2025;15/4/2025;Conciliado;26/04/2025;;;Movimentado;;;R$ 951,70;R$ 7.462,18;R$ 8.413,88;R$ 27.603,92;;Coelba;EDILECIO;ANTONIO;29/4/2025;Aceita;Maio;;13/5/2025;Sim;41;19;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1166347;ER-CIND-RUA-RURAL-CENTRO-IBIAPORA;MUNDO NOVO;03/04/2025;11/04/2025;8,0;4,0;1;LARISSA;15/4/2025;15/4/2025;Conciliado;28/04/2025;;;;;;R$ 761,37;R$ 6.371,41;R$ 7.132,78;R$ 32.490,63;;Coelba;GABRIEL;JOÃOZITO;14/5/2025;Aceita;Maio;;17/5/2025;Sim;44;33;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1168718;ER-CIND-POV-PINDOBEIRA 165-PINDOBEIRA;TAPIRAMUTÁ;03/04/2025;10/04/2025;7,0;7,0;;LARISSA;15/4/2025;15/4/2025;Conciliado;26/04/2025;;;;;;R$ 1.332,39;R$ 10.653,96;R$ 11.986,35;R$ 39.584,47;;Coelba;GABRIEL;JOSÉ MISAEL;29/4/2025;Aceita;Maio;;9/5/2025;Sim;36;19;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1174597;UB-CIND-RUA-WILSON OLIVEIRA-CONTORN S J;CAPIM GROSSO;13/12/2024;16/12/2024;3,0;0,0;;RAFAELLA;28/1/2025;28/1/2025;Conciliado;28/01/2025;;;Movimentado;;;;R$ 631,37;R$ 631,37;R$ 11.291,08;;Coelba;DURVAL/EDILSON;DURVAL/EDILSON;5/2/2025;Aceita;Fevereiro;;7/2/2025;Sim;56;51;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1167501;UB-CIND-RUA-DO COLEGIO 16-CENTRO;TAPIRAMUTÁ;04/04/2025;10/04/2025;6,0;1,0;;LARISSA;15/4/2025;15/4/2025;Conciliado;28/04/2025;;;;;;R$ 190,34;R$ 1.792,75;R$ 1.983,09;R$ 9.630,70;;Coelba;GABRIEL;JOSÉ MIZAEL;29/4/2025;Aceita;Maio;;9/5/2025;Sim;35;19;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1144572;ER-CIND-RUA-PAU DE COLHER-CAATINGA MOURA;JACOBINA;08/04/2025;29/03/2025;-10,0;8,0;1;LARISSA;07/04/2025;07/04/2025;Conciliado;02/05/2025;Solicitado;;;;R$ 3.963,80;R$ 1.522,73;R$ 12.826,69;R$ 16.790,49;R$ 70.282,89;;Coelba;GABRIEL;ELIEZER;13/5/2025;Aceita;Maio;;16/5/2025;Sim;38;45;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1170699;AC-CIND-FAZ-SALGADO-ITALEGRE;BAIXA GRANDE;14/04/2025;28/04/2025;14,0;1,0;;ALEXANDRE;30/04/2025;30/04/2025;Conciliado;20/05/2025;Aprovado;;Movimentado;;R$ 3.429,00;R$ 190,34;R$ 1.961,51;R$ 5.580,85;R$ 29.932,31;;Coelba;GABRIEL;HEMORGENES;21/5/2025;Aceita;Junho;;27/05/2025;Sim;43;23;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1161896;ER-CCOL-FAZ-MOITA GRANDE-PAULISTA;MIRANGABA;15/04/2025;21/04/2025;6,0;2,0;;LARISSA;30/04/2025;30/04/2025;Conciliado;;;;;;R$ 2.629,74;R$ 380,68;R$ 3.386,72;R$ 6.397,14;R$ 13.539,03;;Coelba;GABRIEL;ELIEZER;15/5/2025;Aceita;Maio;;20/5/2025;Sim;35;24;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1089493;ER-CIND-FAZ-BREJO-BREJO;BAIXA GRANDE;12/04/2025;27/04/2025;15,0;11,0;;ALEXANDRE;2/5/2025;2/5/2025;Conciliado;;Aprovado;;Movimentado;;R$ 1.619,97;R$ 2.093,76;R$ 17.295,76;R$ 21.009,49;R$ 62.858,25;;Coelba;GABRIEL;HEMORGENES;19/5/2025;Aceita;Maio;;23/5/2025;Sim;41;22;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1189780;ER-CIND-POV-CALDEIRAO GRANDE-RURAL;PIRITIBA;16/04/2025;02/05/2025;16,0;3,0;;EMILLE;3/5/2025;3/5/2025;Conciliado;;;;;;;R$ 571,03;R$ 4.564,33;R$ 5.135,36;R$ 17.384,79;;Coelba;GABRIEL;JOSÉ MISAEL;9/5/2025;Aceita;Maio;;;Sim;274;7;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1112161;UB-CIND-AV-ALVINO RODRIGUES-CENTRO-MOD;OUROLÂNDIA;16/04/2025;21/04/2025;5,0;13,0;;ALEXANDRE;1/5/2025;1/5/2025;Conciliado;14/05/2025;Aprovado;01/05/2025;Movimentado;01/05/2025;R$ 3.438,60;R$ 2.474,44;R$ 38.231,88;R$ 44.144,92;R$ 218.530,78;;Coelba;GABRIEL;ELIEZER;15/5/2025;Aceita;Maio;;20/5/2025;Sim;34;24;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1146840;ER-SEIN-FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;17/04/2025;17/04/2025;0,0;29,0;1;LARISSA;29/4/2025;29/4/2025;Conciliado;02/05/2025;;;;;;R$ 5.519,91;R$ 48.298,34;R$ 53.818,25;R$ 223.783,24;;Coelba;GABRIEL;HEMORGENES;15/5/2025;Aceita;Maio;;23/5/2025;Sim;36;28;JACOBINA;;;;;;;;;;;;;;;;;;;;
