NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;FAIXA;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102158236;B-1181827;AC-CIND-RUA-OSVALDO JOSE -NOVA QUEIMADA;QUEIMADAS;;PRIORIDADE PLANO ANEEL;0;;0;;;;;MARCELO;2025-03-10 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1181827;Consolidado;N/A
9101910191;B-1090786;MP  CIND POV . LAGOA DAS CABRAS RURAL;QUEIMADAS;;REPUTACIONAL;31;31;1;1;;2025-03-31 00:00:00;ALAN;ANAILTON /JEFFERSON;2025-03-17 00:00:00;2025-03-22 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1090786;Consolidado;N/A
9102094057;B-1148189;ER-CIND-POV-QUEIMADA GRANDE-QUEIMADA GRA;SENHOR DO BONFIM;;REPUTACIONAL;6;6;1;1;;2025-03-12 00:00:00;DICSON;JOILSON;2025-03-18 00:00:00;2025-03-18 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1148189;Consolidado;N/A
9102163635;B-1184232;ER-CIND-RUA-SOCOTO 244-SOCOTO;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;2;2;1;1;;2025-03-04 00:00:00;DICSON;JOILSON;2025-03-07 00:00:00;2025-03-07 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184232;Consolidado;N/A
9102158936;B-1183941;ER-CIND-POV-LAGOA DO COXO-RURAL;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;3;3;1;1;;2025-03-03 00:00:00;DICSON;JOILSON;;2025-03-07 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183941;Consolidado;N/A
9102082999;B-1150105;RR-CIND-ROD-BR 407-RURAL;SENHOR DO BONFIM;;TRANSGRESSÃO;1;;0;;;;;REGINALDO;2025-03-19 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1150105;Consolidado;N/A
9102163609;B-1183439;ER-CIND-POV-PASSAGEM VELHA-RURAL;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;6;6;1;1;;2025-03-06 00:00:00;DICSON;JOILSON;2025-03-12 00:00:00;2025-03-12 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183439;Consolidado;N/A
9102132441;B-1166716;ER-CIND-POV-TEIU-RURAL;SENHOR DO BONFIM;;GOVERNO;8;8;2;2;;2025-03-11 00:00:00;DICSON;REGINALDO;2025-03-13 00:00:00;2025-03-14 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1166716;Consolidado;N/A
9102161097;B-1182460;ER-CIND-POV-AGUA BRANCA-RURAL;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;4;4;1;1;;2025-03-06 00:00:00;DICSON;JOILSON;2025-03-17 00:00:00;2025-03-17 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1182460;Consolidado;N/A
9102148481;B-1182140;AC-CIND-FAZ-BARAUNA 50-RURAL;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;0;0;1;1;;2025-03-08 00:00:00;DICSON;REGINALDO;2025-03-08 00:00:00;2025-03-08 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1182140;Consolidado;N/A
9102148935;B-1181338;UB-CIND-RUA-MARIO SAN 13-S O JORGE;SENHOR DO BONFIM;;PRIORIDADE PLANO ANEEL;3;;1;;;;;REGINALDO;2025-03-10 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1181338;Consolidado;N/A
9101874275;B-1075226;MP CIND POV CALDEIRÃOZINHO RURAL;ITIÚBA;;REPUTACIONAL;15;15;;1;;2025-03-31 00:00:00;DICSON;ISRAEL /WAGNER;2025-03-13 00:00:00;2025-03-18 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1075226;Consolidado;N/A
;B-1160634;POV. LIMOEIRO ;CAMPO FORMOSO;;;51;55;;0;;2025-03-31 00:00:00;DICSON;JOSE SILVA ;2025-01-13 00:00:00;2025-03-31 00:00:00;51-100 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1160634;Consolidado;N/A
9101959951;B-1107362;RR-SEIN-POV-LAGOA DO PEIXE-RURAL;SENHOR DO BONFIM;;REPUTACIONAL;35;36;;28;;2025-03-07 00:00:00;DICSON;REGINALDO;2025-03-10 00:00:00;2025-03-08 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1107362;Consolidado;N/A
9101675556;B-1042982;MP-CIND-POV-CACIMBAS-RURAL;ITIÚBA;;REPUTACIONAL;50;45;;5;;2025-03-10 00:00:00;ALAN;ISRAEL / GERSONI;;2025-03-10 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1042982;Consolidado;N/A
;B-1161894;ER-CIND-POV-LAGE DO ANTONIO -LAGE;MONTE SANTO;;;;1;;1;;2025-03-14 00:00:00;ALAN;OSMAR ;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1161894;Consolidado;N/A
;B-1189378;AC-CIND-POV-BREJO DOS COELHOS-RURAL;ANTÔNIO GONÇALVES;;;;0;;1;;2025-03-18 00:00:00;DICSON;JOILSON;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1189378;Consolidado;N/A
9101908619;B-1089356;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;QUEIMADAS;;ESTADUAL;43;43;;3;;2025-03-26 00:00:00;ALAN;MARCELO;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1089356;Consolidado;N/A
;B-1191130;ER-CIND-POV-ALTO SAO GONCALO-RURAL;ITIÚBA;;;;3;;1;;2025-03-31 00:00:00;DICSON;ISRAEL;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1191130;Consolidado;N/A
;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;nan;Descartado;Projeto Vazio/Inválido
;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;nan;Descartado;Projeto Vazio/Inválido
9102042813;B-1134465;ER-CIND-POV-CAIXAO-RURAL;CANSANÇÃO;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1134465;Consolidado;N/A
9101874275;B-1075226;MP CIND POV CALDEIRÃOZINHO RURAL;ITIÚBA;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1075226;Consolidado;N/A
9101910191;B-1090786;MP  CIND POV . LAGOA DAS CABRAS RURAL;QUEIMADAS;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1090786;Consolidado;N/A
9102131406;B-1160399;UB-CIND-RUA-ANA IZABEL MUNIZ-CENTRO;FILADÉLFIA;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1160399;Consolidado;N/A
9102134827;B-1165543;UB-CIND-RUA-SIMOES-N S DA CONCEI  O;ITIÚBA;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1165543;Consolidado;N/A
9102121141;B-1161715;ER-CIND-POV-ENGORDA-RURAL;MONTE SANTO;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1161715;Consolidado;N/A
