PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1210118;UB-CCOL-RUA-ANTONIO PIMENTEL-ITIUBA;ITIÚBA;JEFFERSON;5;0;Energizada;;LV + BT;Falta o cabo: CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO;;LV 140168 - BT 138306 ;;;9;180%;5;100,0%;;2;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 31.282,42;;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;;;D508813;-10.683756, -39.864986;E902982 – E902986;https://drive.google.com/file/d/1KQ4SMk4MjVBWh1g8utaPvgYJs4Jjjkbd/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210118;Consolidado;N/A
B-1204503;ER-CIND-POV-VARGEM DO SAL 300-V DO SAL;CAMPO FORMOSO;ISRAEL;5;0;Energizada;Pendente;LV + ENERGZ;CABO POT COBRE C2 PVCA 1KV 1X70 MM2;N1 C/ TRF;124748 (LV) 124696 (EN);;;5;100%;5;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 53.873,54;19/11/2025;JOAO;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;Q064027;-10,4179027, -40,6692667;E875306 – E875310;https://drive.google.com/file/d/1KOg7AzZW4dLkP8c6COkBal8zVAL_LxXB/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1204503;Consolidado;N/A
B-1200674;ER-CIND-FAZ-VARZEA GRANDE-VARZEA GRANDE;QUEIMADAS;MARCELO;5;0;Energizada;Pendente;LV + BT;Programar LV;2 N1;123154 BT  LV 145709;;128905;5;100%;5;100,0%;;1;PLANO 14;QLP;100%;out./1;R$ 35.253,30;;GABRIEL;;20/10/2025;15/11/2025;;;TRUE;TRUE;FALSE;FALSE;B565390;-10,9210645, -39,9412907;E875365 – E875369;https://drive.google.com/file/d/18ZF9Qq8JVg4GFYxbbO4i-8WenlIsK2HK/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1200674;Consolidado;N/A
B-1172415;UB-CIND-RUA-M CAROLINA FERREIRA-CENTRO;CANSANÇÃO;ANAILTON;4;4;Energizada;;DESL;;;;20/11/2025;142294;4;100%;4;100,0%;;0;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 39.552,26;20/11/2025;GABRIEL;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;Q099415;-10,6679905, -39,4917045;E875330 – E875333;https://drive.google.com/file/d/1-sawzub04_2yUJrRCX47jaDBUprjkuqa/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1172415;Consolidado;N/A
B-1186324;AC-CIND-POV-LAGOA DOS CAVALOS-RURAL;CANSANÇÃO;ANAILTON;4;4;Energizada;Pendente;LV + BT + DESL;Pendente CABO POT COBRE C2 PVCA 1KV 1X70 MM2;CE3;124947 (LV) 123271 BT;21/11/2025;142295;4;100%;4;100,0%;;0;PLANO 7;QLP;100%;out./1;R$ 84.103,37;;GABRIEL;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;D934348;-10,6544928, -39,4879905;E875318 – E875321;https://drive.google.com/file/d/1S_bIjmDjBZM-cDGRb8i-mv8jk9M_vX36/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1186324;Consolidado;N/A
B-1180746;ER-CIND-POV-BAIX O DAS GALINHAS-RURAL;ITIÚBA;JEFFERSON;4;0;Energizada;Pendente;LV+BT;Depende do recebimento do trafo;N3/TRAFO; LV- 140215 BT-138310 ;;;8;200%;4;100,0%;;0;PLANO 14;QLP;100%;nov./1;R$ 46.614,51;;GABRIEL;;03/11/2025;15/11/2025;08/11/2025;Sim;TRUE;TRUE;;;Q089333;-10.6677233, -39.6960878;E903299 – E903302;https://drive.google.com/file/d/1j1KByKrzLvgAAZZvHy9wubz5o_7zNYyI/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1180746;Consolidado;N/A
B-1173513;ER-CIND-POV-LAGE DO JOSE-LAGE DO JOSE;CANSANÇÃO;JEFFERSON;4;0;Energizada;Realizado;LV+BT+ENERG;;(2) N1;135204 (BT) EN 135232 LV 141031 ;;;8;200%;4;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 34.356,19;12/11/2025;GABRIEL;;03/11/2025;15/11/2025;08/11/2025;Sim;TRUE;TRUE;;;D189129;-10.6413059, -39.5483032;E903270 – E903273;https://drive.google.com/file/d/1nwkiP8o-VMN9jlqptcmyuD2X36N34HoH/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1173513;Consolidado;N/A
B-1192316;ER-CIND-POV-CERCADINHO 353-RURAL;ITIÚBA;GESONI;4;0;Energizada;;LV+BT; ;N1/TRAFO;138317 BT 140660 LV;;;4;100%;;0,0%;JA LOCADO KLC;0;PLANO 7;QLP;100%;nov./1;R$ 40.844,27;19/11/2025;JOAO;;17/11/2025;22/11/2025;14/11/2025;Sim;TRUE;TRUE;;;D069751;-10.7540595, -39.8783515;E903295 – E903298;https://drive.google.com/file/d/1wxiwGBCJKVl2wgppz_ZrPVWmT1CuRrw7/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1192316;Consolidado;N/A
B-1144666;ER-CIND-FAZ-CALDEIRAOZINHO-RURAL;MONTE SANTO;JOSE;4;0;Energizada;;LV+BT+ENERGIZ;"Falta o cabo (2223464-CABO COBRE XLPE 35MM2 1F PRETO)
";N1/3;151371 BT 135523 EN148650 LV;;;4;100%;;0,0%;"Alocada
necessita da KLC";1;PLANO 14;QLP;100%;nov./1;R$ 46.058,74;26/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;A254655;-10.3592092, -39.4466995;E903344 – E903347;https://drive.google.com/file/d/1hPtKU8VYNjlSCrmLYqPPXPG0U3ncCp-P/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1144666;Consolidado;N/A
B-1178358;ER-CIND-POV NOVO ACORDO-NOVO ACORDO;CANSANÇÃO;ANAILTON;4;0;Energizada;;LV+BT;"Pendente TRAFO 3F 45KVA 34,5KV 380/220V 3 TAPS
trafo vindo de jacobina";N1/TRAFO;135280 BT 141052 LV;;;8;200%;4;100,0%;;1;PLANO 14;REPUTACIONAL;100%;nov./1;R$ 71.171,71;28/11/2025;GABRIEL;;17/11/2025;22/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D152205;-10.720078, -39.340708;E903066 – E903080;https://drive.google.com/file/d/1CX9_ZQPxuKiQHzklXizV6YaEVi65toFT/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1178358;Consolidado;N/A
B-1158293;UB-CIND-RUA-HERMANO B SOUZA-URBANA;CANSANÇÃO;ANAILTON;4;0;Energizada;Pendente;LV + BT;Depende do cabo 3x35;N1;125076 (LV) 123269 BT;;;4;100%;4;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 24.101,81;;GABRIEL;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;Q099328;-10,6652094, -39,4990013;E875326 – E875329;https://drive.google.com/file/d/1Vmqy-TWEwX0cNpdx1z-xx9aZjWHty6AK/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1158293;Consolidado;N/A
B-1213134;ER-CIND-POV-DEIXAI 94 -FT-RURAL;CANSANÇÃO;ANAILTON;4;0;Energizada;;LV + BT;;3 N1;125095 (LV) 123273 BT;;;4;100%;4;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 39.405,66;28/11/2025;GABRIEL;;17/11/2025;22/11/2025;;;TRUE;TRUE;;;B164365;-10,6854032, -39,3437082;E875334 – E875337;https://drive.google.com/file/d/12N6F1E_ZjJZI1L2xFWVO0_vI9aQ949MB/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1213134;Consolidado;N/A
B-1139502;UB-CIND-AV-ANTONIO VICENTE M M-CENTRO;CANSANÇÃO;ANAILTON;4;0;Energizada;Realizado;LV + ENERGZ;Depende do cabo 3x35;TRF + N1;124968 (LV) 148791 (EN);;;8;200%;4;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 56.169,24;19/11/2025;GABRIEL;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;D297035;-10,6594125, -39,4945877;E875322 – E875325;https://drive.google.com/file/d/1KB_Ffd8O0Ut7F3ftx26HSkUSUrsFtfj8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1139502;Consolidado;N/A
B-1186692;ER-CIND-FAZ-CAJARANA-RURAL-ITIUBA;ITIÚBA;GESONI;4;0;Energizada;;BT;;;138241 BT;;;4;100%;4;100,0%;;2;PLANO 7;QLP;100%;nov./1;R$ 31.163,34;13/11/2025;JOAO;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D572240;-10.7322623, -39.938497;E903291 – E903294;https://drive.google.com/file/d/1M92Aa4bTvL0CR896sH6TK2YCDQQoKJMq/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1186692;Consolidado;N/A
B-1191735;ER-CIND-POV TANQUE DA TERRA-TANQUE DE TE;JAGUARARI;REGINALDO;4;0;Energizada;;BT;;;139682 BT;;;4;100%;;0,0%;;1;PLANO 7;RECLAMAÇÃO;100%;nov./1;R$ 22.149,09;24/11/2025;JOAO;;17/11/2025;22/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B479320;-10.225127, -40.203209;E903404 - E903407;https://drive.google.com/file/d/1nbgMY6lypPglhzgqY1CR0kR9tJTn75eO/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1191735;Consolidado;N/A
B-1179691;UB-CIND-RUA-JOSE JACINTO 101-CENTRO;ITIÚBA;MARCELO;4;0;Energizada;;BT;Fazer visita prévia;OBS-SEM PROEJTO;OBS-SEM PROEJTO;;;4;100%;;0,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 39.623,46;28/11/2025;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;;;E636183;-10.852209, -39.723853;E903303 – E903305;https://drive.google.com/file/d/1VTm9x93ljrjTqVCWyTumdXyc5WG3HOnu/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1179691;Consolidado;N/A
B-1213002;ER-CIND-POV-PONTA DAGUA-RURAL;CAMPO FORMOSO;ISRAEL;4;0;Energizada;;BT;;;144399 BT;;;4;100%;4;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 22.711,82;15/11/2025;JOAO;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;D724169;-10,4114853, -41,1624956;E875287 – E875290;https://drive.google.com/file/d/1KsxIb6H7s6QnTmeIBsuWeo6tyOwt6IK8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1213002;Consolidado;N/A
B-1180962;ER-CCOL-FAZ-PAU D ARCO-RURAL;MONTE SANTO;OSMAR;4;0;Energizada;;LV+BT;;N1 C/ TRF;BT 127167 LV-148697;;;4;100%;2;50,0%;Precisa da KLC;1;PLANO 14;QLP;100%;out./1;R$ 45.098,21;;GABRIEL;;20/10/2025;22/11/2025;;;TRUE;TRUE;;;D409513;-10,5062648, -39,4095984;E903274 – E903277;https://drive.google.com/file/d/19vWBocIDS5w2Z3vj0Uk7se2EjMeZSV4I/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1180962;Consolidado;N/A
B-1167440;UB CIND RUA DO ANGICO CENTRO;JAGUARARI;ALDAIR;3;0;Energizada;;LV+BT+DESL;;B1;BT 139549 LV 145165;;143264;3;100%;;0,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 24.089,65;;JOAO;;17/11/2025;22/11/2025;18/11/2025;Solicitado;;TRUE;;;D655454;-9.889389, -39.974332;E903392 - E903394;https://drive.google.com/file/d/18xF3RIgPVD8FZpj5igOztdnyNWBRDnwf/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1167440;Consolidado;N/A
B-1170663;ER-CIND-RUA-DO FAXEIRO 3029-NUCLEO PILAR;JAGUARARI;ALDAIR;3;0;Energizada;;DESL + LV;;B1;LV-149231;26/11/2025;144183;1;33,33333333%;3;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 30.962,00;;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;D655456;-9.8901532, -39.9743231;E903327 – E903329;https://drive.google.com/file/d/1skDUekm_N87T4ZwWYRNkkyXXYrLpcn89/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1170663;Consolidado;N/A
B-1167467;LD CIND ET ADUTORA MINA CARAIBA RURAL;JAGUARARI;ALDAIR;3;0;Energizada;;LV+ENERGIZ;Detonação dia 18/11;;EN 139440 LV 145325;;;3;100%;3;100,0%;3 FURADAS;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 43.267,50;;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;D216992;-9.8674146, -39.9562488;E903321 – E903323;https://drive.google.com/file/d/1CjigDrbictRcc078JCuGl6A4O7qUWUE6/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1167467;Consolidado;N/A
B-1211192;ER-CIND-POV-CACIMBA-CACIMBINHA;CANSANÇÃO;ANAILTON;3;0;Energizada;Realizado;DESL + LV + BT;;N1 C/ TRF;124981 (LV) 145472 (BT);;;3;100%;3;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 33.755,69;13/11/2025;GABRIEL;;17/11/2025;22/11/2025;;;TRUE;TRUE;;;Q101267;-10,7173807, -39,453117;E875192 – E875194;https://drive.google.com/file/d/1rUdQCmjOqOYFwDCN2fKL62HfyI9ExvXd/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1211192;Consolidado;N/A
B-1168652;ER-CIND-FAZ-TRINDADE-RURAL;NORDESTINA;MARCELO;14;0;;;LV+ENERGIZ;;N1/3;EN 135511 LV- 148268;;;13;92,85714286%;14;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 131.108,26;;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;FALSE;FALSE;D026496;-10.8263598, -39.4973282;E903037 – E903050;https://drive.google.com/file/d/1PnMy5gRhQHvv6WY2lxGdwxq8rj7yS37-/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1168652;Consolidado;N/A
B-1172209;ER-CIND-POV-LAGOA DA ROCA-RURAL;CAMPO FORMOSO;EDVALDO;3;0;Energizada;;LV+BT;REDE DESATIVADA/ INFORMADO AO AR;N1/TRAFO;137187 BT 142711 LV;;;3;100%;3;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 40.691,07;;JOAO;;17/11/2025;22/11/2025;19/11/2025;;;TRUE;;;Q061552;-10.4968911, -40.450779;E903257 – E903259;https://drive.google.com/file/d/12KXlgbMyIliH2Rt1hVrU3rNKOeUSjshj/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1172209;Consolidado;N/A
B-1215317;ER-CIND-POV-RIACHAO-RIACHAO;CAMPO FORMOSO;EDVALDO;3;3;Energizada;;ENERG;FALTA TRAFO;;EN 144411 LV 149512;;;3;100%;3;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 36.113,79;26/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;;TRUE;;;B258022;-10.4132845, -40.6187214;E903260 – E903262;https://drive.google.com/file/d/10aoCOsfRQzGO1qMCFqblwjlbtWetW3V0/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1215317;Consolidado;N/A
B-1215447;ER-CIND-POV-CALDEIRAO DO MULATO-RURAL;SENHOR DO BONFIM;REGINALDO;3;3;Energizada;;LV+ENERGIZ;;N1/TRAFO;134644 EN 142589 LV;;;1;33,33333333%;3;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 29.693,64;21/11/2025;JOAO;;25/11/2025;22/11/2025;18/11/2025;Solicitado;;TRUE;;;D010984;-10.5628392, -40.1396837;E902878 – E902880;https://drive.google.com/file/d/13exg7HzgE1TqzH1_52y3pYmf5OYCmV2I/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1215447;Consolidado;N/A
B-1166882;ER-CIND POV VEADOS-RURAL;SENHOR DO BONFIM;JEFFERSON;3;2;Energizada;;BT;PENDENTE SAQUE DE MATERIAL;N1;133596 BT / 134303 LV;;;0;0%;1;33,3%;Necessita de KLC;1;PLANO 7;QLP;100%;nov./1;R$ 26.102,45;24/11/2025;JOAO;;07/11/2025;15/11/2025;12/11/2025;Sim;TRUE;TRUE;;;D573931;-10.5097187, -40.0462947;E903376 – E903378;https://drive.google.com/file/d/1qNJ_H279qW2HpePvyXG0GB7m3fcBtAAL/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1166882;Consolidado;N/A
B-1167424;ER-CIND-PO.PASSAGEM VELHA-RURAL;SENHOR DO BONFIM;REGINALDO;3;1;Energizada;;BT;;;133610 BT;;;0;0%;3;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 25.140,82;22/11/2025;JOAO;;05/11/2025;15/11/2025;13/11/2025;Sim;TRUE;TRUE;;;E524674;-10.5129244, -40.1628389;E903324 – E903326;https://drive.google.com/file/d/172gXBr6Ps5ynPHVdErODRkGdxrvn3hJi/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1167424;Consolidado;N/A
B-1215863;ER-CIND-POV-CAZUMBA-CAZUMBA;SENHOR DO BONFIM;REGINALDO;3;0;Energizada;;BT;;;133647 BT             133652 ENERGZ;;;0;0%;3;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 16.264,99;14/11/2025;JOAO;;17/11/2025;22/11/2025;18/11/2025;Solicitado;;TRUE;;;D205589;-10.5449612, -40.1607697;E902881 – E902883;https://drive.google.com/file/d/1SjoOzT_CN0LQjisWAV_3ELnQn89u9Gkx/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1215863;Consolidado;N/A
B-1190461;UB-CIND-RUA-JUAZEIRO-CENTRO;JAGUARARI;ALDAIR;3;0;Energizada;;BT;;;139761 BT;;;3;100%;3;100,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 19.047,89;24/11/2025;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;Q068389;-9,886564, -39,9719119;E903417 - E903419;https://drive.google.com/file/d/1PlZDItsy58a6SwHzI4kQbfX_UJlvn5YN/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1190461;Consolidado;N/A
B-1210373;ER-CIND-POV-SITIO DO FELIX-RURAL;ITIÚBA;GESONI;3;0;Energizada;;BT;;;138339 BT;;;3;100%;3;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 16.837,51;15/11/2025;JOAO;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D054396;-10.7429262, -39.988466;E903312 – E903314;https://drive.google.com/file/d/15ZFBYVtmASbv8403MdPxLnTCySs7ndnw/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210373;Consolidado;N/A
B-1216558;ER-CIND-FAZ-ANGICO-BARRINHA;JAGUARARI;ALDAIR;3;0;Energizada;;BT;FALTA CABO;;BT 139379;;;3;100%;3;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 19.365,36;25/11/2025;JOAO;;17/11/2025;22/11/2025;18/11/2025;Solicitado;;TRUE;;;B720434;-9.9084724, -40.1451071;E903389 - E903391;https://drive.google.com/file/d/19ZKYClGuopxa1kQ_c3jcPclQEBJ4roL5/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216558;Consolidado;N/A
B-1209595;ER-CIND-RUA-DO CAMPO-CENTRO;CAMPO FORMOSO;ISRAEL;3;0;Energizada;;BT;;;121346 BT;;;3;100%;3;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 13.794,15;18/11/2025;JOAO;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;R024920;-10,5954581, -40,930199;E875177 – E875179;https://drive.google.com/file/d/1ZK7k_sD48GWLN7LnzOAhgRGZAlHFvzJz/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1209595;Consolidado;N/A
B-1176297;ER-CIND-POV-JUNCO DO FERRE-RURAL;MONTE SANTO;JOSE;2;0;Energizada;;LV+BT;;2 N1;BT 138151 LV-148527;22/11/2025;143275;3;150%;2;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 25.276,75;19/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D136574;-10.5597548, -39.5028811;E903348 – E903350;https://drive.google.com/file/d/1INRIj6Vq5M-U7DAiQydyAnseSRpdp_Yk/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1176297;Consolidado;N/A
B-1194770;ER-CIND-POV-FLORES -FLORES;MONTE SANTO;OSMAR;2;0;Energizada;;LV + BT;;2 N1;BT 123106 LV-148562;22/11/2025;143278;2;100%;;0,0%;;1;PLANO 14;QLP;100%;out./1;R$ 13.435,26;;GABRIEL;;20/10/2025;22/11/2025;;;TRUE;TRUE;;;D107818;-10,150653, -39,5808952;E875248 – E875249;https://drive.google.com/file/d/14_po5iDUOFGdzDZjS1WGCLNsIJayKeN8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1194770;Consolidado;N/A
B-1195841;ER-CIND-POV-LAGE 3652-LAGE;MONTE SANTO;OSMAR;2;0;Energizada;;LV + BT;;2 N1;BT 127161 LV-148683;26/11/2025;144181;2;100%;;0,0%;Detonar ou KLC;1;PLANO 14;QLP;100%;out./1;R$ 12.344,10;26/11/2025;GABRIEL;;20/10/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D143859;-10,4605865, -39,2612516;E875150 – E875151;https://drive.google.com/file/d/10hAjidpSjethJXun3uV91gg5_28hEfjx/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1195841;Consolidado;N/A
B-1193863;ER-CIND-POV-VARZEA SUJA-RURAL;ITIÚBA;GESONI;2;0;Energizada;;LV+BT;;2.N/1;138294 BT 140451 LV;27/11/2025;145698;2;100%;2;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 11.736,71;;JOAO;;17/11/2025;22/11/2025;14/11/2025;Sim;TRUE;TRUE;;;D157854;-10.821269, -40.00361;E903306 – E903307;https://drive.google.com/file/d/16EEP9ehss3pFHi0Ty-oBRRaVwe9FcyWw/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1193863;Consolidado;N/A
B-1220742;RC-CIND-PR -ELIAS MARQUES-CENTRO;QUEIMADAS;MARCELO;2;0;Energizada;;DESL + EN;;;152117 EN;28/11/2025;146902;2;100%;;0,0%;Provavelmente precisa de KLC;0;PLANO 8;JUDICIAL;100%;nov./1;R$ 16.435,37;;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;Q105518;-10.9760463, -39.6284591;E903359 – E903360;https://drive.google.com/file/d/1MmcKrAlDhSRDyMEek1QmoyNSdEvclIpy/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1220742;Consolidado;N/A
B-1213354;RC-CIND-RUA-BAHIA-NOVO HORIZONTE;SENHOR DO BONFIM;REGINALDO;2;0;Energizada;;DESLIG;;;133637 BT ;27/11/2025;145706 (PEDIR ACORDO);0;0%;;0,0%;;0;PLANO 8;JUDICIAL;100%;nov./1;R$ 16.456,13;;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;Q048921;-10.4512727, -40.1764398;E902872 – E902873;https://drive.google.com/file/d/1tMVGWmOmEoCZcK4jgxgmi4wLAoKVUycf/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1213354;Consolidado;N/A
B-1216483;ER-CIND-FAZ-PEDRA DO UMBU-CARIACA;SENHOR DO BONFIM;JOILSON;2;0;Energizada;;BT;;;LV 140042     151361 EN;;;0;0%;2;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 13.296,02;14/11/2025;JOAO;;07/11/2025;15/11/2025;12/11/2025;Sim;TRUE;TRUE;;;E291658;-10.5081567, -40.0958669;E902874 – E902875;https://drive.google.com/file/d/1eyTM-Rku4E-PXaEFyF4HGZhUiTijrAC1/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216483;Consolidado;N/A
B-1210455;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;EDVALDO;2;2;Energizada;Pendente;LV+BT;Previsão de conclusão 18/11;2/B1;138097 BT 142614 LV;;;2;100%;1;50,0%;FURAR 1;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 14.489,91;22/11/2025;JOAO;;05/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;E328845;-10.4597444, -40.3676863;E903265 – E903266;https://drive.google.com/file/d/1uye6EnYgFN6hA32dY2LKD2oljbgtLH27/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210455;Consolidado;N/A
B-1214292;ER-CIND-POV-LAGOA DO TANQUE-LAGOA DO TAN;ITIÚBA;JEFFERSON;2;0;Energizada;;LV+BT;;N1/1;139261 BT 140523 LV;;;4;200%;;0,0%;precisa da KLC;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 17.520,56;26/11/2025;GABRIEL;;17/11/2025;22/11/2025;08/11/2025;Sim;TRUE;TRUE;;;D143324;-10.46616, -39.7971761;E903308 – E903309;https://drive.google.com/file/d/1DDntLplEKQl63zaykwEm-GvLAxsXBAeB/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1214292;Consolidado;N/A
