PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1170955;ER-CIND-FAZ-CAJAZEIRA 922-RURAL-QUICE;SENHOR DO BONFIM;JOILSON;2;0;Energizada;;BT;PENDENTE SACAR MATERIAL;;133617 BT;;;0;0%;;0,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 15.318,47;;JOAO;;07/11/2025;15/11/2025;12/11/2025;Sim;TRUE;TRUE;;;D135547;-10.5356738, -40.0470073;E875684 – E902867;https://drive.google.com/file/d/1gbhPsOC7m1R9h1_AfByeoxMr8-lDqcXi/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1170955;Consolidado;N/A
B-1210364;ER-CIND-RUA-V SIMOES-PASSAGEM VELHA;SENHOR DO BONFIM;REGINALDO;2;0;Energizada;;BT;;;133624 BT;;;0;0%;;0,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 13.619,09;13/11/2025;JOAO;;;;13/11/2025;Sim;TRUE;TRUE;;;P748244;-10.496017, -40.163902;E902868 – E902869;https://drive.google.com/file/d/1F6u0yYjrsoggA9VXYUSwmNlSC_vu9xui/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210364;Consolidado;N/A
B-1211047;ER-CIND-LOT PANOTAMA 19-RURAL-BARAUNA;SENHOR DO BONFIM;WAGNER;2;2;Energizada;;LV+BT;;N1;148875 BT LV 142524;;;2;100%;1;50,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 9.787,05;19/11/2025;JOAO;;05/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B765644;-10.430555, -40.137597;E902870 – E902871;https://drive.google.com/file/d/14NNEWjffAxTxpotfA0bjaTPUwKJVjdMl/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1211047;Consolidado;N/A
B-1210625;ER-CIND-POV-LAGEDO RASO-TIQUARA;CAMPO FORMOSO;EDVALDO;2;0;Energizada;;LV+BT;;2/N1;137279 BT 142691 LV;;;2;100%;2;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 15.591,94;24/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;;TRUE;;;D023899;-10.4504431, -40.5481115;E903395 - E903396;https://drive.google.com/file/d/1a7Bc8KitHh_nD1yhyuJ-EeI7ycLTanLO/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210625;Consolidado;N/A
B-1216188;ER-CIND-POV-CURRAL DA PONTE-RURAL;CAMPO FORMOSO;EDVALDO;2;0;Energizada;Pendente;LV;;N1;138016 BT 142626 LV;;;3;150%;2;100,0%;;3;PLANO 7;QLP;100%;nov./1;R$ 14.734,75;;JOAO;;05/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B425255;-10.4532885, -40.3156405;E903267 – E903268;https://drive.google.com/file/d/1LSvtgReDBsUwQ8BIU3ojvlpv0HN8XRLy/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216188;Consolidado;N/A
B-1221730;RR-EMBA-RUA-DA LARANJEIRA-CENTRO;JAGUARARI;REGINALDO;2;0;Energizada;Pendente;LV;;;141553(LV);;;2;100%;2;100,0%;;;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 436.108,77;10/11/2025;JOAO;;07/10/2025;15/11/2025;06/11/2025;Sim;TRUE;TRUE;FALSE;FALSE;Q044255;-10,3661371, -40,1690107;E903332 – E903333;https://drive.google.com/file/d/1eSP8ezsTJAbYkxkjeG4knccannEvM_Ng/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1221730;Consolidado;N/A
B-1177738;ER-CIND-FAZ-CARPINTARIA-RURAL;JAGUARARI;WAGNER;2;0;Energizada;;LV + BT;;N1/N1;139468 BT;;;2;100%;2;100,0%;;2;PLANO 7;QLP;100%;nov./1;R$ 18.229,86;;JOAO;;17/11/2025;22/11/2025;11/11/2025;Sim;TRUE;TRUE;;;D544114;-9.9000362, -39.9709761;E903330 – E903331;https://drive.google.com/file/d/1927pOH6Q0EFnWAZ14KlYZ6db2TIaGjnS/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1177738;Consolidado;N/A
B-1170529;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;EDVALDO;2;0;Energizada;;LV+BT;;N1;BT 137151 LV-148014 ;;;2;100%;2;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 17.766,30;19/11/2025;JOAO;;;;;;;TRUE;;;D520532;-10.4812951, -40.3647843;E903263 – E903264;https://drive.google.com/file/d/140yB0gdID-5z9ikRTD7U_MJxEinIatQP/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1170529;Consolidado;N/A
B-1216105;ER-CIND-POV-LAGOA GRANDE-RURAL;MONTE SANTO;OSMAR;2;0;Energizada;;LV+BT;;2 N1/TRAFO;BT 138185 LV-148672;;;2;100%;;0,0%;Precisa da KLC;3;PLANO 7;QLP;100%;nov./1;R$ 29.365,84;27/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;P118752;-10.250051, -39.5126099;E903353 – E903354;https://drive.google.com/file/d/1W1i1gKhjFv0cgMuyp0T6jYzsmq43QXPD/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216105;Consolidado;N/A
B-1186497;ER-CIND-POV-LAGOA DO PORCO-RURAL;CAMPO FORMOSO;ISRAEL;2;0;Energizada;;BT;;;137084 BT;;;2;100%;2;100,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 11.282,59;20/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;;TRUE;;;D137045;-10.3350236, -40.6213253;E903336 – E903337;https://drive.google.com/file/d/119T0p4sfIOatpa7hGyDary_Cpk_o5s7h/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1186497;Consolidado;N/A
