PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;CONCRETO;STATUS 1;PST EXEC;CAVR;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CLIENT.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1043420;MP-CCOL-POV. VARZINHA RURAL;ITIÚBA;GESONI;79;77;;70;;FALTA 3430547 ALÇA 25, 3431611 LAÇO 25;LV + ENERGZ;;;LV-5724         24223 EN;;;;97%;7;PLANO 14;INSTITUCIONAL;50%;jan./1;R$ 802.121,47;;;;26/01/2026;28/02/2026;15/01/2026;;TRUE;TRUE;FALSE;FALSE;;;D249046;-10,9296104, -39,7060011;https://drive.google.com/file/d/1iVWNsZQ0Vj0cs6UliI2EDHEfyZb44H_g/view?usp=drive_link;E936738 – E936816;;;SENHOR DO BONFIM;2026-01-01;1043420;Consolidado;N/A
B-1229278;UB-CIND-RUA-PASSAGEM VELHA-OLARIA;SENHOR DO BONFIM;JOILSON;5;5;Energizada;;;ENERGIZADA;BT;;;5213 BT;;;;100%;1;PLANO 7;AGIL;100%;jan./1;R$ 25.386,79;;;;26/01/2026;30/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;D911630;-10,5053418, -40,1614599;;;;;SENHOR DO BONFIM;2026-01-01;1229278;Consolidado;N/A
B-1228653;ER-CIND-RUA-DA LINHA-CENTRO-FLAMENGO;JAGUARARI;JEFFERSON;3;2;;;3;FALTA TRAFO 3-45 210444, ELO 3H 536781, 3X70 2230084;DESL + LV + BT + ENERGZ;;;1527 BT 1537 EN;;28/01/2026;5367;67%;1;PLANO 7;SOLICITAÇÃO ATENDIMENTO;100%;jan./1;R$ 103.250,38;;;;05/01/2026;16/01/2026;07/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q048359;-10,0433385, -40,2269572;https://drive.google.com/file/d/1koCRpj2CZnQIsd9IYKN1OYg42zhNUzl_/view;E875506 – E875508;;;SENHOR DO BONFIM;2026-01-01;1228653;Consolidado;N/A
B-1228865;RC-CIND-ROD-BOMFIM IGARA 407-RR-S BOMFIM;SENHOR DO BONFIM;JOILSON;5;5;Energizada;;;ENERGIZADA;DESL + LV;;;LV-6041;;23/01/2026;9461;100%;0;PLANO 8;JUDICIAL;100%;jan./1;R$ 74.513,20;;;;13/01/2026;24/01/2026;26/01/2026;;;TRUE;TRUE;TRUE;;;Q043242;-10,4115142, -40,1820197;https://drive.google.com/file/d/18GLhVyQbAeZqxZBqhuv8xT3s3xnqZIdr/view;E875509 – E875513;;;SENHOR DO BONFIM;2026-01-01;1228865;Consolidado;N/A
B-1235535;ER-SEIN-POV-TANQUE VELHO-TANQUE VELHO;SENHOR DO BONFIM;JOILSON;4;4;Energizada;;;ENERGIZADA;BT;;;5221 BT;;;;100%;1;PLANO 7;AGIL;100%;jan./1;R$ 22.388,97;;;;22/01/2026;27/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;D097591;-10,5560158, -40,1168724;;;;;SENHOR DO BONFIM;2026-01-01;1235535;Consolidado;N/A
B-1237655;ER-CIND-FAZ-MELANCIA-RURAL-ANDORINHA;ANDORINHAS;JOSE ROBERTO;2;2;Energizada;;;ENERGIZADA;BT;;;5236 BT;;;;100%;1;PLANO 7;AGIL;100%;jan./1;R$ 8.254,87;;;;26/01/2026;30/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;D554623;-10,3396259, -39,8088047;;;;;SENHOR DO BONFIM;2026-01-01;1237655;Consolidado;N/A
B-1229407;UB-CIND-RUA-FLORISVALDO F CARDOSO-CENTRO;ANTÔNIO GONÇALVES;JOSE ROBERTO;12;12;Energizada;;12;ENERGIZADA;BT;;;;;;;100%;6;PLANO 7;QLP;100%;jan./1;R$ 66.630,28;;;;05/01/2026;14/01/2026;07/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D008505;-10,5758932, -40,273331;https://drive.google.com/file/d/13CFJBocynavyy0QeHb1C5hHmGeEUcUxG/view;E875520 – E875531;;;SENHOR DO BONFIM;2026-01-01;1229407;Consolidado;N/A
B-1214216;RI-SEIN-RUA-ALTO DA ESTA AO-ANTONIO GONC;ANTÔNIO GONÇALVES;JOSE ROBERTO;3;3;Energizada;;3;ENERGIZADA;LV + ENERGZ;;;;;;;100%;1;PLANO 7;GOVERNO;100%;jan./1;R$ 42.875,57;;;;05/01/2026;14/01/2026;07/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D084805;-10,5716478, -40,2805947;https://drive.google.com/file/d/1_B-x0xUD_wm871785R6TMpbC1HFFONMw/view;E875503 – E875505;;;SENHOR DO BONFIM;2026-01-01;1214216;Consolidado;N/A
B-1218789;UB-CIND-RUA-JOAO GONCALVES-CENTRO ANTONI;ANTÔNIO GONÇALVES;JOSE ROBERTO;3;0;Energizada;;3;ENERGIZADA;BT;;;;;;;0%;1;PLANO 7;AGIL;100%;dez./1;R$ 12.000,00;;;;15/12/2025;19/12/2025;11/12/2025;;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2026-01-01;1218789;Consolidado;N/A
B-1201683;ER-SEIN-POV-SANTO ANTONIO-SANTO ANTONIO;JAGUARARI;JEFFERSON/OSMAR;94;57;;20;;;LV + ENERGZ + BT;;;LV-6538;;;;61%;9;PLANO 7;GOVERNO;80%;jan./1;R$ 802.766,79;;;;20/01/2026;28/02/2026;26/01/2026;;;TRUE;FALSE;FALSE;;;B971287;-10,0283077, -40,0517367;https://drive.google.com/file/d/1ypo2v-XF7HyvPiCu55oHvcALYKtBnRxg/view;E936903 – E936995;;;SENHOR DO BONFIM;2026-01-01;1201683;Consolidado;N/A
