PROJETO;ENERGIZAÇÃO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;CAVR;PSTP;PST EXEC;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CONCRETO;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1213219;04/12/2025;ER-CIND-FAZ-BREJO DO TAMANDUA 360-RURAL;CAMPO FORMOSO;EDVALDO;Energizada;2;2;;ENERGIZADA;BT;;;155445 BT;;;;50%;1;;2;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 14.142,08;JOAO;;08/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;Q025192;-10,0836703, -40,7902851;https://drive.google.com/file/d/14eWefw9sXMaUgLTNvnXjgh2X7WiVv5CI/view?usp=drive_link;E903485 – E903486;;;SENHOR DO BONFIM;2025-12-01;1213219;Consolidado;N/A
B-1216576;04/12/2025;UB-CIND-RUA-DA CHACARA 46-ESPLANADA;CAMPO FORMOSO;EDVALDO;Energizada;2;2;;ENERGIZADA;BT;;;155427 BT;;;;100%;2;;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 14.214,02;JOAO;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;D014317;-10,1695737, -39,9124873;https://drive.google.com/file/d/11ZfkQxmyFlXHgT-bUjNWxoFDkZ0vkei_/view?usp=drive_link;E903487 – E903488;;;SENHOR DO BONFIM;2025-12-01;1216576;Consolidado;N/A
B-1195376;05/12/2025;UB-CIND-TRV-URUGUAI-ALTO DO CIGANO;SENHOR DO BONFIM;JOILSON;Energizada;4;4;;ENERGIZADA;BT;;;157325 BT;;;;0%;0;;1;PLANO 7;QLP;100%;dez./1;R$ 19.810,30;JOAO;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;D027915;-10,3068135, -39,7757301;https://drive.google.com/file/d/1nvin3ZBBreRLcwqETWqtlY2iq48vkRV_/view?usp=drive_link;E903547 – E903550;;;SENHOR DO BONFIM;2025-12-01;1195376;Consolidado;N/A
B-1209497;05/12/2025;ER-CIND-POV-LAGOA DO SACO-RURAL;MONTE SANTO;OSMAR;Energizada;0;0;;ENERGIZADA;DESL;;;;;05/dez;149358;#DIV/0!;0;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 1.135,38;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;Q024111;-10,0808017, -40,754031;https://drive.google.com/file/d/1Ul3jyXCCFMu_QUENHehCL8gXr1RDHi93/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1209497;Consolidado;N/A
B-1211197;05/12/2025;ER-CIND-POV-LAGE DE DENTRO-S ANTONIO;MONTE SANTO;OSMAR;Energizada;0;0;;ENERGIZADA;BT;;;154606 BT;;;;#DIV/0!;0;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 2.064,80;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;B512098;-10,6535569, -39,5091324;https://drive.google.com/file/d/1O9EdgDi5Zom7p53aPOAasLZmsoARWeYF/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1211197;Consolidado;N/A
B-1200560;05/12/2025;UB-CIND-POV-MATA FUNDA-ARTUR GONCALVES;JAGUARARI;WAGNER;Energizada;3;3;;ENERGIZADA;BT;;;155502 BT;;;;0%;0;;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 6.792,20;JOAO;;02/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D579386;-10,7937064, -39,4086477;https://drive.google.com/file/d/1e6hborqdoTiXauhNikIr5DkZq-Xizw8P/view?usp=drive_link;E903457 – E903457;;;SENHOR DO BONFIM;2025-12-01;1200560;Consolidado;N/A
B-1216143;;ER-CIND-POV-MANDASSAIA-RURAL;MONTE SANTO;OSMAR;;;0;;FALTA TRAFO 210446 3-75. PRECISA DESLIGAMENTO;DESL;;;;;22/dez;157210;#DIV/0!;0;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 21.535,59;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;FALSE;FALSE;;;Q097286;-10,3447027, -39,833628;https://drive.google.com/file/d/1upyEJCYV6Plq7-XjoRF1LeshqK8AxNgP/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1216143;Consolidado;N/A
B-1060677;05/12/2025;ER-CIND-POV-CACHOEIRA-ANDORINHA;ANDORINHAS;ALDAIR;Energizada;1;1;;ENERGIZADA;BT;;;152806 BT;;;;100%;1;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 2.393,07;GABRIEL;;01/12/2025;06/12/2025;08/12/2025;;;TRUE;TRUE;TRUE;;;D176660;-10,519236, -39,5719243;https://drive.google.com/file/d/1YqFWPZ9XmxGDafwX-EFfOLnSDBnECcgt/view?usp=drive_link;E903441 – E903441;;;SENHOR DO BONFIM;2025-12-01;1060677;Consolidado;N/A
B-1168472;06/12/2025;ER-CIND-FAZ-BOA ESPERANCA-AROEIRA;CANSANÇÃO;ANAILTON;Energizada;1;1;;ENERGIZADA;BT;;;155468 BT;;;;100%;1;;1;PLANO 7;QLP;100%;dez./1;R$ 8.953,72;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D572237;-10,7327223, -39,9398931;https://drive.google.com/file/d/1VVDaIKto3SkqcWF-jXAvtx1gZE8STlxi/view?usp=drive_link;E903447 – E903447;;;SENHOR DO BONFIM;2025-12-01;1168472;Consolidado;N/A
B-1162133;08/12/2025;ER-CIND-POV-DO CEDRO 89-CEDRO;CANSANÇÃO;ANAILTON;Energizada;2;2;;ENERGIZADA;BT;;;155460 BT;;;;50%;1;;1;PLANO 7;QLP;100%;dez./1;R$ 17.547,80;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D533644;-10,4634578, -40,1959387;https://drive.google.com/file/d/1Ilhh29BvGloJLPKjlh8X0t_HjoXHBVCs/view?usp=drive_link;E903489 – E903490;;;SENHOR DO BONFIM;2025-12-01;1162133;Consolidado;N/A
B-1203366;08/12/2025;ER-CIND-FAZ-CACIMBAS-RURAL - ALTO ALEGRE;MONTE SANTO;JEFFERSON;Energizada;5;5;;ENERGIZADA;BT;;;154547 BT;;;;100%;5;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 28.029,56;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D687381;-10,6652199, -39,7503105;https://drive.google.com/file/d/199TQId0Fic-wZtYD78Gc8XqiuVw0h0A8/view?usp=drive_link;E875423 - E875427;;;SENHOR DO BONFIM;2025-12-01;1203366;Consolidado;N/A
B-1211105;08/12/2025;ER-CIND-FAZ-CAIX O-RURAL;MONTE SANTO;OSMAR;Energizada;5;5;;ENERGIZADA;BT;;;154559 BT;;;;100%;5;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 28.969,19;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;B911856;-10,39105, -39,23177;https://drive.google.com/file/d/1bClmOkc0vO7w2M5RLUdKylKowOit6gm3/view?usp=drive_link;E875433 - E875437;;;SENHOR DO BONFIM;2025-12-01;1211105;Consolidado;N/A
B-1195304;08/12/2025;ER-CIND-POV-ANJO-RURAL;SENHOR DO BONFIM;JAIRO BATISTA;Energizada;1;1;;ENERGIZADA;LV + BT;;1 N1;LV-149938          152620 BT;;;;0%;0;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 10.350,16;JOAO;;08/12/2025;13/12/2025;05/12/2025;;;TRUE;TRUE;TRUE;;;D287684;-10,4582815, -39,1611494;https://drive.google.com/file/d/1qxj2CAOJAl_X0tCtGyMD-Pd6BxC_vVNG/view?usp=drive_link;E903466 – E903466;;;SENHOR DO BONFIM;2025-12-01;1195304;Consolidado;N/A
B-1169729;09/12/2025;ER-CIND-FAZ-S O GONCALO-RURAL;ANDORINHAS;ALDAIR;Energizada;2;2;;ENERGIZADA;LV + BT;;N1;LV-150823                152785 BT;;09/dez;149360;100%;2;;1;PLANO 7;QLP;100%;dez./1;R$ 18.492,73;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;TRUE;;;D912764;-10,4444659, -40,1858723;https://drive.google.com/file/d/1PPgwtIFgqUJVpYBEtIBlzN3M11pOed9Q/view?usp=drive_link;E903469 – E903470;;;SENHOR DO BONFIM;2025-12-01;1169729;Consolidado;N/A
B-1190993;09/12/2025;ER-CIND-POV-LAGEDOS-RURAL;ANDORINHAS;ALDAIR;Energizada;2;2;;ENERGIZADA;BT;;;152820 BT;;;;100%;2;;1;PLANO 7;RECLAMAÇÃO;100%;dez./1;R$ 9.333,97;GABRIEL;;08/12/2025;08/12/2025;08/12/2025;;;TRUE;TRUE;TRUE;;;D724197;-10,3910533, -39,2317781;https://drive.google.com/file/d/1MtLEAVNpsRGLZW9urp-Oc5K4xyrVHPkx/view?usp=drive_link;E903473 – E903474;;;SENHOR DO BONFIM;2025-12-01;1190993;Consolidado;N/A
B-1163011;09/12/2025;ER-CIND-POV-JATOBA-RURAL;CANSANÇÃO;ANAILTON;Energizada;2;2;;ENERGIZADA;LV + BT;;2 N1;LV-151536                155620 BT;;09/dez;149359;100%;2;;1;PLANO 14;QLP;100%;dez./1;R$ 17.185,92;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D028117;-10,3926828, -40,5671371;https://drive.google.com/file/d/1miMAFbHEEH9sYNYw454Mi5A6xid_8fzR/view?usp=drive_link;E903495 – E903496;;;SENHOR DO BONFIM;2025-12-01;1163011;Consolidado;N/A
B-1212217;09/12/2025;ER-CIND-POV-CONTENDAS-RURAL;MONTE SANTO;JEFFERSON;Energizada;2;2;;ENERGIZADA;BT;;;154588 BT;;;;0%;0;;2;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 11.562,19;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;E419859;-10,45828, -39,16114;https://drive.google.com/file/d/1aSRqqpk9TlcSJREgnSPLjgzobuwTiTP-/view?usp=drive_link;E903509 – E903510;;;SENHOR DO BONFIM;2025-12-01;1212217;Consolidado;N/A
B-1168652;09/12/2025;ER-CIND-FAZ-TRINDADE-RURAL;NORDESTINA;MARCELO;Energizada;14;14;;ENERGIZADA;LV + ENERGZ;;;156931 EN 145533 LV;;;;92,85714286%;13;;1;PLANO 7;QLP;100%;dez./1;R$ 25.858,13;GABRIEL;;15/12/2025;15/12/2025;;;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2025-12-01;1168652;Consolidado;N/A
B-1212280;09/12/2025;ER-CIND-POV-CAIXAO-RURAL;MONTE SANTO;OSMAR;Energizada;1;1;;ENERGIZADA;BT;;;154602  BT;;;;100%;1;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 6.959,22;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D019017;-10,5080685, -39,2049433;https://drive.google.com/file/d/1iaReyDZbmnRPRA4oMByw9SKmsDgjWg2n/view?usp=drive_link;E903459 – E903459;;;SENHOR DO BONFIM;2025-12-01;1212280;Consolidado;N/A
B-1212309;10/12/2025;ER-CIND-POV ITAPICURU-RURAL;MONTE SANTO;OSMAR;Energizada;1;1;;ENERGIZADA;BT;;;154621 BT;;;;100%;1;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 6.290,54;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;E301719;-10,25303, -39,46806;https://drive.google.com/file/d/1TeaY42sKnRJFdRnihRLL-D9Ne5x3TEqt/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1212309;Consolidado;N/A
B-1182601;10/12/2025;ER-CIND-FAZ-SALGADO 9999-RURAL;ANDORINHAS;ALDAIR;Energizada;2;2;;ENERGIZADA;LV + BT;;2 N1;LV-150959           152821 BT;;;;100%;2;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 15.173,45;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;TRUE;;;D131721;-10,8256707, -39,4362819;https://drive.google.com/file/d/1NnG2MZw-8IQStYqeGz02U47VLYUHVWva/view?usp=drive_link;E903471 – E903472;;;SENHOR DO BONFIM;2025-12-01;1182601;Consolidado;N/A
B-1213720;10/12/2025;ER-CIND-FAZ-LAGOA DO SERTAO-RURAL;CANSANÇÃO;ANAILTON;Energizada;2;2;;ENERGIZADA;LV + BT;;2 N1;LV-151688                  155628 BT;;10/dez;149364;100%;2;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 16.849,73;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;FALSE;TRUE;TRUE;FALSE;;;B248039;-10,7056848, -39,955918;https://drive.google.com/file/d/1y03McVr6b1oF1UOefVHQ_zROF7O_6aVe/view?usp=drive_link;E903491 – E903492;;;SENHOR DO BONFIM;2025-12-01;1213720;Consolidado;N/A
B-1162951;10/12/2025;ER-CIND-POV-ANGICO I 174-RURAL;NORDESTINA;MARCELO;Energizada;1;1;;ENERGIZADA;LV;;1 N1;;;10/dez;149366;100%;1;;1;PLANO 7;QLP;100%;dez./1;R$ 5.345,95;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D182013;-10,5061331, -40,4109759;https://drive.google.com/file/d/1kQmE9ps8o7G3GlqQwPQj_LTbzgjffVCn/view?usp=drive_link;E903461 – E903461;;;SENHOR DO BONFIM;2025-12-01;1162951;Consolidado;N/A
B-1199790;11/12/2025;ER-CIND-POV-AROEIRA-RURAL;QUEIMADAS;MARCELO;Energizada;2;2;;ENERGIZADA;BT;;;155540 BT;;;;100%;2;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 8.948,54;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D279753;-9,9527432, -40,0411656;https://drive.google.com/file/d/1RVlfghPngmTULOg_OcgJJrP3EM45S125/view?usp=drive_link;E903517 – E903518;;;SENHOR DO BONFIM;2025-12-01;1199790;Consolidado;N/A
B-1209496;11/12/2025;ER-CIND-FAZ-BOA ESPERANCA-AROEIRA;CANSANÇÃO;ANAILTON;Energizada;1;1;;ENERGIZADA;LV + BT;;1 N1;LV-151515                  155639 BT;;11/dez;149367;100%;1;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 7.675,74;GABRIEL;;08/12/2025;13/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D803198;-10,654168 , -39,508692;https://drive.google.com/file/d/19-zeNrfS9J3a22RQTTEbj7wQdrXEKQYA/view?usp=drive_link;E903448 – E903448;;;SENHOR DO BONFIM;2025-12-01;1209496;Consolidado;N/A
