PROJETO_FATO;Carteira;COORD;NOTA;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;nan;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;PLANO;OC. ENERG.;22%%;STATUS_FATO;;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv / Vlr Projeto;DIAS PREVISTOS;% Vlr Serv x Vlr Projeto;PES ENCAB. BT / ENERG.;SOLICITAÇÃO DE TRANSPORTE CONCRETO;OBRA SIMPLIFICADA;DATA ENERG REAL;VALOR DE PROJETO;PV. INÍCIO;INCIO REAL;FIM REAL;B-1227403;ETAPA;CARTEIRA;VALOR REAL;PIN;MAPS;REFERÊNCIA;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;RESUMO LV;RESUMO PES PD;% POSTES;CAVP;CAVR;% CAVAS;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERG. INFORMADA;AS BUILT;OBS.1;Unnamed: 0;AVANÇO.1;CONCRETO ENVIADO;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;IMPEDITIVO
1077783;01/01/2025;JACOBINA;9101894308;LD CIND POV AV.PRINCIPAL JEQUETIBA-RURAL;MUNDO NOVO;nan;ANTONIO;RENATO;DIORLAN;nan;LPT;22/01/25;22/01/25;25/01/25;2025-10053;2025-10061;nan;nan;nan;nan;E615908 AO E615913;1;6;6;nan;6;0%;nan;13/01/25;31/01/25;nan;E084153;-12.0548160;-40.4864220;R$ 79.010,93;nan;nan;nan;nan;nan;Intercalar postes c LV, solo cava c/ trado. Visitar para avaliar necessidade de retro para abrir acesso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1056881;01/01/2025;JACOBINA;9101853585;ER-CIND-FAZ-TAMANDUA-RURAL;PIRITIBA;RETIRADDA DA CARTEIRA;HIAGO;DURVAL;DIORLAN;nan;LPT;13/01/25;13/01/25;17/01/25;nan;nan;nan;nan;nan;1016763/2024;E699024 ao E699033;1;13;nan;nan;13;0%;nan;24/01/25;31/01/25;nan;nan;-11.7494604;-40.5754853;R$ 50.261,58;nan;nan;150,00;nan;nan;Desligamento p/ substituir postes BT por MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1088429;01/01/2025;JACOBINA;9101925582;RR-CIND-FAZ-LAGOA DO CARMO-RURAL-PIRITIB;PIRITIBA;LOCADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;14/01/25;14/01/25;28/01/25;2025-10092;2025-10095;nan;nan;nan;nan;E615855 AO E615861;1;7;nan;nan;7;0%;nan;13/01/25;31/01/25;nan;nan;nan;nan;R$ 47.246,25;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0924090;01/01/2025;JACOBINA;9101321144;ER-CIND-POV CANJERANA-URBANO;MUNDO NOVO;nan;ANTONIO;RENATO;DIORLAN;nan;LPT;24/01/25;24/01/25;28/01/25;2025-10232;2025-10241;nan;nan;nan;nan;E615923 ao E615931;1;9;nan;nan;9;0%;nan;27/01/25;31/01/25;nan;nan;nan;nan;R$ 30.506,54;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1078521;01/01/2025;JACOBINA;9101896738;LD CIND PO AVN PRINCIPAL RURAL;MUNDO NOVO;ENERGIZADA;ANTONIO;RENATO;DIORLAN;nan;REPUTACIONAL;22/01/25;22/01/25;25/01/25;2025-10252;2025-10257;nan;nan;nan;nan;E615899 AO E615907;1;9;9;9;0;100,00%;nan;22/01/25;25/01/25;31/01/2025;E084146;-12.0627200;-40.4844920;R$ 91.747,01;nan;nan;nan;nan;nan;intercalar poste c LV e instalar defensa, solo cava c/ trado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043613;01/01/2025;JACOBINA;9101804419;ER-CIND-AV-ORLANDO CARNEIRO LIMA-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;13/01/25;13/01/25;15/01/25;2025-5029 - CONJ. LV;nan;2024-154676;16/01/25;CONCLUÍDO;nan;E615854;1;2;2;2;0;100,00%;nan;16/01/25;16/01/25;16/01/2025;nan;-11.7562707653269;-40.7114341948181;R$ 18.764,21;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1108191;01/01/2025;JACOBINA;9101972569;ER-CIND-FAZ-ALTAMIRA-MASSAMBAO;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;LPT;02/01/25;02/01/25;07/01/25;2025-5005;2025-6290;2024-154606;14/01/25;CONCLUÍDO;1016764/2024;E699034 ao E699045;1;12;12;12;0;100,00%;nan;06/01/25;17/01/25;17/01/2025;nan;-11.602575;-40.603172;R$ 102.921,89;nan;nan;nan;nan;nan;Intercalar poste e CH c/ LV, solo trado, Poda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114135;01/01/2025;JACOBINA;9101982593;RR-CIND-FAZ-CANABRAVA-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;14/01/25;14/01/25;17/01/25;nan;2025-7209;nan;nan;nan;nan;E615863 AO E615870;1;8;nan;nan;8;nan;nan;17/01/25;25/01/25;nan;nan;-11.8304148;-40.3460756;R$ 42.327,88;nan;nan;380,00;nan;nan;Transformar N3 em N4 c LV. Solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1130167;01/01/2025;JACOBINA;9102038514;ER-CIND-FAZ-DEUS DARA 398 --J-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;14/01/25;14/01/25;17/01/25;nan;2025-7212;nan;nan;nan;1016765/2024;E699046 ao E699055;1;10;nan;nan;10;nan;nan;27/01/25;31/01/25;nan;nan;-11.8322768;-40.4201272;R$ 52.286,75;nan;nan;550,00;nan;nan;Extensão de rede BT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1130519;01/01/2025;JACOBINA;9102038526;ER-CIND-FAZ-ESTRELA-RURAL;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;ANTONIO;RENATO;MANOEL GUSTAVO;nan;LPT;20/01/25;22/01/25;22/01/25;2025-8619;nan;nan;nan;nan;nan;E615880 AO E615884;1;5;5;5;0;100,00%;nan;22/01/25;25/01/25;24/01/2025;nan;-11.476167;-40.070389;R$ 53.590,96;nan;nan;200,00;nan;nan;Transformar estrutura em poste circular e instalar CH com LV. Necessario retro para escavação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1136793;01/01/2025;JACOBINA;9102053037;RR-CIND-FAZ-TAMANDUA 500 --E-RURAL;PIRITIBA;ENERGIZADA;HIAGO;DURVAL;DIORLAN;nan;LPT;10/01/25;10/01/25;17/01/25;2025-6662;2025-6673;2024-154746;24/01/25;APROVADA;1016766/2024;E699056 ao E699067;1;16;16;16;0;100,00%;nan;22/01/25;31/01/25;28/01/2025;nan;-11.748487;-40.5868647;R$ 132.380,20;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146649;01/01/2025;JACOBINA;9102083313;RR-CIND-POV-CALDEIR O GRANDE-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;2025-7192 - CONJ. PD;nan;2024-154759;21/01/25;CONCLUÍDO;nan;E615877 ao E615879;1;7;7;7;0;100,00%;nan;17/01/25;21/01/25;21/01/2025;nan;-11.74582487;-40.59656942;R$ 61.383,31;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149302;01/01/2025;JACOBINA;9102085364;RR-CIND-FAZ-NOVA ESPERANCA-RURAL-FRANCA;PIRITIBA;ANDAMENTO;HIAGO;DURVAL;DIORLAN;nan;QLP;09/01/25;09/01/25;13/01/25;2025-9886;2025-9915;nan;nan;nan;1016767/2024;E699118 ao E699133;1;16;16;10;6;63%;nan;22/01/25;28/01/25;nan;nan;-11.65772311;-40.56267717;R$ 121.035,20;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151038;01/01/2025;JACOBINA;9102096043;ER-CCOL-FAZ-PINDOBEIRA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;nan;QLP;24/01/25;24/01/25;28/01/25;2025-10261;2025-10265;nan;nan;nan;1016768/2024;E699134 ao E699147;1;14;nan;nan;14;0%;nan;17/01/25;30/01/25;nan;nan;nan;nan;R$ 126.327,14;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151534;01/01/2025;JACOBINA;9102096050;ER-CIND-FAZ-AVENIDA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;nan;QLP;24/01/25;24/01/25;28/01/25;2025-10267;nan;nan;nan;nan;nan;E615932 ao E615939;1;8;nan;nan;8;0%;nan;29/01/25;31/01/25;nan;nan;nan;nan;R$ 44.077,73;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151885;01/01/2025;JACOBINA;9102100090;ER-CIND-RUA-DA ESTACAO 421-RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;nan;QLP;03/01/25;03/01/25;08/01/25;OK;nan;nan;nan;nan;nan;E615826;1;1;1;1;0;100,00%;nan;08/01/25;08/01/25;09/01/2025;nan;-11.851930;-40.526401;R$ 15.632,47;nan;nan;nan;nan;nan;Intercalar poste e trafo c/ LV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1153459;01/01/2025;JACOBINA;9102091405;ER-CIND-FAZ-ESPERANÇA-RURAL;MUNDO NOVO;nan;ANTONIO;RENATO;DIORLAN;nan;QLP;24/01/25;24/01/25;28/01/25;2025-11282;2025-11281;nan;nan;nan;nan;E615940 ao E615948;1;9;nan;nan;9;0%;nan;22/01/25;25/01/25;nan;nan;nan;nan;R$ 76.518,33;nan;nan;120,00;nan;nan;Transformar estrutura em poste circular c LV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020772;01/01/2025;JACOBINA;9101762735;ER-CIND-FAZ-ALTAMIRA BOA FE-MASSAMBAO;PIRITIBA;ENERGIZADA;JAILTON;DURVAL;DIORLAN;nan;LPT;15/01/25;15/01/25;17/01/25;2025-6078;2025-7215;nan;nan;nan;nan;E615871 AO E615876;1;6;6;6;0;100,00%;nan;31/01/25;31/01/25;29/01/2025;nan;-11.584449;-40.622985;R$ 15.732,26;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1061441;01/01/2025;JACOBINA;9101818316;MP-CCOL FAZ ALAGADINHO JUNCO-RURAL;JACOBINA;ENERGIZADA;HERMOGENES;DURVAL;NAILTON;nan;LPT;17/12/24;18/12/24;19/12/24;OK;"LM: 2024-153698
ENERG:  2024-153733";nan;nan;nan;1013214/2024;E673676 ao E673715;4;36;36;36;0;100,00%;50,00%;16/12/24;10/01/25;16/01/2025;nan;-11.300160;-40.108677;nan;nan;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1121769;01/01/2025;JACOBINA;9101991355;ER-CIND-POV-BREJAO DA CAATINGA-RURAL;JACOBINA;ENERGIZADA;ELIEZER;ETEMILSON;DIORLAN;nan;SOLICITAÇÃO ATENDIMENTO;20/12/24;20/12/24;23/12/24;"2024-141262
2024-153016
2024-153367";nan;"2024-151128
2024-154615
2025-5557
MANOBRA";23/01/25;CONCLUÍDO;nan;E615794 AO E615797;0;4;4;4;0;100,00%;100,00%;20/12/24;15/01/25;23/01/2025;R022700;-10.991472;-40.730930;R$ 55.406,76;nan;SIM;nan;nan;Reprogramado desligamento e manobra para 15/01/2025;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128957;01/01/2025;JACOBINA;9102021683;RC-SEIN-POV-DAS PEDRAS-PEDRAS;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;JAILTON;nan;HIAGO SANTANA;nan;REPUTACIONAL;23/12/24;23/12/24;30/01/25;2025-11294;nan;nan;nan;nan;nan;E615806 AO E615807;0;2;nan;nan;2;0%;nan;10/12/24;31/01/25;nan;Q025689;-10.1878574;-40.886776;R$ 23.724,88;nan;SIM;nan;nan;Dependende 2 postes 14/600;Intercalar dois postes de14 metros com LV, devido pavimentação da estrada rede ficou baixa. Avaliar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128398;01/01/2025;JACOBINA;9102026638;ER-CIND-POV-REPRESA-RURAL;PONTO NOVO;ENERGIZADA;EDILSON;DURVAL;LUDIMILA;nan;PRIORIDADE PLANO ANEEL;16/12/24;16/12/24;18/12/24;nan;nan;"2024-145318
2024-153122";"23/12/24
10/01/25";CONCLUÍDO;nan;E615834;1;1;1;1;0;100,00%;100,00%;26/11/24;10/01/25;10/01/2025;nan;-11.0067062;-40.0986349;R$ 44.621,93;nan;nan;nan;nan;Desligamento reprogramado p/ 10/01/25;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146336;01/01/2025;JACOBINA;9102085632;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA NOV/24;JAILTON;ETEMILSON;HIAGO;nan;REPUTACIONAL;11/11/24;11/11/24;12/11/24;2024-131589;2025-3334;nan;nan;nan;1012146/2024;E669427 ao E669438;nan;12;16;nan;12;0,00%;100,00%;22/11/24;24/01/25;nan;E238073;-10.235994;-40.605536;R$ 122.883,92;nan;nan;190,00;nan;nan;Transformar N3/N4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1062228;01/01/2025;JACOBINA;9101827448;MP CIND POV MARGEM DO RIO JACUIPE;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;LUCIANO;RENATO;MANOEL GUSTAVO;nan;REPUTACIONAL;18/11/24;18/11/24;20/11/24;2024-137923;2025-4193;nan;nan;nan;1012260/2024;E669542 ao E669559;2;18;18;18;0;100,00%;100,00%;28/11/24;13/01/25;14/01/2025;nan;-11.482923;-39.870665;R$ 231.078,48;nan;nan;nan;nan;Pendente detonação , 5 cava perfurada;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1145254;01/01/2025;JACOBINA;9102083176;ER-CIND-POV-LAGEDO RASO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA NOV/24;nan;ETEMILSON;HIAGO;nan;DIA C;19/11/24;20/11/24;29/01/25;nan;2025-12194;nan;nan;nan;nan;E615891 ao E615895;1;6;4;nan;6;0,00%;100,00%;30/11/24;25/01/25;nan;nan;-10.4469726;-40.5390414;R$ 29.446,95;nan;nan;nan;nan;Pendente detonação , 4 cava perfurada;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1159520;01/01/2025;JACOBINA;9102108609;UB-CIND-RUA-MANDACARU-TIQUARA;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;JAILTON;ETEMILSON;RAMON;nan;PRIORIDADE PLANO ANEEL;29/11/24;29/11/24;29/01/25;nan;2024-147371;nan;nan;nan;1014089/2024;E682280 AO E682286;14;7;nan;nan;7;0%;100,00%;26/12/24;27/01/25;nan;D397270;-10.462156;-40.5457041;R$ 34.592,90;nan;nan;185,00;nan;Pendente detonação 7 cavas, cavas perfuradas;Extensão 7 BT cabo 1x25 (185mts). Tiquara, cava em rocha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1156065;01/01/2025;JACOBINA;9102097290;ER-CIND-POV-CAMPO FRIO-RURAL;CAMPO FORMOSO;ENERGIZADA;JAILTON;ETEMILSON;RAMON;nan;PRIORIDADE PLANO ANEEL;03/12/24;03/12/24;09/12/24;nan;2025-2453;nan;nan;nan;1014092/2024;E682287 AO E682296;1;10;10;10;0;100,00%;100,00%;20/12/24;06/01/25;07/01/2025;E469842;-10.4915745;-40.4624086;R$ 51.918,21;nan;SIM;360,00;nan;Todos os postes implantados, pendente material cabo BT;Extensão 10 BT cabo 1x25 (185mts). Entre Poços e Tiquara, avaliar terreno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146061;01/01/2025;JACOBINA;9102081216;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;MARIO;ETEMILSON;HIAGO SANTANA - U470061;nan;PRIORIDADE PLANO ANEEL;16/12/24;06/12/24;15/01/24;2024-151734;nan;nan;nan;nan;nan;E601299 AO E601303;1;5;nan;nan;5;0%;100,00%;17/12/24;15/01/25;nan;E427776;-10.2327054;-40.5009006;R$ 50.535,86;nan;nan;485,00;nan;Alterou projeto para 5 postes, pendente perfuração e detonação;Extensão 8 BT cabo 1x25 (485mts). Cava em rocha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1148765;01/01/2025;JACOBINA;9102082443;ER-CIND-POV-LAGOA DO PORCO-L DO PORCO;CAMPO FORMOSO;ENERGIZADA;RODRIGO;ETEMILSON;HIAGO SANTANA - U470061;nan;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;26/12/24;nan;2025-3364;nan;nan;nan;nan;E601307 e E601308;1;2;2;2;0;100,00%;100,00%;16/12/24;20/01/25;09/01/2025;Q063947;-10.3374227;-40.6163507;R$ 14.591,03;nan;nan;110,00;nan;Pendente perfuração e detonação de 2 cavas;Extensão 2 BT cabo 1x25 (110mts), Lagoa do Porco, cava retro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
