NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102070427;B-1144739;ER-CIND-FAZ-MORRINHO-RURAL;GAVIÃO;JOSÉ MISAEL;ENERGIZADA;GABRIEL;MANOEL;PLANO 7;QLP;04/02/25;04/02/25;06/02/25;2025-11895;nan;nan;nan;nan;nan;E615952 AO E615956;1;6;6;6;0;100%;nan;17/02/25;19/02/25;19/02/2025;11895 - 49111;A246996;https://maps.app.goo.gl/Va7DL92if73i5N278;-39.727324;R$ 46.065,53;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1144739;Consolidado;N/A
9101980120;B-1113871;ER-CCOL-POV-LAGOA DO GAVIAO-RURAL;GAVIÃO;JOSÉ MISAEL;ENERGIZADA;GABRIEL;MANOEL;PLANO 14 - LPT;LPT;04/02/25;04/02/25;06/02/25;2025-11899;2025-16400;nan;nan;nan;1019075/2025;E717173 ao E717182;1;19;19;19;0;100%;nan;05/02/25;21/02/25;25/02/2025;64120;B948757;https://maps.app.goo.gl/RKTv6XSu7RgNsyQu5;-39.8004213;R$ 152.486,42;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1113871;Consolidado;N/A
9102075799;B-1144572;ER-CIND-RUA-PAU DE COLHER-CAATINGA MOURA;JACOBINA;nan;nan;RAFAEL;NATALICIO;PLANO 14 - LPT;QLP;11/02/25;12/02/25;13/02/25;2025-11902;nan;nan;nan;nan;1019077/2025;E717192 ao E717199;1;8;nan;nan;8;0%;nan;24/02/2025;28/02/25;nan;nan;D233182;https://maps.app.goo.gl/bc8FKXV4ZAonkruP6;-40.772549;R$ 70.282,89;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1144572;Consolidado;N/A
9101857017;B-1065719;MP-CIND-POV-QUEIMADA NOVA-RURAL;MIGUEL CALMON;HIAGO;EM ESCAVAÇÃO;GABRIEL;WELLINGTON;PLANO 14 - LPT;LPT;05/02/25;05/02/25;07/02/25;nan;nan;2025-11934;25/02/25;APROVADA;1019080/2025;E717230 ao E717245;1;16;nan;nan;16;0%;nan;05/02/25;28/02/25;nan;nan;E048438;https://maps.app.goo.gl/WYQyVkNJEZAYGa4C7;-40.624695;R$ 70.133,36;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1065719;Consolidado;N/A
9102083393;B-1148021;ER-CIND-FAZ-BOA VISTA-RURAL MIGUEL CALMO;MIGUEL CALMON;HIAGO;ENERGIZADA;GABRIEL;WELLINGTON;PLANO 7;QLP;07/02/25;07/02/25;11/02/25;2025-12043;nan;nan;nan;nan;nan;E669513 AO E669516;1;4;4;4;0;100%;nan;13/02/25;15/02/25;12/02/2025;30014;D923077;https://maps.app.goo.gl/bgbh42w2xSZZsHnn6;-40.58849345;R$ 31.236,97;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1148021;Consolidado;N/A
9102085178;B-1146619;ER-CIND-FAZ-ARROZ-RURAL;MIGUEL CALMON;HIAGO;ENERGIZADA;GABRIEL;WELLINGTON;PLANO 7;QLP;07/02/25;07/02/25;11/02/25;2025-12087;nan;nan;nan;nan;nan;E677218 AO E677219;1;2;2;2;0;100%;nan;17/02/25;18/02/25;12/02/2025;30317;R034336;https://maps.app.goo.gl/3WerBVb58Ki3hpnz5;-40.799997;R$ 23.542,18;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146619;Consolidado;N/A
9101939323;B-1097767;ER-CIND-FAZ-BREJO-RURAL;MIRANGABA;nan;não iniciada;RAFAEL;0000000';PLANO 14 - LPT;QLP;19/02/25;19/02/25;nan;2025-13838;nan;nan;nan;nan;1019082/2025;E717246 ao E717258;1;13;nan;nan;13;0%;nan;17/02/25;28/02/25;nan;nan;D180516;https://maps.app.goo.gl/mp1hcPy5fQcyAKzF9;-40.5035908;R$ 62.930,31;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1097767;Consolidado;N/A
9102137473;B-1171960;IE-RELIGADOR-MUN-01N3-T21140;MUNDO NOVO;HEMORGENES;faltando materiais;GABRIEL;DIORLAN;PLANO 8;AL/MELHORAMENTO;15/02/25;15/02/25;nan;CRIAR;nan;nan;nan;nan;nan;E682395;0;1;nan;nan;1;0%;nan;26/02/25;27/02/25;nan;nan;L398153;https://maps.app.goo.gl/CAjyFe8FfYYATo4r8;-40.4618933;R$ 106.993,38;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1171960;Consolidado;N/A
9102086745;B-1146840;ER-SEIN-FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;EDILSON;falta implantar 10 postes, lançar cabos, turma trabalha até 26.02;GABRIEL;DIORLAN;PLANO 14 - LPT;REPUTACIONAL;14/02/25;14/02/25;18/02/25;nan;2025-16542;2025-11935;21/02/25;APROVADA;1019115/2025;E717259 ao E717285;1;30;nan;nan;30;0%;nan;10/02/25;28/02/25;nan;nan;E545284;https://maps.app.goo.gl/Bt3aMLbJ4bN6Tcwt8;-40.5877595;R$ 223.783,24;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146840;Consolidado;N/A
9102091405;B-1153459;ER-CIND-FAZ-ESPERANÇA-RURAL;MUNDO NOVO;RODRIGO;ENERGIZADA;RENATO;DIORLAN;nan;QLP;24/01/25;24/01/25;28/01/25;2025-11282;2025-11281;nan;nan;nan;nan;E615940 ao E615948;1;9;9;9;0;100%;nan;10/02/25;19/02/25;18/02/2025;46511;P764376;https://maps.app.goo.gl/RCiXtDtDssbUPBMU8;-40.5663037;R$ 76.518,33;nan;nan;120,00;nan;nan;Transformar estrutura em poste circular c LV;JACOBINA;01/02/2025;1153459;Consolidado;N/A
