NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102161353;B-1188995;UB-CIND-PR -JOAO DANTAS-CENTRO;OUROLANDIA;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;RICARDO SANTOS - U465100;PLANO 7;DIA C;30/05/2025;30/05/2025;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;1;nan;nan;nan;100%;nan;nan;nan;nan;nan;D317782 / J54753;-10.9671373;-41.0806553;R$ 8.709,05;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D317782 E ENERGIZAR A OBRA. (TRAFO J54753);nan;nan;JACOBINA;01/06/2025;1188995;Consolidado;N/A
UB-CIND-RUA-DO CRUZEIRO-CENTRO;B-1182172;UB-CIND-RUA-DO CRUZEIRO-CENTRO;OUROLANDIA;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;RICARDO SANTOS - U465100;PLANO 7;DIA C;nan;nan;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;1;nan;nan;nan;100%;nan;nan;nan;nan;nan;B916922 / J58095;-10.9711863;-41.0748782;R$ 10.157,01;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B916922 E ENERGIZAR A OBRA. (TRAFO J58095);nan;nan;JACOBINA;01/06/2025;1182172;Consolidado;N/A
9102155082;B-1176795;ER-CIND-POV- MATA II -RURAL;UMBURANAS;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;RICARDO SANTOS - U465100;PLANO 7;DIA C;nan;nan;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;2;nan;nan;nan;100%;nan;nan;nan;nan;nan;B116776 / J08455;-10.5011549;-41.2790011;R$ 15.543,78;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B116776 E ENERGIZAR A OBRA. (TRAFO J08455);nan;nan;JACOBINA;01/06/2025;1176795;Consolidado;N/A
9102145723;B-1174353;ER-CIND-POV-LA DO ANGICO-DELFINO;UMBURANAS;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;RICARDO SANTOS - U465100;PLANO 7;DIA C;nan;nan;nan;2025-61892;nan;nan;nan;nan;nan;nan;1;3;nan;nan;nan;100%;nan;nan;nan;nan;nan;D05584 / E607796;-10.538355;-41.284417;R$ 35.310,79;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES LV. INSTALAR TRAFO NO PG EXISTENTE E607796, ENCABEÇAR REDE BT E ENERGIZAR A OBRA.;nan;nan;JACOBINA;01/06/2025;1174353;Consolidado;N/A
9102155542;B-1175942;ER-CIND-FAZ-MATA DO ESTADO-RURAL;CAPIM GROSSO;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;nan;nan;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;3;nan;nan;nan;100%;nan;nan;nan;nan;nan;D124130 / V45574;-11.3786916;-40.0559089;R$ 21.538,70;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D124130 E ENERGIZAR A OBRA. (CHAVE V45574);nan;nan;JACOBINA;01/06/2025;1175942;Consolidado;N/A
9102147794;B-1175649;ER-CIND-FAZ-MATA DO ESTADO-RURAL;CAPIM GROSSO;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;nan;nan;nan;nan;nan;CRIAR;DEFINIR;nan;nan;nan;1;0;nan;nan;nan;100%;nan;nan;nan;nan;nan;D308959 / V04985;-11.3572948;-40.0667469;R$ 32.791,93;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES DESL.  ABRIR A CHAVE DO TRAFO V04985, SUBSTITUIR O MESMO POR TRAFO DE 30KVA, FECHAR A CHAVE DO TRAFO E ENERGIZAR A OBRA.7;nan;nan;JACOBINA;01/06/2025;1175649;Consolidado;N/A
9102130184;B-1163425;UB - CIND - AV LOMANTO JUNIOR-CENTRO;GAVIÃO;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;nan;nan;nan;nan;CRIAR;nan;DEFINIR;nan;nan;nan;1;3;nan;nan;nan;100%;nan;nan;nan;nan;nan;V10750;-11.4782795;-39.7806474;R$ 22.402,47;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE  E184240 E ENERGIZAR A OBRA. (TRAFO V10750);nan;nan;JACOBINA;01/06/2025;1163425;Consolidado;N/A
9102130565;B-1165971;ME-COEL-RUA-DAS ARVORES-CONTORNOLANDIA;SERROLÂNDIA;Interrompida / Fazer apos concluir o alimentador;JOSÉ MISAEL;GABRIEL;WELLIGNTON SOUZA;PLANO 8;AL/MELHORAMENTO;nan;nan;nan;2025-46350;nan;nan;nan;nan;nan;nan;1;1;nan;nan;1;100%;nan;19/05/2025;19/05/2025;nan;nan;PG'S D401755 E D408825/ RELIG. W72931;-11.3941286;-40.0172906;R$ 35.593,82;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES LV. INTERCALAR PG NOVO COM N4 ENTRE OS PGS D408825 E D408824, MONTAR BANCADA PARA RELIGADOR, RELOCAR RELIGADOR W72931-NA PARA O PG NOVO, E DESATIVAR O RELIGADOR W72932-NF E ENERGIZAR A OBRA. (JCB/09N3);nan;nan;JACOBINA;01/06/2025;1165971;Consolidado;N/A
9102066781;B-1149266;LD-CCOL RUA SÃO BARTOLOMEU-RURAL;OUROLÂNDIA;MIGRADA;JOSÉ MILTON;GABRIEL;RICARDO BRITO;PLANO 7;PRIORIDADE PLANO ANEEL;29/04/2025;29/04/2025;nan;nan;CRIAR;2025-61431;12/06/2025;APROVADA;1025654;E767037 ao E767082 /;9;52;nan;nan;52;100%;nan;06/05/2025;31/05/2025;nan;nan;PG: R071868 / TRAFO J08419;-1088668;-41.402031;R$ 504.263,40;R$ 94.127,28;R$ 94.127,28;R$ 1.810,14;19%;nan;nan;nan;PES DESL. ABRIR CHAVE DO TRAFO J08419, SUBSTITUIR OS POSTES R071869,  R071870,  R071871,  R071872,  R071873 E R038895 , TRANSFERIR REDE BT DO TRCHO DO PG R071868 AO PG R038895 PARA OS POSTES NOVOS- E ENERGIZAR A OBRA (2 TURMAS) (128 CLIENTES - 768 CHI) (OUL/01M1);nan;nan;JACOBINA;01/06/2025;1149266;Consolidado;N/A
9102066720;B-1142488;MP-CIND-FAZ-DIAMANTINA-RURAL;UMBURANAS;MIGRADA;ELIEZER;GABRIEL;RICARDO BRITO;PLANO 14;PRIORIDADE PLANO ANEEL;28/04/2025;28/04/2025;nan;2025-48227;2025-46463;nan;nan;nan;1025601;E766919 ao E766986;3;68;nan;nan;68;100%;nan;21/05/2025;14/06/2025;nan;nan;PG: R071846 / TRAFO J08490;-10.4628775;-41.0790847;R$ 582.847,37;R$ 131.282,72;R$ 131.282,72;R$ 1.930,63;23%;nan;nan;nan;PES LV -INTERCALAR POSTE AT COM N4-3 ENTRE OS PGs R071846 e R071847   PES BT- FECHAR A CHAVE NOVA INSTALADA NO PG NOVO, E ENERGIZAR A OBRA. (UBR-01C1);nan;nan;JACOBINA;01/06/2025;1142488;Consolidado;N/A
