PROJETO;TÍTULO;MUNICIPIO;SUPERVISOR;ENCARREGADO;STATUS 1;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;22%%;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;STATUS_FATO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1128957;RC-SEIN-POV-DAS PEDRAS-PEDRAS;CAMPO FORMOSO;EDILECIO;nan;ENERGIZADA;HIAGO SANTANA;nan;REPUTACIONAL;23/12/24;23/12/24;30/01/25;2025-11294;nan;nan;nan;nan;nan;E615806 AO E615807;0;2;2;2;0;100%;nan;15/02/25;19/02/25;07/03/2025;nan;Q025689;-10.1878574;-40.886776;R$ 23.724,88;R$ 5.219,47;SIM;nan;nan;Dependende 2 postes 14/600;Intercalar dois postes de14 metros com LV, devido pavimentação da estrada rede ficou baixa. Avaliar;nan;ENERGIZADA;JACOBINA;01/03/2025;1128957;Consolidado;N/A
B-1148749;UB-CIND-RUA-ANTONIO JOSE-OUROLANDIA;OUROLÂNDIA;GABRIEL;nan;ENERGIZADA;nan;PLANO 7;QLP;10/02/25;10/02/25;12/02/25;nan;nan;2025-11279;14/02/25;APROVADA;nan;E677220 ao E677221;1;2;2;2;0;100%;nan;14/02/25;25/02/25;01/03/2025;nan;D741618;https://maps.app.goo.gl/UWXh7i5fsyKG3x8U9;-41.09003296;R$ 43.516,24;R$ 9.573,57;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1148749;Consolidado;N/A
B-1130167;ER-CIND-FAZ-DEUS DARA 398 --J-RURAL;MUNDO NOVO;GABRIEL;EDILSON HEMORGENES;ENERGIZADA;DIORLAN;nan;LPT;14/01/25;14/01/25;17/01/25;nan;2025-7212;nan;nan;nan;1016765/2024;E699046 ao E699055;1;10;10;10;0;100%;nan;17/02/25;21/02/25;01/03/2025;PES 24526 / OC 723;nan;-11,8322768;-40,4201272;R$ 52.286,75;R$ 11.503,09;nan;550,00;nan;nan;Extensão de rede BT;nan;ENERGIZADA;JACOBINA;01/03/2025;1130167;Consolidado;N/A
B-1114135;RR-CIND-FAZ-CANABRAVA-RURAL;MUNDO NOVO;GABRIEL;HEMORGENES;ENERGIZADA;DIORLAN;PLANO 7;QLP;14/01/25;14/01/25;17/01/25;2025-28061;2025-28201;nan;nan;nan;nan;E615863 AO E615870;1;7;7;7;0;100%;nan;22/02/25;15/03/25;11/03/2025;PES 28201/ OC 28417;nan;-11,8304148;-40,3460756;R$ 42.327,88;R$ 9.312,13;nan;380,00;nan;nan;Transformar N3 em N4 c LV. Solo bom;nan;ENERGIZADA;JACOBINA;01/03/2025;1114135;Consolidado;N/A
B-1148629;ER-CIND-FAZ-QUEIMADA NOVA-RURAL;BAIXA GRANDE;GABRIEL;JOSÉ MISAEL;nan;DIORLAN;PLANO 14 - LPT;RECLAMAÇÃO;18/02/25;18/02/25;24/02/25;2025-35028;2025-35064;nan;nan;nan;nan;E682393 ao E682394;1;2;nan;nan;2;0%;nan;26/02/25;28/03/25;nan;nan;B462086;https://maps.app.goo.gl/AtG8QydNL9NswLDf6;-40.027873;R$ 13.421,46;R$ 2.952,72;nan;nan;nan;nan;INTERCALAR 02 POSTES AT E LANÇAR 02 VÃO DE BT (161 UCS - CHI 966);nan;nan;JACOBINA;01/03/2025;1148629;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;CARTEIRA DE MARÇO COM OBRAS MIGRADAS;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;-;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;PERFIL DAS OBRAS;PROJETADOS;PREVISTOS;ENERGIZADO;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;0 a 5 postes;19;50;13;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;6 a 15 postes;16;171;53;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;16 a 50 postes;9;251;16;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;50 a 100 postes;3;167;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;Acima de 100 postes;nan;nan;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;TOTAL;47;639;82;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0000000;Descartado;Projeto Vazio/Inválido
