NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;PV. INÍCIO;PV. FIM;INCIO REAL;FIM REAL;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101734073;B-1033157;MP-CCOL-POV-INGAZEIRA-RURAL;TAPIRAMUTÁ;JOAOZITO/ ANTÔNIO/ ALESSANDRO;MIGRADA PARA DEZEMBRO;ANDERSON;NAILTON SANTANA;PLANO 7;JUDICIAL;NÃO;nan;nan;nan;nan;nan;2025-124629;nan;nan;nan;nan;nan;2;65;nan;nan;65;nan;nan;10/11/2025;29/11/2025;nan;nan;nan;nan;nan;-11,898634;-40,801908;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;1033157;Consolidado;N/A
9102242064;B-1207984;RR-CIND-POV-VOLTA GRANDE-RURAL;TAPIRAMUTÁ;JOAOZITO/ ANTÔNIO/ ALESSANDRO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;QLP;NÃO;23/10/2025;07/11/2025;11/11/2025;nan;nan;nan;nan;???;nan;1040857;E899733 AO E899760;1;31;29;31;0;nan;nan;04/11/2025;20/11/2025;17/11/2025;26/11/25;nan;nan;E444822;-11,904483;-40,9332;nan;nan;nan;nan;nan;nan;PES DE TRANSFERENCIA CABO BT E SUBSTITUIÇÃO DE POSTE BT POR AT /  E LV encabecar rede MT N3 PRA N4 ENERGIZAÇÃO;FALTA PODA;JACOBINA;01/11/2025;1207984;Consolidado;N/A
9102330414;B-1225203;ER-CIND-FAZ-OVELHA AMARRADA 1095-RURAL;VÁRZEA DA ROÇA;ALESSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;14/10/2025;22/10/2025;04/11/2025;nan;nan;2025-132933;nan;nan;nan;nan;E878570 AO E878575;1;6;6;6;0;nan;nan;03/11/2025;06/11/2025;03/11/2025;08/11/2025;08/11/2025;nan;L439361;-11,5893246;-40,08127;nan;nan;nan;nan;nan;nan;PES DE EXTENSÃO DE REDE BT;nan;JACOBINA;01/11/2025;1225203;Consolidado;N/A
9102326343;B-1225194;ER-CIND-POV-GASPAR-RURAL;VÁRZEA NOVA;EUDÁRIO/ JAIRO/ JOSÉ MIZAEL;ENERGIZADA;EDLECIO;RICARDO BRITO;PLANO 7;QLP;NÃO;14/10/2025;06/11/2025;10/11/2025;nan;nan;2025-143238;nan;nan;nan;nan;E878632 AO E878642;1;11;11;nan;11;nan;nan;20/11/2025;28/11/2025;nan;28/11/2025;nan;nan;D036077;-11,1451255;-41,1070286;nan;nan;nan;nan;nan;nan;PES LV E ENERGIZAÇÃO;FALTA CABO 1X25 520MTS E TRAFO;JACOBINA;01/11/2025;1225194;Consolidado;N/A
9100900360;B-0744119;MP-CIND-POV TOCA DA NOVILHA-RURAL;CAMPO FORMOSO;nan;CANCELADA - SERA CONSTRUIDA POR BONFIM;nan;nan;PLANO 14;REPUTACIONAL;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1040867;nan;1;15;nan;nan;15;nan;nan;nan;nan;nan;nan;nan;nan;Q063144;-10,432203;-40,564076;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0744119;Consolidado;N/A
9102278538;B-1202352;AC-CIND-REG.FV POV-ABREU DO PACAUI-RURAL;CAMPO FORMOSO;JAIRO;CANCELADA - PROJETO INCOMPATÍVEL;EDLECIO;HIAGO SANTANA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;17/10/2025;21/10/2025;04/11/2025;nan;nan;nan;nan;nan;nan;nan;E878537 AO E878544;2;8;nan;nan;8;nan;nan;04/11/2025;05/11/2025;nan;nan;nan;nan;E310081;-10,083516;-40,691575;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;1202352;Consolidado;N/A
9102313067;B-1212044;ER-CIND-RUA-BEIRA RIO-LAGE DE BAIXO;CAMPO FORMOSO;JAIRO;ENERGIZADA;EDLECIO;HIAGO SANTANA;PLANO 7;nan;NÃO;17/10/2025;21/10/2025;05/11/2025;nan;2025-140512;nan;nan;nan;nan;nan;E878545 AO E878547;1;3;3;3;0;nan;nan;06/11/2025;11/11/2025;05/11/2025;05/11/2025;05/11/2025;nan;Q026014;-10,184515;-40,958895;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;1212044;Consolidado;N/A
9102325410;B-1225530;MP-CIND-FAZ-GRUNA-RURAL;UMBURANAS;JAIRO/ EUDÁRIO/ JOSÉ MIZAEL;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;27/10/2025;07/11/2025;10/11/2025;nan;2025-143245;2025-143246;nan;nan;nan;1040867;E899783 AO E899817;1;37;37;37;0;nan;nan;10/11/2025;28/11/2025;nan;28/11/2025;nan;nan;D03001/R071280;-10.647.241;-41.41667;nan;nan;nan;nan;nan;nan;PES DE LINHA VIVA E PES DE SUBSTITIUÇÃO DE POSTE BT POR AT;FALTA TRAFO;JACOBINA;01/11/2025;1225530;Consolidado;N/A
9102351090;B-1229707;UB-CIND-RUA-RECREIO-COQUEIRO;MAIRI;ALESSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;27/10/2025;03/11/2025;06/11/2025;nan;2025-143248;nan;2025-135570;12/11/2025;nan;nan;E899591 AO E899598;1;15;15;15;0;nan;nan;03/11/2025;12/11/2025;03/11/2025;17/11/2025;nan;nan;D337663;-11,712726;-40,1562691;nan;nan;nan;nan;nan;nan;PES DESLIG.:ABRIR CHAVE DO TRAFO W11507 PARA POSSIBILITAR A SUBSTITUIÇÃO DOS POSTES DO PG D531302 AO D699534, D699534 AO D715418 E ENERGIZAR OBRA.;nan;JACOBINA;01/11/2025;1229707;Consolidado;N/A
9102349198;B-1230617;ER-CIND-FAZ-ALTO BONITO 99999-RURAL;CAPIM GROSSO;HERMOGENES;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;27/10/2025;03/11/2025;06/11/2025;nan;2025-143249;nan;2025-139827;18/11/2025;APROVADO;nan;E899599 AO E899613;1;15;15;15;0;nan;nan;06/11/2025;14/11/2025;06/11/2025;13/11/2025;13/11/2025;nan;B825380;-11,3639649;-39,9521124;nan;nan;nan;nan;nan;nan;PES DESLIG.:ABRIR CHAVE G43466 PARA POSSIBILITAR INTERCALAÇÃO DO POSTE ENTRE OS PGs E839084 E E825380, ENCABEÇAR A REDE NOVA DE MT, FECHAR O TRAFO NOVO E ENERGIZAR A OBRA.;nan;JACOBINA;01/11/2025;1230617;Consolidado;N/A
9101485073;B-1053689;RI-SEIN-RUA-ALCEBIADES RIOS-CENTRO VARZE;VARZEA DO POÇO;ALESSANDRO/ hermógenes;ENERGIZADA;ANDERSON;RICARDO BRITO;nan;nan;nan;30/08/2025;01/09/2025;nan;nan;nan;nan;nan;nan;nan;nan;E857466 AO E857498;nan;30;nan;30;0;nan;nan;08/10/2025;04/11/2025;08/10/2025;04/11/2025;04/10/2025;nan;nan;-11,533215;-40,308907;R$ 255.446,68;nan;0%;#VALUE!;#VALUE!;nan;PES DESL.: ABRIR CHAVE DO TRAFO J60288, PARA POSSIBILITAR A SUBSTITUIÇÃO DOS POSTES BT PARA MT DE PG'S D014040 AO D014038 E REALOCAR TRAFO DE PLACA J60288 PARA O PG D014042 E ENERGIZAR OBRA.(ATERRAR PG'S D014041 E D014047)PES LV: TRANSFORMAR M3 EM M4 NO PG D014041 E ENCABEÇAR REDE NOVA MT E ENERGIZAR OBRA;nan;JACOBINA;01/11/2025;1053689;Consolidado;N/A
9102151274;B-1177741;UB-CIND-RUA-NOVA-CENTRO;OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;22/09/2025;30/09/2025;07/10/2025;nan;nan;2025-138331;nan;nan;nan;nan;E857571 AO E857572;0;2;nan;2;0;100%;nan;27/10/25;01/11/25;27/10/25;01/11/2025;01/11/2025;nan;D153604;-10,9701258;-41,0746935;R$ 16.267,49;R$  3.121,11;0%;R$  -;#VALUE!;nan;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D153604 E ENERGIZAR OBRA;nan;JACOBINA;01/11/2025;1177741;Consolidado;N/A
9102223309;B-1198700;UB-CIND-RUA-A. C. DE MELO-LOT 13 DE JUN;OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/09/2025;30/09/2025;07/10/2025;nan;nan;2025-130482;nan;nan;nan;nan;E863307;1;1;nan;1;0;100%;nan;27/10/25;31/10/25;27/10/25;01/11/2025;01/11/2025;nan;B159032;-10,9733759;-41,0790026;R$ 8.966,68;R$  1.763,01;176301%;R$  1.763,01;20%;nan;ENCABEÇAR REDE BT NOVA NO PG B159032 E ENERGIZAR OBRA.;nan;JACOBINA;01/11/2025;1198700;Consolidado;N/A
9102099302;B-1155527;AC-CIND-PR -JOS ESTEVES-NOVO HORIZONTE;CAPIM GROSSO;JOSÉ MIZAEL/ANTONIO;ENERGIZADA;ANDERSON;WELLINGTON SOUZA;PLANO 7;GOVERNO;NÃO;22/09/2025;07/10/2025;30/10/2025;nan;2025-142391;nan;2025-139759;07/11/2025;ANALISE;nan;E857523 AO E857524;1;4;nan;4;0;100%;nan;09/10/2025;07/11/2025;09/10/2025;07/11/2025;07/11/2025;nan;R004439;-11,37705;-40,005485;R$ 60.355,61;R$  9.019,01;0%;R$  -;#VALUE!;nan;nan;nan;JACOBINA;01/11/2025;1155527;Consolidado;N/A
9102337760;B-1225209;IT-GRUA-CJN-BEGE BAHIA- MARMORE;OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;REPUTACIONAL;nan;22/09/2025;PENDENTE;nan;nan;2025-137993;nan;nan;nan;nan;nan;E863310;0;1;1;0;1;100%;nan;06/11/2025;07/11/2025;nan;29/11/2025;nan;nan;R071377;-10,84339;-41,440857;R$ 76.810,95;nan;0%;#VALUE!;#VALUE!;nan;nan;nan;JACOBINA;01/11/2025;1225209;Consolidado;N/A
9102093081;B-1148379;IS-CIND-AV-SETE SETEMBRO-URBANA;OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTÔNIO MELO;PLANO 8;TRANSGRESSÃO;SIM;02/09/2025;nan;24/09/2025;nan;nan;nan;nan;07/11/2025;nan;nan;E839080 AO E839082;0;5;4;4;1;0%;nan;08/10/2025;07/11/2025;08/10/2025;28/11/2025;nan;nan;D929742;-10,851471;-41,376750;R$ 61.641,33;R$ 9.099,24;nan;nan;nan;nan;PES LV. - INTERCALAR DOIS POSTES AT ENTRE OS PG'S R046475 E D929742 COM ESTRUTURA N3-3, E INTERCALAR POSTE AT COM ESTRUTURA N3-3 ENTRE OS PG'S D039296 E O D929742.PES DESL.: ABRIR RELIGADOR  J02517(FAZER CORTE VISIVEL), FECHAR RELIGADOR J04025,  ABRIR TRAFO N80765,  PARA POSSIBILITAR ABERTURA DE PASSAGEM NO PG R046476, INTERCALAR POSTE MT COM ESTRUTURA N3-3 ENTRE OS PG'S R046475 E D929742, ENCABEÇAR REDE MT NOVA E ENERGIZAR OBRA.(ATERRAR OS PG'S D929742 E R046475).;nan;JACOBINA;01/11/2025;1148379;Consolidado;N/A
9101800566;B-1028455;AC-CIND-RUA CATARINA-RURAL (REG. LIG);OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;27/09/2025;07/10/2025;09/10/2025;nan;CRIAR;CRIAR;2025-139746;18/11/2025;APROVADO;1038574;E878580 AO E878582;1;26;nan;26;0;100%;nan;10/10/25;18/11/25;10/10/25;18/11/25;nan;nan;R029807;-10,8320916;-41,3111755;R$ 156.529,12;nan;0%;R$  -;0%;nan;PES DESLIG.: ABRIR CHAVE DO TRAFO J08403 PARA POSSIBITAR A SUBSTITUIÇÃO DOS POSTES BT POR AT E SUBSITUIÇÃO DE CABO NU BT POR MULTIPLEX DO PG R029808 AO R043957.;nan;JACOBINA;01/11/2025;1028455;Consolidado;N/A
9102341646;B-1227403;COEL-ROD-BA130-CAPIM GROSSO-COMPLEMENTO;CAPIM GROSSO;JOSÉ MIZAEL;MANOBRAS;ANDERSON;WELLINGTON SOUZA;1.2.1.1.3 - DISTR URBA.SDMT NORT;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;nan;15/10/25;27/11/25;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;1227403;Consolidado;N/A
9102130568;B-1174903;AL-COEL-03-CAPIM GROSSO II -CONSTR-RURAL;CAPIM GROSSO;JOSÉ MIZAEL;MANOBRAS;ANDERSON;WELLINGTON SOUZA;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;1174903;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/11/2025;0000000;Descartado;Projeto Vazio/Inválido
