NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;INCIO;PV. FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102321093;B-1213380;RR-CIND-FAZ-URUCU-VARZEA DO LACO;GAVIÃO;ANTÔNIO;ENERGIZADA;EDUARDO;MANOEL CONCEICAO;PLANO 14;QLP;NÃO;18/09/2025;07/10/2025;09/10/2025;nan;nan;2025-127498;2025-123801;29/10/2025;APROVADO;nan;E857451 AO E857462;1;12;nan;0;nan;100%;nan;20/10/25;29/10/25;nan;nan;D535980;-11,5690766;-39,7640555;R$ 143.686,58;R$  20.428,96;0%;R$  -;14%;nan;ABRIR CHAVE N19554 PARA POSSIBILITAR MUDANCÇA DE ESTUTURA DE N3 PARA N3-3, ENCABEÇAR REDE NOVA, FECHAR TRAFO NOVO E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: D535969 e D535980 (13,8kva);nan;JACOBINA;01/10/2025;1213380;Consolidado;N/A
9102153325;B-1181928;AC-CIND-FAZ-CATITU-RURAL;OUROLÂNDIA;EUDÁRIO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;25/09/2025;21/10/2025;22/10/2025;nan;nan;2025-119626;2025-123175;24/10/2025;APROVADO;1038582;E863290 AO E863306;1;17;nan;0;nan;100%;nan;20/10/25;31/10/25;nan;nan;D258263;-10,8964525;-41,0734264;R$ 182.631,94;R$  32.310,59;0%;R$  -;18%;nan;ABRIR CHAVE H90619 PARA POSSIBILTAR MUDANÇA DE ESTUTURA DE N3-3 PARA N4-3, ENCABEÇAR REDE NOVA E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: D258264 e D258262.;nan;JACOBINA;01/10/2025;1181928;Consolidado;N/A
9102329214;B-1220697;AC-CIND-ET-JACOBINA ESCONCIO-RURAL;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;2025-121160;nan;2025-121151;21/10/2025;APROVADO;nan;E857529 AO E857530;0;2;nan;nan;nan;100%;nan;20/10/25;21/10/25;nan;nan;R000319;-11,2286704;-40,3339641;R$ 80.640,15;R$  5.207,65;0%;R$  -;6%;nan;ABRIR CHAVE DO TRAFO J02123 PARA POSSIBILITAR A SUA SUBSTITUIÇÃO, SUBSTITUIR REDE BT DO PG R000315 AO R000319 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: R000319 E R000315 PES LV: INTERCALAR DOIS POSTES ENTRE OS PGS R000315 E R000319.;nan;JACOBINA;01/10/2025;1220697;Consolidado;N/A
9102141784;B-1172021;ER-CIND-FAZ-PE DE SERRA-RR-SERROLANDIA;SERROLÂNDIA;ALESSANDRO;ENERGIZADA;ANDERSON;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;26/09/2025;07/10/2025;09/10/2025;nan;nan;2025-130449;2025-121175;21/10/2025;APROVADO;nan;E863241;1;1;nan;nan;nan;100%;nan;21/10/25;21/10/25;nan;nan;D238961;-11,4063739;-40,2960127;R$ 17.510,26;nan;0%;R$  (434,54);0%;nan;ABRIR CHAVE H87190 PARA INTERCALAR POSTE ENTRE OS PGS D238961 E D238962, INSTALAR TRAFO E ENERGIZAR OBRA.(ATERRAR PG'S D238961 E D238962);nan;JACOBINA;01/10/2025;1172021;Consolidado;N/A
9102323761;B-1221797;ER-CIND-POV-PAU FERRO DE BAIXO-JACOBINA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;07/10/2025;09/10/2025;nan;nan;nan;2025-121117;22/10/2025;APROVADO;nan;E857533;1;1;nan;1;nan;100%;nan;22/10/25;22/10/25;nan;nan;E427117;-11.167.399;-40,622857;R$ 21.915,75;R$  2.262,45;226245%;R$  2.262,45;10%;nan;ABRIR CHAVE V45564 PARA INTERCALAR POSTE ENTRE OS PGS E427117 E E427118, INSTALAR TRAFO E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: E427118 E E427117 CI: 1 CHI: 6;nan;JACOBINA;01/10/2025;1221797;Consolidado;N/A
9102325313;B-1223589;ER-CIND-POV-TAPIRANGA-RURAL;MIGUEL CALMON;JOAOZITO;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;08/10/2025;10/10/2025;nan;2025-127831;2025-129617;nan;nan;nan;nan;E857565 AO E857568;1;4;4;3;nan;100%;nan;22/10/25;31/10/25;nan;nan;R037724;-11,444898;-40,4806627;R$ 46.259,45;R$  7.285,96;2185788%;R$  5.464,47;16%;nan;PES LV: INTERCALAR POSTE MT ENTRE OS PGs R037724 E R037725 COM ESTRUTURA N1, INSTALAR BANCADA DO TRAFO E INSTALAR TRAFO E ENCABEÇAR REDE NOVA E ENERGIZAR OBRA;UTILIZOU 02 POSTE 9/400 DA OBRA 1112645 CANCELADA;JACOBINA;01/10/2025;1223589;Consolidado;N/A
9102099302;B-1155527;AC-CIND-PR -JOS ESTEVES-NOVO HORIZONTE;CAPIM GROSSO;JOSÉ MIZAEL/ANTONIO;cliente vip 10;EDUARDO;WELLINGTON SOUZA;PLANO 7;GOVERNO;NÃO;22/09/2025;07/10/2025;30/10/2025;nan;CRIAR;2025-130449;2025-129413;30/10/2025;PENDENTE;nan;E857523 AO E857524;1;4;nan;0;nan;100%;nan;22/10/25;31/10/25;nan;nan;R004439;-11,37705;-40,005485;R$ 60.355,61;R$  9.019,01;0%;R$  -;15%;nan;nan;nan;JACOBINA;01/10/2025;1155527;Consolidado;N/A
9102329708;B-1221433;ER-CIND-FAZ-PATOS 11-RURAL-ITAPEIPU;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;nan;2025-130471;nan;nan;nan;nan;E857531 AO E857532;1;2;nan;nan;nan;100%;nan;22/10/25;22/10/25;nan;nan;B186108;-11,262294;-40,341715;R$ 12.182,15;R$  3.052,66;0%;R$  -;25%;nan;nan;nan;JACOBINA;01/10/2025;1221433;Consolidado;N/A
9102337760;B-1225209;IT-GRUA-CJN-BEGE BAHIA- MARMORE;OUROLÂNDIA;OLISVALDO;CONCLUI DIA 31/10;EDLECIO;ANTONIO MELO;PLANO 7;REPUTACIONAL;nan;22/09/2025;PENDENTE;nan;nan;2025-137993;nan;nan;nan;nan;nan;E863310;0;1;nan;0;nan;100%;nan;30/10/25;31/10/25;nan;nan;R071377;t;-41,440857;R$ 76.810,95;nan;0%;R$  (1.853,51);0%;nan;nan;nan;JACOBINA;01/10/2025;1225209;Consolidado;N/A
9102326720;B-1220454;ER-CIND-POV-BARROC O-RURAL CAFELANDIA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;03/10/2025;06/10/2025;nan;nan;2025-127484;nan;nan;nan;nan;E857526 AO E857528;1;3;nan;nan;nan;100%;nan;11/10/25;11/10/25;nan;nan;B984981;-11,080518;-40,542064;R$ 28.697,35;R$  5.539,75;0%;R$  -;19%;nan;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B984981 E ENERGIZAR OBRA;nan;JACOBINA;01/10/2025;1220454;Consolidado;N/A
9102330722;B-1221927;ER-CIND-POV-PONTILHAO 37-PONTILHAO DE CA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;03/10/2025;06/10/2025;nan;nan;2025-124556;nan;nan;nan;nan;E857534 AO E857535;0;2;nan;nan;nan;100%;nan;25/10/25;25/10/25;concluida;nan;E120401;-11,206672;-40,555112;R$ 12.482,12;R$  3.222,44;0%;R$  -;26%;nan;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE E120401 E ENERGIZAR OBRA;nan;JACOBINA;01/10/2025;1221927;Consolidado;N/A
