NOTA;DATA DO CONTATO;DATA DO RETORNO;MUNICIPIO;RESPONSAVEL;STATUS;CONFORMIDADE
4506256427;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Inapto;Cadastro Incorreto
4506257324;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257332;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257390;2024-09-06;2024-09-06;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506259196;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260255;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260283;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506261611;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506263094;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506263591;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506263701;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506265049;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506265113;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506265613;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506265707;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266021;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266259;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266264;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266517;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506266529;2024-09-06;2024-09-06;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506267000;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506267002;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506267119;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506268609;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506198952;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506247523;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506248847;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257411;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257428;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258718;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259741;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260258;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506260266;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260881;2024-09-09;2024-09-12;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506261179;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506261773;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
