PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS 1;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
1166448;RU-CIND-AV-1-QDL-N33-DESTRITO INDUSTRIAL;;JUAZEIRO;SETEMBRO;CONCLUÍDA;ENERGIZADA;;OURO;ANDERSON;RICARDO LV;SANDRO SANTOS;7.1.1.3;100%;;0;0;;05/09/2025;05/09/2025;;SIM;NÃO;;-9.45761486;-40.487645;Ver no Mapa;05/09/2025;09/09/2025;09/09/2025;09/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1205723;AC-CIND-POV-PINHOES-PINHOES;;JUAZEIRO;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;IVONALDO/ PEPEU;ANDERSON;PEDRO LINO;VICTOR BARROS;7.1.2.3;100%;1;0;0;09/09/2025;09/09/2025;26/09/2025;;SIM;;;-9.5855604;-39.8828214;Ver no Mapa;;;09/09/2025;10/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1203100;AC-CIND-RUA-ANGELO PEREIRA SILVA-RURAL;;UAUÁ;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;SOLICITAÇÃO DANIELA;ANDERSON;MANUTENÇÃO;;7.1.2.3;100%;1;0;;;26/09/2025;26/09/2025;;NÃO;NÃO;;;;;26/09/2025;26/09/2025;26/09/2025;29/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1233002;ME-COEL-POV-AZULAO-ALTO DO BELA VISTA;MELHORIA;REMANSO;DEZEMBRO;AVANÇO;NÃO INICIADA;;;ANDERSON;;MARLOS LOPES ;8.2.2.3;80%;0;5;;;;;;SIM;NÃO;;-9,508105;-43,0387036;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1233010;ME-CIND-RUA- AZULAO-ALTO DA BELA VISTA;MELHORIA;REMANSO;DEZEMBRO;AVANÇO;NÃO INICIADA;;;ANDERSON;;MARLOS LOPES ;8.2.2.3;80%;0;4;;;;;;SIM;NÃO;;-9,5572145;-43,054515;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1225098;ME-COEL-REATOR PG B707030-RMN-09X3;MELHORIA;REMANSO;DEZEMBRO;AVANÇO;NÃO INICIADA;;;ANDERSON;;MARLOS LOPES ;8.2.2.3;80%;0;6;;;;;;SIM;NÃO;;-9,5148474;-43,3098654;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1227190;ER-CIND-POV-ALGODAO VELHO-RURAL;QLP;SOBRADINHO;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;3 EQUIPES;EDIE JONNES;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;1;15;;;18/12/2025;19/12/2025;;SIM;NÃO;;-9.4727577;-40.9236716;Ver no Mapa;16/12/2025;19/12/2025;19/12/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1044215;AC-CIND-POV-BREJO DE DENTRO-RURAL;QLP;SOBRADINHO;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;3 EQUIPES ;EDIE JONNES;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;0;11;;;22/12/2025;23/12/2025;;NÃO;NÃO;;-9.5955852;-41.0431487;Ver no Mapa;22/12/2025;23/12/2025;23/12/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1170764;ME-COEL-RUA-PAULO MACHADO -357🕯️;NOVOS QUESTIONAMENTOS ANEEL;UAUÁ;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;;RODRIGUES;CARLOS EDUARDO;CARLOS EDUARDO;8.2.1.3;100%;0;25;;;;24/12/2025;;;NÃO;;-9.8301307;-39.4773741;Ver no Mapa;20/11/2025;23/11/2025;23/11/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1184625;ER-CIND-POV-MALVAO-RURAL;PRIORIDADE PLANO ANEEL;CASA NOVA;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;1;1;;;15/01/2026;15/01/2026;;;NÃO;;-9.283943;-41.029831;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
