CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
SOLICITAÇÃO ATENDIMENTO;9102122526;1160450;RR-CIND-FAZ-DUNAS-RURAL;CURAÇÁ;;pes 5057, oc 87233 - 23/01;;;CONCLUIDA;1;1;1;;;;PLANO 7;100%;R$ 14.634,85;R$ 3.658,71;14/01/2025;20/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,9442269;-39,8760226;;jan.-25;FALSE;;FALSE;FALSE;1016716/APROVADA;E710908;E710909;JUAZEIRO;01/01/2025;Consolidado;N/A
RECLAMAÇÃO;9101900453;1090033;MP-CIND-RUA DANTA CATARINA BAZUCA-RURAL;SENTO SÉ;09/01;POSSIVEL DL MT 4 UCS;MIGRAR;;NÃO INICIADA;1;22;22;;;;PLANO 14;100%;R$ 211.069,41;R$ 63.320,82;13/01/2025;28/01/2025;FABIO;SANTIAGO;SANDRO;-9,801903;-41,554951;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E663478;E663505;JUAZEIRO;01/01/2025;Consolidado;N/A
QLP;9101955953;1106668;ER-PREF-POV-CANAL DA BATATEIRA-RURAL;SOBRADINHO;;LV+LM;MIGRAR;;NÃO INICIADA;1;1;1;;;;PLANO 7;100%;R$ 22.297,35;R$ 5.574,34;13/01/2025;18/01/2025;FERNANDO;PAULO JUNIOR / RODRIGUES;SANDRO;-9,504162;-40,84397;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E681680;E681681;JUAZEIRO;01/01/2025;Consolidado;N/A
JUDICIAL;9102130283;1165337;RC-CIND-AV-DA POUSADA-NOBRE;UAUÁ;10/01;pes 2220, oc 82931 - 22/01;;22/01;CONCLUIDA;0;2;2;;;;PLANO 8;100%;R$ 11.719,28;R$ 2.929,82;20/01/2025;22/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,834556023;-39,48345248;;jan.-25;FALSE;;FALSE;FALSE;1016707/APROVADO ;E710933;E710934;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102130864;1164126;ER-CIND-POV-ALTO MULUNGU-RURAL;SENTO SÉ;09/01;POSSIVEL DL 21 UCS (6 VIP 8);MIGRAR;;NÃO INICIADA;1;7;7;;;;PLANO 7;100%;R$ 39.878,44;R$ 11.963,53;13/01/2025;25/01/2025;FABIO;SANTIAGO;SANDRO;-9,704572;-41,293141;;jan.-25;FALSE;;FALSE;FALSE;1016699/APROVADA ;E710923;E710932;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9101980372;1115402;AC-GRUA-AV-DES OUVALDO-CENTRO;SENTO SÉ;09/01;DL MT;;10/01;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 12.576,55;R$ 3.144,14;13/01/2025;10/01/2025;FABIO;SANTIAGO;SANDRO;-9,744120357;-41,89289758;;jan.-25;FALSE;;FALSE;FALSE;CONCLUIDA;;;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102079755;1143104;IT-CIND-CEMCO-REMANSO;REMANSO;;LV+LM;ENTREGA 31/01;;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 8.586,11;R$ 2.146,53;13/01/2025;25/01/2025;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,683899;-42,252442;;jan.-25;FALSE;;FALSE;FALSE;1016693/APROVADA ;E710955;E710958;JUAZEIRO;01/01/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102075349;1167687;RC-CIND-RUA-J SEABRA-CENTRO CAMPO;CAMPO ALEGRE DE LOURDES;09/01;10/01;;10/01;CONCLUIDA;0;2;2;;;;PLANO 8;100%;R$ 12.698,37;R$ 3.174,59;08/01/2025;10/01/2025;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,516134645;-43,0082721;;jan.-25;FALSE;;FALSE;FALSE;1016685;;;JUAZEIRO;01/01/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102106541;1157017;ER-CIND-POV-MARRUA-RURAL;JUAZEIRO;21/01;DL BT;;21/01;CONCLUIDA;1;0;0;;;;PLANO 7;100%;R$ 32.978,80;R$ 8.244,70;13/01/2025;21/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,7641693;-40,6022083;;jan.-25;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9101953723;1103577;MP CIND FAZ SOSSEGO CACIMBA DOS PANDUS;JUAZEIRO;;DESLIG MT;;08/01;CONCLUIDA;1;14;14;;;;;100%;R$ 270.528,29;R$ 67.632,07;01/01/2025;08/01/2025;PAULO;SANTIAGO;VICTOR COSTA;;;;jan.-27;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909683;1085504;AL - 01V1 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;19;;;;;;100%;R$ 482.460,21;R$ 144.738,06;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;1017639/2025;;;JUAZEIRO;01/01/2025;Consolidado;N/A
ESTRATÉGICA;9101751200;1015820;IT-GOVE-RUA-QUADRA N 24-VILA S O JOAQUIM;SOBRADINHO;SACADO;;ENTREGA 31/01;;CONCLUIDA;0;144;155;;;;;100%;R$ 1.307.124,22;R$ 326.781,06;01/01/2026;30/01/2025;;;SANDRO DUARTE;;;;;FALSE;;FALSE;FALSE;APROVADA ;E612120;E612279;JUAZEIRO;01/01/2025;Consolidado;N/A
GOVERNO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;LM+LV;;;NÃO INICIADA;0;2;2;;;;PLANO 8;100%;R$ 189.769,75;R$ 56.930,93;31/01/2025;29/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-9,997571;-42,445933;;jan.-25;FALSE;;FALSE;FALSE;1017633/APROVADA;E709267;E709268;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9101867167;1062389;LD - CIND POV. LAGES VELHA - RURAL;REMANSO;;;;;NÃO INICIADA;1;13;;;;;;100%;R$ 90.568,07;;13/01/2025;31/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;APROVADA/854583-2022;E180283;E180297;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9102004827;1125533;MP CIND FAZ NOVA TABUA RURAL;REMANSO;;;;;CONCLUIDA;1;2;2;;;;;100%;R$ 42.443,95;R$ 10.610,99;01/01/2025;08/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102083974;1149164;RR-CIND-POV-SALINA DA BRICA 3437 --H-URB;CASA NOVA;;;;;CONCLUIDA;1;11;11;;;;;100%;R$ 81.040,62;R$ 20.260,16;01/01/2025;15/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;APROVADA ;E663412;E663423;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102098572;1151932;ER-CIND-POV-SANTA RITA -SANTA;CURAÇÁ;;;;;CONCLUIDA;3;15;15;;;;;100%;R$ 81.578,24;R$ 20.394,56;01/01/2025;08/01/2025;;;CARLOS EDUARDO;;;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9101982917;1117684;LD - CIND - SIT BOM CONSELHO - RURAL;JUAZEIRO;;;;;CONCLUIDA;5;13;13;;;;;100%;R$ 122.477,36;R$ 30.619,34;01/01/2025;08/01/2025;;;VICTOR COSTA;;;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102104016;1152313;ER-CCOL-POV-CURRAL VELHO-RURAL;CURAÇÁ;;ALTERAR PROJETO B-1177891;;;CONCLUIDA;2;10;10;;;;;100%;R$ 54.533,10;R$ 13.633,28;01/01/2025;08/01/2025;;;CARLOS EDUARDO;;;;;FALSE;;FALSE;FALSE;APROVADA;E681084;E681095;JUAZEIRO;01/01/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;27;;;;;;100%;R$ 321.424,67;R$ 96.427,40;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;1017641/2025;;;JUAZEIRO;01/01/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915089;1088191;AL - 01V8 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;3;;;;;;100%;R$ 224.034,66;R$ 67.210,40;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;APROVADA;E658360;E658475;JUAZEIRO;01/01/2025;Consolidado;N/A
