CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9101693797;1003084;IT-CIND-FAZ-JURITI-RURAL;CURAÇÁ;;LV;;CONCLUIDA;0;1;;;;;PLANO 7;100%;R$ 6.396,29;R$ 1.918,89;03/02/2025;12/02/2024;EMERSON;EMERSON;CARLOS EDUARDO;-9,0490943;-39,9517277;;;;;;;APROVADA;E681678;E681679;JUAZEIRO;01/02/2025;Consolidado;N/A
QLP;9102104328;1157410;ER-CIND-POV-JUNCO 7 SN-JUNCO;SENTO SÉ;;Pes 16576 / oc 45736 - 18/02;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 19.704,12;R$ 4.926,03;17/02/2025;20/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,3059369;-41,8705767;https://maps.app.goo.gl/zBVnwMFp9QzjqoZD8;fev.-25;FALSE;;FALSE;FALSE;1020108;E725934;E725934;JUAZEIRO;01/02/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102149066;1171279;RR-CIND-POV-RODEADOURO 300-RURAL;JUAZEIRO;19/02;LV;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 9.025,18;R$ 2.256,30;19/02/2025;22/02/2025;ANDERSON/MANUTENÇÃO;ANDERSON/MANUTENÇÃO;VICTOR;-9,4839376;-40,5803548; https://maps.app.goo.gl/TPkqdAZG25Kxxp9A8;fev.-25;FALSE;;FALSE;FALSE;1019620/APROVADA;E725928;E725928;JUAZEIRO;01/02/2025;Consolidado;N/A
QLP;9101955953;1106668;ER-PREF-POV-CANAL DA BATATEIRA-RURAL;SOBRADINHO;SACADO;LM + LV;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 22.297,35;R$ 5.574,34;22/02/2025;22/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,504162;-40,84397;;;;;;;APROVADA;E681680;E681681;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102141330;1171691;AC-PREF RUA ANTONIO GUILHERMINO 3-URBANO;JUAZEIRO;19/02;DL TRAFO + LV;21/02;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 41.913,92;R$ 10.478,48;21/02/2025;23/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,4641539;-40,4958867;https://maps.app.goo.gl/PQo6KsoQ3pdgyf7C8 ;fev.-25;FALSE;;FALSE;FALSE;1019617/APROVADA;E725923;E725923;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;26/02;MIGRAR;;NÃO INICIADA;1;1;;;;;PLANO 7;100%;R$ 91.201,34;R$ 22.800,34;03/02/2025;28/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,372143;-40,349066;;;;;;;1020103/APROVADA;E725929;E725929;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006140;1157282;AL 06-NOVA TOUR O - CONSTRU  O 1 3;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 1;100%;R$ 15.075,30;R$ 3.768,83;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1020110;;;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102074025;1140190;AC-CIND-POV-LAGOINHA-RURAL;JUAZEIRO;25/02;ENTREGA;26/02;CONCLUIDA;0;1;;;;;PLANO 7;100%;R$ 36.390,95;R$ 9.097,74;26/02/2025;28/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,8519905;-40,2561437;https://maps.app.goo.gl/Ek1nHvgRxyYMyyK88 ;fev.-25;FALSE;;FALSE;FALSE;1019619/APROVADA;E725924;E725924;JUAZEIRO;01/02/2025;Consolidado;N/A
TRANSGRESSÃO;9102127849;1165218;ER-CIND-RUA-S O FRANCISCO-CENTRO;REMANSO;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 7;100%;R$ 31.777,61;R$ 7.944,40;;;;PAULO JUNIOR;DEBORA;-9,5642758;-42,0376227;https://maps.app.goo.gl/CJ4FhBqnN84uTQpx6;fev.-25;FALSE;;FALSE;FALSE;1020093/APROVADA;E725903;E725903;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102149154;1173382;UB-PREF-RUA WILSON C BRANCO-QUADRA 16;REMANSO;;POSSIVEL DL ;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 37.941,14;R$ 9.485,29;;;;PAULO JUNIOR;DEBORA;-9,6157369;-42,0835201;https://maps.app.goo.gl/vGodWZyZMoxSUC9J7;fev.-25;FALSE;;FALSE;FALSE;1020100/APROVADA;E725922;E725922;JUAZEIRO;01/02/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102070311;1143605;ER-CIND-POV-CALDEIRAO DA ONCA-CAMPO GRAN;PILÃO ARCADO;;ENTREGA;;CONCLUIDA;1;1;;;;;;100%;R$ 16.361,47;R$ 4.090,37;;;;PAULO JUNIOR;DIEGO DE CARVALHO;;;;;;;;;APROVADA ;E663597;E663598;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006139;1157379;RS-COEL-SAIDA AL NOVA TOURAO;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;0;;;;;PLANO 1;100%;R$ 1.374.462,12;R$ 343.615,53;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;01/02/2025;Consolidado;N/A
JUDICIAL;9102095200;1151835;AC-CIND-POV-ITAPICURU-RURAL;SENTO SÉ;11/02;AVANÇO;;NÃO INICIADA;1;0;;;;;PLANO 7;50%;R$ 112.962,82;R$ 28.240,71;12/02/2025;31/03/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,548659;-41,84232;https://maps.app.goo.gl/R1D4niojfsv8RQYU9;;;;;;0 POSTE;;;JUAZEIRO;01/02/2025;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/02/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;878;;;;;305;;23;;;;;;;;;;;;;;;;;;JUAZEIRO;01/02/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;;234;;12;2;;;;;;;;;;;;;;;;;JUAZEIRO;01/02/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;;539;61,39%;35;58;0,6034482759;;;;;;;;;;;;;;;;JUAZEIRO;01/02/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/02/2025;Descartado;Erro/Nulo em CRITÉRIO
