CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;STATUS 2;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
GOVERNO;9102242592;1202706;AC-CIND-RUA-LEOVIGILDO M ALMEIDA-CENTRO;CURAÇÁ;MIGRAR;APP;OURO;DETONAÇÃO;;;ESCAVAÇÃO;;1;4;;4;;;7.1.1.3;100%;R$ 62.385,22;R$ 12.477,04;R$ 6.800,00;24/07/2025;28/07/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;-8,98791;-39,9066;;DA PLANILHA;E819958;E819961;JUAZEIRO;01/07/2025;Consolidado;N/A
QLP;9102060561;1138495;ER-CIND-RUA-DA BARRAGEM-PEDRA GRANDE;UAUÁ;;OK;MIGRAR;;;;CONCLUIDA;02/07/2025;1;41;41;41;;;PLANO 7;100%;;;R$ 69.700,00;01/07/2025;04/07/2025;JOÃO BATISTA;EDIE JONNES;CARLOS EDUARDO;;;;DA PLANILHA;E800584;E800624;JUAZEIRO;01/07/2025;Consolidado;N/A
QLP;9101561021;960856;AC-REG-FV-CIND-POV BARRO VERMELHO-BARRO-;CURAÇÁ;MIGRAR;APP;;DEPENDE ER;;;EM EXECUÇÃO;;7;27;;27;;;7.1.2.3;100%;R$ 102.908,49;R$ 20.581,70;R$ 45.900,00;16/07/2025;29/07/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;0;0;;DA PLANILHA;E819625;E819651;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102093355;1156209;AC REG FV CIND FAZ CAPUCHU 16 RURAL;CURAÇÁ;;;MIGRAR;;;;CONCLUIDA;;2;37;41;37;;;PLANO 7;100%;R$ 374.111,28;;R$ 62.900,00;03/07/2025;20/07/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E773943;E773979;JUAZEIRO;01/07/2025;Consolidado;N/A
JUDICIAL;9101293497;921232;ER-CIND-POV BARRO VERMELHO-BARRO-CRC;CURAÇÁ;MIGRAR;APP;OURO;DETONAÇÃO;;;EM EXECUÇÃO;;6;70;;70;;;;100%;R$ 368.797,60;R$ 73.759,52;R$ 119.000,00;07/07/2025;31/07/2025;GISMARIO;EDIE JONNES;CARLOS EDUARDO;-9,43326;-39,8093;;DA PLANILHA;E799688;E799757;JUAZEIRO;01/07/2025;Consolidado;N/A
JUDICIAL;9102238517;1196129;ER-CIND-POV-POCO DANTAS-PEDRA BRANCA;PILÃO ARCADO;;OK;MIGRAR;OURO;;;CONCLUIDA;;2;36;36;36;;;PLANO 7;100%;;;R$ 61.200,00;01/07/2025;26/07/2025;AILTON / SILVONEY;PAULO JUNIOR;;;;;DA PLANILHA;E799894;E799934;JUAZEIRO;01/07/2025;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;AVANÇO;;OURO;;;;NÃO INICIADA;;0;66;;49,5;;;7.1.1.3;75%;R$ 1.460.659,08;R$ 292.131,82;R$ 112.200,00;01/07/2025;30/10/2025;IVONALDO;EDIE JONNES;VICTOR COSTA;-9,46654;-40,5;;DA PLANILHA ;E750526;E750585;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9102139558;1162074;AC-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;AVANÇO;;OURO;;;;NÃO INICIADA;;0;65;;32,5;;;7.1.2.3;50%;R$ 1.466.884,47;R$ 293.376,89;R$ 110.500,00;30/07/2025;31/08/2025;JUAREZ ;SANTIAGO;VICTOR COSTA;-9,45708;-40,3572;;DA PLANILHA;E819397;E819461;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102086709;1152831;LD-CIND POV.CARNAIBA DO SERTÃO;JUAZEIRO;AVANÇO;APP;;;;;NÃO INICIADA;;1;24;;12;;;PLANO 14;50%;R$ 225.254,43;R$ 45.050,89;R$ 40.800,00;23/07/2025;31/08/2025;IVONALDO;EDIE JONNES;VICTOR COSTA;-9,5598;-40,4352;;DA PLANILHA;E819561;E819584;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102034763;1137111;RR-CCOL-POV-MASSAPE-RURAL-BOQUEIRAO;JUAZEIRO;MIGRAR;;;DETONAÇÃO;;;EM EXECUÇÃO;;4;17;;17;;;;100%;R$ 115.345,67;R$ 23.069,13;R$ 28.900,00;16/07/2025;26/07/2025;PAULO;EDIE JONNES;CARLOS EDUARDO;-9,37832;-40,2753;;DA PLANILHA;E819585;E819601;JUAZEIRO;01/07/2025;Consolidado;N/A
