CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;Unnamed: 5;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9102132996;1170229;UCIND-RUA-DO CEMITERIO -URBANA;SENTO SÉ;;;OK;;;;;CONCLUIDA;;1;5;5;5;;;PLANO 7;100%;R$ 33.923,31;;R$ 8.500,00;21/05/2025;23/05/2025;CARLOS;SANTIAGO;;;;;DA PLANILHA;E777191;E777195;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL;9102095200;1151835;AC-CIND-POV-ITAPICURU-RURAL;SENTO SÉ;;;OK;;MIGRAR;DESLIGAMENTO;;CONCLUIDA;;1;3;3;3;;;;100%;R$ 112.962,82;;R$ 5.100,00;01/05/2025;14/05/2025;CARLOS;SANTIAGO;;;;;DA PLANILHA ;E750016;E750018;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102030575;1127996;ER-CIND-POV-RIACHO JUAZEIRO 630 -A-RURAL;UAUÁ;;;OK;PES 54985 oc 46702 - 14/05;;;;CONCLUIDA;;1;5;5;5;;;PLANO 7;100%;R$ 17.403,64;;R$ 8.500,00;16/05/2025;20/05/2025;MAURICIO;EDIE JONNES;;;;;DA PLANILHA;E774793;E774797;JUAZEIRO;01/05/2025;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL OURO;9102153527;1175314;IS-CIND-RUA-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;0;7;7;7;;;;100%;R$ 61.369,62;;R$ 11.900,00;01/05/2025;15/05/2025;PAULO;SANTIAGO;;;;;DA PLANILHA ;E619973;E619979;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL;9102138779;1169987;ER-CIND-SI-CRUZEIRO-RURAL;CASA NOVA;;;OK;;MIGRAR;;;CONCLUIDA;;1;8;8;8;;;;100%;R$ 87.162,13;;R$ 13.600,00;05/05/2025;09/05/2025;DANIEL/ AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E750174;E750181;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102128878;1164868;ER-CIND-POV-GOIABEIRA II-GOIABEIRA II;JUAZEIRO;;;OK;MIGRAR;MIGRAR;;;NÃO INICIADA;;2;5;;5;;;;100%;R$ 62.327,12;;R$ 8.500,00;16/05/2025;17/05/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E750187;E750191;JUAZEIRO;01/05/2025;Consolidado;N/A
LPT;9101205768;884168;MP-CCOL-POV SALGADINHA-RURAL;CASA NOVA;;;OK;;MIGRAR;;;CONCLUIDA;;1;9;9;9;;;PLANO 14;100%;R$ 48.586,56;;R$ 15.300,00;10/05/2025;13/05/2025;DANIEL/ AILTON;PAULO JUNIOR;;;;;DA PLANILHA ;E619700;E619708;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102223595;1194822;ER-SEIN-POV-DE RIO DE RANCHO-RURAL;UAUÁ;;;OK;;;;;CONCLUIDA;;3;11;12;11;;;PLANO 7;100%;R$ 92.829,69;;R$ 18.700,00;05/05/2025;15/05/2025;MAURICIO;EDIE JONNES;;;;;DA PLANILHA;E777248;E777258;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC OBJETIVO;9101811791;1041575;MP-CCOL-POV-SERROTIM-RURAL;CURAÇÁ;;pes 61321 - oc 89465 - 30/05;OK;ENTREGA;;;;CONCLUIDA;;1;15;15;15;;;;100%;R$ 150.289,62;;R$ 25.500,00;05/05/2025;12/05/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E777527;E777541;JUAZEIRO;01/05/2025;Consolidado;N/A
GRUPO A;9102238566;1193657;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;;OK;ENTREGA;;;;NÃO INICIADA;;0;3;;3;;;PLANO 8;100%;R$ 255.026,24;;R$ 5.100,00;01/05/2025;15/05/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E619946;E619948;JUAZEIRO;01/05/2025;Consolidado;N/A
