CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102143475;1175135;ER-CIND-POV-LAGOA DOS TINOS-RURAL;CASA NOVA;;OK;abril-25;;;CONCLUIDA;;1;1;;1;;;;100%;R$ 27.682,00;R$ 6.920,50;R$ 2.100,00;22/04/2025;22/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,1970334;-41,012684;;;;;;;DA PLANILHA;E750241;E750241;JUAZEIRO;01/04/2025;Consolidado;N/A
GRUPO A;9102238566;1193657;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;;;MIGRAR;;NÃO INICIADA;;0;3;;;;;PLANO 8;100%;R$ 255.026,24;;R$ 6.300,00;19/05/2025;19/05/2025;PEPEU;EDIE JONNES;VICTOR;-9,3724885;-39,9368482;;mar.-25;;;;;DA PLANILHA;E619946;E619948;JUAZEIRO;01/04/2025;Consolidado;N/A
REPUTACIONAL;9102138779;1169987;ER-CIND-SI-CRUZEIRO-RURAL;CASA NOVA;;;;MIGRAR;;NÃO INICIADA;;1;8;;;;;;100%;R$ 87.162,13;R$ 21.790,53;R$ 16.800,00;05/05/2025;07/05/2025;DANIEL;PAULO JUNIOR;DIEGO;-9,406432;-41,155454;;;;;;;DA PLANILHA;E750174;E750181;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102227081;1191968;ER-CIND-POV-LAGOA DOS CAVALOS-RURAL;JUAZEIRO;;OK;abril-25;;;CONCLUIDA;;1;1;;1;;;;100%;R$ 20.158,01;R$ 5.039,50;R$ 2.100,00;24/04/2025;24/04/2025;PEPEU;ANDERSON;;-9,2796334;-40,0726729;;;;;;;DA PLANILHA;E750234;E750234;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102157501;1176079;UB-CIND-ET-SERRA DA BATATEIRA-J PAULO II;JUAZEIRO;01/04;OK;abril-25;;;CONCLUIDA;;1;0;;0;;;;100%;R$ 1.374,26;R$ 343,57;R$ 0,00;04/04/2025;04/04/2025;CARLOS;SANTIAGO;VICTOR;-9,47910747;-40,4916073;;;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102150731;1177510;ER-CIND-POV-SANTA RITA-RURAL;CASA NOVA;;;;;;NÃO INICIADA;;1;1;;;;;;100%;R$ 8.374,77;R$ 2.093,69;R$ 2.100,00;25/04/2025;25/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,0561578;-40,9252703;;;;;;;DA PLANILHA;E750258;E750258;JUAZEIRO;01/04/2025;Consolidado;N/A
LPT;9101205768;884168;MP-CCOL-POV SALGADINHA-RURAL;CASA NOVA;;OK;;MIGRAR;;NÃO INICIADA;;1;9;;;;;PLANO 14;100%;R$ 48.586,56;R$ 12.146,64;R$ 18.900,00;10/05/2025;12/05/2025;AILTON;PAULO JUNIOR;DIEGO;-9,2064123;-40,8080123;;mar.-25;;;;;DA PLANILHA ;E619700;E619708;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153977;1177596;UB-CIND RO BR 235 105 - CASA NOVA;CASA NOVA;;;;;;NÃO INICIADA;;1;0;;;;;;100%;R$ 46.530,49;;R$ 0,00;25/04/2025;25/04/2025;DANIEL;PAULO JUNIOR;DIEGO;-9,1794719;-40,9848238;;;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153549;1175531;ER-CIND-PR -CASTRO ALVES 7-MASSAROCA;JUAZEIRO;;OK;;;;NÃO INICIADA;;1;5;;;;;;100%;R$ 23.995,33;R$ 5.998,83;R$ 10.500,00;25/04/2025;25/04/2025;PEPEU;ANDERSON;;-9,874565;-40,283335;;;;;;;DA PLANILHA;E750194;E750198;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909685;1085103;AL - 01V2 - SE NOVA TOURÃO - EQUIP. Q008;JUAZEIRO;;;;MIGRAR;;NÃO INICIADA;;0;2;;;;;PLANO 1;100%;R$ 75.636,00;;;09/04/2025;25/04/2025;IVONALDO;RODRIGUES;SANDRO;;;;;;;;;DA PLANILHA;E619907;E619908;JUAZEIRO;01/04/2025;Consolidado;N/A
