CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;REPROGRAMAÇÃO;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
SUBSÍDIO DE DEFESA;9101981354;1118538;ER-CIND-POV-PINHOES-CENTRO;JUAZEIRO;;;;;;;NÃO INICIADA;;1;24;;;;;14.7.2003;100%;R$ 116.374,32;;R$ 40.800,00;25/08/2025;30/09/2025;;GISMARIO;EDIE JONNES;VICTOR BARROS;-9.5667254;-39.9208861;;DA PLANILHA;E876698;E876723;JUAZEIRO;01/09/2025;Consolidado;N/A
AIC AUDITORIA;9102047858;1141961;MP-CIND-FAZ RIACHO DO SALGADO-RURAL;UAUÁ;;;;;;;NÃO INICIADA;;1;14;;;;;37451;100%;R$ 157.585,03;;R$ 23.800,00;22/09/2025;30/09/2025;;TURMA NOVA;EDIE JONNES;CARLOS EDUARDO;-10,0231278;-39,4902749;;DA PLANILHA;E864070;E864083;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102134389;1172124;RR-CIND-FAZ-MELANCIA-RURAL;CURAÇÁ;;;;;;;NÃO INICIADA;;3;30;;;;;7.1.2.3;100%;R$ 174.156,54;;R$ 51.000,00;24/09/2025;30/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;-9,2082716;-39,8343706;;DA PLANLHA;E864339;E864368;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102299080;1210327;ER-CIND-POV-CAITITUS-CAITITUS;UAUÁ;;;;;;;NÃO INICIADA;;1;20;;;;;7.1.2.3;80%;R$ 195.508,99;;R$ 34.000,00;15/09/2025;15/10/2025;;AVANÇO;EDIE JONNES;CARLOS EDUARDO;-9,9312168;-39,3249672;;DA PLANILHA;E864380;E864399;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102230797;1198350;ER-CCOL-RUA-04 AGROVILA-PEDRA BRANCA;CURAÇÁ;;;;;;;NÃO INICIADA;;;18;;;;;14.4.12.1;25%;R$ 144.734,27;;R$ 30.600,00;15/08/2025;31/10/2025;;AVANÇO;EDIE JONNES;CARLOS EDUARDO;-8.6656868;-39.4263194;;DA PLANILHA;E876645;E876662;JUAZEIRO;01/09/2025;Consolidado;N/A
AIC AUDITORIA;9102099436;1153460;MP-CIND-RUA-DOS VERMELHOS-RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;3;26;;;;;7.1.2.3;80%;R$ 252.443,76;;R$ 44.200,00;01/09/2025;31/10/2025;;AVANÇO;EDIE JONNES;VICTOR BARROS;-9,5992005;-40,3925912;;DA PLANILHA;E864400;E864425;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102158783;1181008;RR-CIND-FAZ-S O PEDRO 11-S O PEDRO;JUAZEIRO;;;;;;;NÃO INICIADA;;1;21;;;;;7.1.2.3;80%;R$ 147.180,67;;R$ 35.700,00;01/09/2025;31/10/2025;;AVANÇO;EDIE JONNES;VICTOR BARROS;-9,5961849;-40,4236876;;DA PLANILHA;E864253;E864273;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9100096585;515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;REMANSO;OK;;;;;;NÃO INICIADA;;93;1392;;;;;14.4.12.1;100%;R$ 11.815.100,10;;R$ 2.366.400,00;;30/09/2025;;JORGE;JORGE;MARLOS LOPES ;;;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102069137;1146087;MP-CCOL-FAZ.NOVA TAPUA-RURAL;REMANSO;;;;;;;NÃO INICIADA;;12;172;;;;;7.1.2.3;60%;R$ 1.518.885,35;;R$ 292.400,00;;AVANÇO;;JORGE;JORGE;MARLOS LOPES ;-9,4735036;-42,2501527;;DA PLANILHA ;E750817;E750988;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9102151543;1173964;RR-CIND-POV-SALINA GRANDE-RURAL;REMANSO;;;OURO;;;;NÃO INICIADA;;36;227;;;;;14.4.12.1;60%;R$ 1.482.021,94;;R$ 385.900,00;;AVANÇO;;JORGE;JORGE;MARLOS LOPES ;0;0;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
