PROJETO_FATO;Carteira;COORD;TÍTULO;MUNICIPIO;STATUS;CLIET.;PSTP;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVNP;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;TITULO;CRITERIO;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;RESPONSÁVEL;CLIENTE;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERG. INFORMADA;OBS.1
1211868;;JUAZEIRO;;SOBRADINHO;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;JUAREZ;EDIE JONNES;;-9.7731554;-40.9472304;;21/10/2025;;;;;;;;ER-CIND-POV-SALGADINHA-SALGADINHA;;CONCLUÍDA;;;DIEGO ALMEIDA;1;;21/10/2025;21/10/2025;;NÃO;SIM;;Ver no Mapa;21/10/2025;21/10/2025;22/10/2025;
1128536;;JUAZEIRO;;CASA NOVA;EM EXECUÇÃO;;166;;;;14.4.12.1;70%;;;FERNANDO;PAULO JUNIOR;;-9.6263923;-41.838502;;;;;;;;;;MP-CCOL-POV-XIQUE XIQUE-RURAL;;IMPLANTAÇÃO;;OURO;DIEGO ALMEIDA;;;07/08/2025;31/10/2025;;;SIM;;Ver no Mapa;;;;
1173811;;JUAZEIRO;;UAUÁ;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;JUAREZ;EDIE JONNES;;-9.810783;-39.600581;;22/10/2025;;;;;;;;ER-CIND-FAZ-LAPAO-RURAL;;CONCLUÍDA;;GISMARIO / JUAREZ;CARLOS EDUARDO;1;;22/10/2025;22/10/2025;;SIM;SIM;;Ver no Mapa;22/10/2025;22/10/2025;24/10/2025;
1195081;;JUAZEIRO;;REMANSO;MIGRAR;;2;;;;7.1.2.3;100%;;;PEDRO LINO;ANDERSON;;-9.6019523;-42.0840707;;;;;;;;;;EQ COEL ROD BR 324 RURAL;EQUIPAMENTO;EQUIPAMENTO;PARCIAL;;MARLOS LOPES ;1;;26/11/2025;27/11/2025;;SIM;NÃO;;Ver no Mapa;;;;
1063289;;JUAZEIRO;;CURAÇÁ;CONCLUIDA;;3;;;;7.1.1.3;100%;;;JUAREZ;IVONALDO;;-9.1907879;-40.0569772;;15/12/2025;;;;;;;;AC-CIND-FAZ-S O JOSE-RURAL 📸;QLP;CONCLUÍDA;COMPLETO;;CARLOS EDUARDO;0;;17/12/2025;17/12/2025;;;NÃO;;Ver no Mapa;15/12/2025;15/12/2025;SIM;
1232883;;JUAZEIRO;;CURAÇÁ;CONCLUIDA;;1;;;;7.1.1.3;100%;;;;MICHEL;;-8.9968976;-39.8994757;;;;;;;;;;UB-CIND-LOT-SALVADOR PEREIRA LIMA-SALVAD;OBRAS ÁGEIS;CONCLUÍDA;A SOLICITAR;;;3;;15/12/2025;16/12/2025;;;NÃO;;Ver no Mapa;;;;
1107206;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;0;0;;;7.1.1.3;100%;;;PEDRO LINO;ANDERSON;;-9.1174707;-40.0885124;;04/12/2025;;;;;;;;AC-CIND-CJN-PROJETO-CURACA 📸;QLP;CONCLUÍDA;COMPLETO;;CARLOS EDUARDO;1;;04/12/2025;04/12/2025;;;NÃO;;Ver no Mapa;04/12/2025;04/12/2025;SIM;
1214081;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;3;;;;7.1.1.3;100%;;;JUAREZ;IVONALDO;;-9.4221055;-40.5236038;;20/12/2025;;;;;;;;UB-CIND-RUA-3-PALMARES;PRIORIDADE PLANO ANEEL;CONCLUÍDA;COMPLETO;não finalizada no prazo por falta de material;VICTOR BARROS;1;04/12/2025;04/12/2025;04/12/2025;;;NÃO;;Ver no Mapa;04/12/2025;20/12/2025;SIM;
1225098;;JUAZEIRO;;REMANSO;AVANÇO;;6;;;;8.2.2.3;50%;;;PEDRO LINO;ANDERSON;;-9.514847;-43.309865;;;;;;;;;;ME-COEL-REATOR PG B707030-RMN-09X3;EQUIPAMENTO;EQUIPAMENTO;VIA E-MAIL;;MARLOS LOPES ;0;;17/11/2025;21/11/2025;;SIM;NÃO;;Ver no Mapa;;;;
1145786;;JUAZEIRO;;CASA NOVA;EM EXECUÇÃO;;29;;;;7.1.2.3;20%;;;FERNANDO;PAULO JUNIOR;;-9.1657286;-41.3927492;;;;;;;;;;AC CIND POV XIQUE XIQUE RURAl;;NÃO INICIADA;;OURO;DIEGO ALMEIDA;18;;22/09/2025;30/09/2025;;;;;Ver no Mapa;;;;
